group,symbol
BS_2_co_down_GO,Hnf4a
BS_2_co_down_GO,E4f1
BS_2_co_down_GO,Cacybp
BS_2_co_down_GO,Socs2
BS_2_co_down_GO,Msh6
BS_2_co_down_GO,Anapc11
BS_2_co_down_GO,Nr1h3
BS_2_co_down_GO,Nab1
BS_2_co_down_GO,Pex12
BS_2_co_down_GO,Bnip3l
BS_2_co_down_GO,Idh3g
BS_2_co_down_GO,Sp2
BS_2_co_down_GO,Cse1l
BS_2_co_down_GO,Tmprss2
BS_uniq_3up_GO,Ext2
BS_uniq_3up_GO,Ptger4
BS_uniq_3up_GO,Xylt2
BS_uniq_3up_GO,Ugdh
BS_uniq_3up_GO,Ap2b1
BS_uniq_3up_GO,Cacng2
BS_uniq_3up_GO,Caly
BS_uniq_3up_GO,Gart
BS_uniq_3up_GO,Plod3
BS_uniq_3up_GO,Chdh
BS_uniq_3up_GO,Eps8
BS_uniq_3up_GO,Alg14
BS_uniq_3up_GO,Gfpt2
BS_uniq_3up_GO,Frs2
BS_uniq_3up_GO,Tbx6
BS_uniq_3up_GO,Dnah11
BS_uniq_3up_GO,Eng
BS_uniq_3up_GO,Rem2
BS_uniq_3up_GO,Rrad
BS_uniq_3up_GO,Tlr2
BS_uniq_3up_GO,Nedd9
BS_uniq_3up_GO,Rasa1
BS_uniq_3up_GO,Itgb5
BS_uniq_3up_GO,Neb
BS_uniq_3up_GO,Fastkd2
BS_uniq_3up_GO,Patl2
BS_uniq_3up_GO,Ncbp1
BS_uniq_3up_GO,Ddx54
BS_uniq_3up_GO,Nob1
BS_uniq_3up_GO,Gtf3a
BS_uniq_3up_GO,Imp4
BS_uniq_3up_GO,Mthfd2
BS_uniq_3up_GO,Rsph9
BS_uniq_3up_GO,Faf1
BS_uniq_3up_GO,Slf1
BS_uniq_3up_GO,Mri1
BS_uniq_3up_GO,Zdhhc12
BS_uniq_3up_GO,Golga7
BS_uniq_3up_GO,Rae1
BS_uniq_3up_GO,Tarsl2
BS_uniq_3up_GO,Fbxw11
BS_uniq_3up_GO,Atg12
BS_uniq_3up_GO,Dusp3
BS_uniq_3up_GO,Map4k4
BS_uniq_3up_GO,Pim2
BS_uniq_3up_GO,Pacs2
BS_uniq_3up_GO,Eif1
BS_uniq_3up_GO,Eif4ebp2
BS_uniq_3up_GO,Dctn6
BS_uniq_3up_GO,Kif11
BS_uniq_3up_GO,Cetn2
BS_uniq_3up_GO,Rwdd1
BS_uniq_3up_GO,Pinx1
BS_uniq_3up_GO,Rint1
BS_uniq_3up_GO,Dnajc1
BS_uniq_3up_GO,Pus10
BS_uniq_3up_GO,Dus4l
BS_uniq_3up_GO,Dusp27
BS_uniq_3up_GO,Ptprd
BS_uniq_3down_GO,Comt
BS_uniq_3down_GO,Spi1
BS_uniq_3down_GO,Pih1d1
BS_uniq_3down_GO,Mettl17
BS_uniq_3down_GO,Ctnnb1
BS_uniq_3down_GO,Asz1
BS_uniq_3down_GO,Pax5
BS_uniq_3down_GO,Ppm1d
BS_uniq_3down_GO,Smad4
BS_uniq_3down_GO,Zcchc4
BS_uniq_3down_GO,Trmt1
BS_uniq_3down_GO,Sox9
BS_uniq_3down_GO,Sema4f
BS_uniq_3down_GO,Snapin
BS_uniq_3down_GO,Tulp3
BS_uniq_3down_GO,Chrd
BS_uniq_3down_GO,Gdi1
BS_uniq_3down_GO,Aatk
BS_uniq_3down_GO,Amigo3
BS_uniq_3down_GO,Efnb2
BS_uniq_3down_GO,Calr
BS_uniq_3down_GO,Msh6
BS_uniq_3down_GO,Ung
BS_uniq_3down_GO,Mcm3ap
BS_uniq_3down_GO,Folr1
BS_uniq_3down_GO,Gzf1
BS_uniq_3down_GO,Dlc1
BS_uniq_3down_GO,Tbx2
BS_uniq_3down_GO,Alox12
BS_uniq_3down_GO,Mmp14
BS_uniq_3down_GO,Cse1l
BS_uniq_3down_GO,Pam16
BS_uniq_3down_GO,Pex12
BS_uniq_3down_GO,Bnip3l
BS_uniq_3down_GO,Pex13
BS_uniq_3down_GO,Pdcd5
BS_uniq_3down_GO,Zpr1
BS_uniq_3down_GO,Gosr2
BS_uniq_3down_GO,Hpn
BS_uniq_3down_GO,Cdh23
BS_uniq_3down_GO,Nr1h3
BS_uniq_3down_GO,Hnf4a
BS_uniq_3down_GO,Mid1ip1
BS_uniq_3down_GO,Med31
BS_uniq_3down_GO,Tbx4
BS_uniq_3down_GO,Endog
BS_uniq_3down_GO,Spo11
BS_uniq_3down_GO,Adam15
BS_uniq_3down_GO,Cd40
BS_uniq_3down_GO,Idh3g
BS_uniq_3down_GO,Dlat
BS_uniq_3down_GO,Dlst
BS_uniq_3down_GO,Ehhadh
BS_uniq_3down_GO,Zdhhc16
BS_uniq_3down_GO,Rapgef3
BS_uniq_3down_GO,Xpo6
BS_uniq_3down_GO,Kctd10
BS_uniq_3down_GO,Dtx2
BS_uniq_3down_GO,Jag2
BS_uniq_3down_GO,Cacybp
BS_uniq_3down_GO,E4f1
BS_uniq_3down_GO,Tbrg1
BS_uniq_3down_GO,Rrm2b
BS_uniq_3down_GO,Dbf4
BS_uniq_3down_GO,Mmp19
BS_uniq_3down_GO,Slc9a3r2
BS_uniq_3down_GO,Stambp
BS_uniq_3down_GO,Pik3c2b
BS_uniq_3down_GO,Rasgrp1
BS_uniq_3down_GO,Itfg2
BS_uniq_3down_GO,Fasl
BS_uniq_3down_GO,Atp6ap1
BS_uniq_3down_GO,Socs2
BS_uniq_3down_GO,Abhd3
BS_uniq_3down_GO,Itgb7
BS_uniq_3down_GO,Emc10
BS_uniq_3down_GO,Nab1
BS_uniq_3down_GO,Polr3d
BS_uniq_3down_GO,G3bp1
BS_uniq_3down_GO,Rnf135
BS_uniq_3down_GO,Nploc4
BS_uniq_3down_GO,Gm2a
BS_uniq_3down_GO,Srd5a3
BS_uniq_3down_GO,Gpcpd1
BS_uniq_3down_GO,Sp2
BS_uniq_co_up_GO,Ext2
BS_uniq_co_up_GO,Zdhhc12
BS_uniq_co_up_GO,Ap2b1
BS_uniq_co_down_GO,Comt
BS_uniq_co_down_GO,Spi1
BS_uniq_co_down_GO,Pih1d1
BS_uniq_co_down_GO,Mettl17
BS_uniq_co_down_GO,Ctnnb1
BS_uniq_co_down_GO,Asz1
BS_uniq_co_down_GO,Pax5
BS_uniq_co_down_GO,Ppm1d
BS_uniq_co_down_GO,Smad4
BS_uniq_co_down_GO,Sox9
BS_uniq_co_down_GO,Itfg2
BS_uniq_co_down_GO,Folr1
BS_uniq_co_down_GO,Top2b
BS_uniq_co_down_GO,Pik3c2b
BS_uniq_co_down_GO,Sema4f
BS_uniq_co_down_GO,Hpn
BS_uniq_co_down_GO,Chrd
BS_uniq_co_down_GO,Snapin
BS_uniq_co_down_GO,Tulp3
BS_uniq_co_down_GO,Gdi1
BS_uniq_co_down_GO,Pam16
BS_uniq_co_down_GO,Endog
BS_uniq_co_down_GO,Med31
BS_uniq_co_down_GO,Slc19a1
BS_uniq_co_down_GO,Slc9a3r2
BS_uniq_co_down_GO,Stambp
BS_uniq_co_down_GO,Arpc5
BS_uniq_co_down_GO,Pdzd11
BS_uniq_co_down_GO,Hnf4a
BS_uniq_co_down_GO,E4f1
BS_uniq_co_down_GO,Cacybp
BS_uniq_co_down_GO,Socs2
BS_uniq_co_down_GO,Msh6
BS_uniq_co_down_GO,Anapc11
BS_uniq_co_down_GO,Nr1h3
BS_uniq_co_down_GO,Nab1
BS_uniq_co_down_GO,Pex12
BS_uniq_co_down_GO,Bnip3l
BS_uniq_co_down_GO,Idh3g
BS_uniq_co_down_GO,Sp2
BS_uniq_co_down_GO,Cse1l
BS_uniq_co_down_GO,Tmprss2
CTX_2_3up_GO,Cadps2
CTX_2_3up_GO,Gipc1
CTX_2_3up_GO,Lin7a
CTX_2_3up_GO,Syt4
CTX_2_3up_GO,Cplx4
CTX_2_3up_GO,Dnm1
CTX_2_3up_GO,Snap25
CTX_2_3up_GO,Stx1b
CTX_2_3up_GO,Kif3c
CTX_2_3up_GO,Spry2
CTX_2_3up_GO,Arfgap2
CTX_2_3up_GO,Nmd3
CTX_2_3up_GO,Gnai3
CTX_2_3up_GO,Cdadc1
CTX_2_3up_GO,Adal
CTX_2_3up_GO,Hddc3
CTX_2_3up_GO,Adk
CTX_2_3up_GO,Rab14
CTX_2_3up_GO,Tbc1d20
CTX_2_3up_GO,Hnrnph1
CTX_2_3up_GO,Pdia3
CTX_2_3up_GO,Smchd1
CTX_2_3up_GO,Nacc2
CTX_2_3up_GO,Pcna
CTX_2_3up_GO,Timeless
CTX_2_3up_GO,Cbx8
CTX_2_3up_GO,Rala
CTX_2_3up_GO,Lrp4
CTX_2_3up_GO,Tiam1
CTX_2_3up_GO,Vav2
CTX_2_3up_GO,Plekhg4
CTX_2_3up_GO,Arhgap1
CTX_2_3up_GO,Tbc1d16
CTX_2_3up_GO,Snw1
CTX_2_3up_GO,Ppp2r5e
CTX_2_3up_GO,Ppm1a
CTX_2_3up_GO,Ptpra
CTX_2_3up_GO,Dusp9
CTX_2_3up_GO,Cdc25c
CTX_2_3up_GO,Dusp14
CTX_2_3up_GO,Il12b
CTX_2_3up_GO,Elf4
CTX_2_3up_GO,Stac2
CTX_2_3up_GO,Cdk1
CTX_2_3up_GO,Map1a
CTX_2_3up_GO,Galnt1
CTX_2_3up_GO,Sbk1
CTX_2_3up_GO,Adat2
CTX_2_3up_GO,Elp2
CTX_2_3up_GO,Rpain
CTX_2_3up_GO,Ube4b
CTX_2_3up_GO,Zc3h13
CTX_2_3up_GO,Trmt112
CTX_2_3up_GO,Dnajb1
CTX_2_3up_GO,Dnajc3
CTX_2_3up_GO,Tbrg1
CTX_2_3up_GO,Gopc
CTX_2_3up_GO,Fyb
CTX_2_3up_GO,Dnmt3a
CTX_2_3up_GO,Dcp1a
CTX_2_3up_GO,Slc9a5
CTX_2_3up_GO,Ednrb
CTX_2_3up_GO,Slc4a2
CTX_2_3up_GO,Smpdl3a
CTX_2_3up_GO,Nav3
CTX_2_3down_GO,Rcn3
CTX_2_3down_GO,Xbp1
CTX_2_3down_GO,Fabp3
CTX_2_3down_GO,Dgat2
CTX_2_3down_GO,Wnk4
CTX_2_3down_GO,Cdk4
CTX_2_3down_GO,Tysnd1
CTX_2_3down_GO,Nr1d1
CTX_2_3down_GO,Ormdl1
CTX_2_3down_GO,Stoml2
CTX_2_3down_GO,Dkk3
CTX_2_3down_GO,Star
CTX_2_3down_GO,Atg14
CTX_2_3down_GO,Denr
CTX_2_3down_GO,Riok3
CTX_2_3down_GO,Gnl3l
CTX_2_3down_GO,Eif2d
CTX_2_3down_GO,Nvl
CTX_2_3down_GO,Cul4a
CTX_2_3down_GO,Frg1
CTX_2_3down_GO,Gemin5
CTX_2_3down_GO,Rpl10a
CTX_2_3down_GO,Xab2
CTX_2_3down_GO,Cnot2
CTX_2_3down_GO,4932438A13Rik
CTX_2_3down_GO,Sptbn4
CTX_2_3down_GO,Map2
CTX_2_3down_GO,Adarb1
CTX_2_3down_GO,Fgfr2
CTX_2_3down_GO,Slit2
CTX_2_3down_GO,Carmil1
CTX_2_3down_GO,Anxa7
CTX_2_3down_GO,Capzb
CTX_2_3down_GO,Ocm
CTX_2_3down_GO,Ist1
CTX_2_3down_GO,Bag4
CTX_2_3down_GO,Hp1bp3
CTX_2_3down_GO,Mak
CTX_2_3down_GO,Hdgfl3
CTX_2_3down_GO,Msx3
CTX_2_3down_GO,Smc3
CTX_2_3down_GO,Tipin
CTX_2_3down_GO,Map2k4
CTX_2_3down_GO,Tspyl2
CTX_2_3down_GO,Slc6a8
CTX_2_3down_GO,Ywhae
CTX_2_3down_GO,Rgs7
CTX_2_3down_GO,Slc5a11
CTX_2_3down_GO,Ank1
CTX_2_3down_GO,Slc17a2
CTX_2_3down_GO,Slc38a8
CTX_2_3down_GO,Sdccag8
CTX_2_3down_GO,Odf2
CTX_2_3down_GO,Anln
CTX_2_3down_GO,Rpgr
CTX_2_3down_GO,Bbs7
CTX_2_3down_GO,Sar1b
CTX_2_3down_GO,Pld2
CTX_2_3down_GO,Hdac3
CTX_2_3down_GO,Ctsb
CTX_2_3down_GO,Pglyrp1
CTX_2_3down_GO,Nfasc
CTX_2_3down_GO,Blzf1
CTX_2_3down_GO,Gripap1
CTX_2_3down_GO,Pdpk1
CTX_2_3down_GO,Cybb
CTX_2_3down_GO,Fundc1
CTX_2_3down_GO,Casp1
CTX_2_3down_GO,Tacc3
CTX_2_3down_GO,Rwdd1
CTX_2_3down_GO,Ncf2
CTX_2_3down_GO,Egln3
CTX_2_3down_GO,Ak2
CTX_2_3down_GO,Ampd3
CTX_2_3down_GO,Ccne2
CTX_2_3down_GO,Tmed2
CTX_2_3down_GO,Disp1
CTX_2_3down_GO,Uri1
CTX_2_3down_GO,Asb1
CTX_2_3down_GO,Dhcr24
CTX_2_3down_GO,Morc3
CTX_2_3down_GO,Slc6a20a
CTX_2_3down_GO,Ube2o
CTX_2_3down_GO,Pcgf6
CTX_2_3down_GO,Ube2cbp
CTX_2_3down_GO,Dpm2
CTX_2_3down_GO,Ctbs
CTX_2_3down_GO,Tgfa
CTX_2_co_up_GO,Gopc
CTX_2_co_up_GO,Cadps2
CTX_2_co_up_GO,Gnai3
CTX_2_co_up_GO,Smpdl3a
CTX_2_co_up_GO,Klf6
CTX_2_co_up_GO,Hnrnph1
