from_symbol,to_symbol
Nos3,Mapk14
Nos3,Mapk12
Nos3,Mapk10
Nos3,Mapk8
Nos3,Mapk9
Nos3,Otc
Adcy4,Pkm
Adcy4,Pklr
Adcy4,Pde1a
Adcy4,Pde1b
Adcy4,Pde1c
Adcy4,Pde3b
Adcy4,Gm45837
Adcy4,Pde10a
Adcy4,Pde11a
Adcy4,Pde3a
Adcy4,Entpd1
Adcy4,Entpd3
Adcy4,Entpd8
Adcy4,Nme7
Adcy4,Nme1
Adcy4,Nme2
Adcy4,Nme6
Adcy4,Nme4
Adcy4,Ak9
Adcy4,Nme3
Adcy4,Pde6c
Adcy4,Pde6d
Adcy4,Pde9a
Adcy4,Pde6b
Adcy4,Pde6g
Adcy4,Pde6a
Adcy4,Pde5a
Adcy4,Pde6h
Adcy4,Nudt2
Adcy4,Enpp1
Adcy4,Enpp3
Adcy4,Prkaca
Adcy4,Prkacb
Adcy4,Rapgef3
Adcy4,Rapgef4
Adcy3,Pkm
Adcy3,Pklr
Adcy3,Pde1a
Adcy3,Pde1b
Adcy3,Pde1c
Adcy3,Pde3b
Adcy3,Gm45837
Adcy3,Pde10a
Adcy3,Pde11a
Adcy3,Pde3a
Adcy3,Entpd1
Adcy3,Entpd3
Adcy3,Entpd8
Adcy3,Nme7
Adcy3,Nme1
Adcy3,Nme2
Adcy3,Nme6
Adcy3,Nme4
Adcy3,Ak9
Adcy3,Nme3
Adcy3,Pde6c
Adcy3,Pde6d
Adcy3,Pde9a
Adcy3,Pde6b
Adcy3,Pde6g
Adcy3,Pde6a
Adcy3,Pde5a
Adcy3,Pde6h
Adcy3,Nudt2
Adcy3,Enpp1
Adcy3,Enpp3
Adcy3,Prkaca
Adcy3,Prkacb
Adcy3,Rapgef3
Adcy3,Rapgef4
Adcy6,Pkm
Adcy6,Pklr
Adcy6,Pde1a
Adcy6,Pde1b
Adcy6,Pde1c
Adcy6,Pde3b
Adcy6,Gm45837
Adcy6,Pde10a
Adcy6,Pde11a
Adcy6,Pde3a
Adcy6,Entpd1
Adcy6,Entpd3
Adcy6,Entpd8
Adcy6,Nme7
Adcy6,Nme1
Adcy6,Nme2
Adcy6,Nme6
Adcy6,Nme4
Adcy6,Ak9
Adcy6,Nme3
Adcy6,Pde6c
Adcy6,Pde6d
Adcy6,Pde9a
Adcy6,Pde6b
Adcy6,Pde6g
Adcy6,Pde6a
Adcy6,Pde5a
Adcy6,Pde6h
Adcy6,Nudt2
Adcy6,Enpp1
Adcy6,Enpp3
Adcy6,Prkaca
Adcy6,Prkacb
Adcy6,Rapgef3
Adcy6,Rapgef4
Adcy7,Pkm
Adcy7,Pklr
Adcy7,Pde1a
Adcy7,Pde1b
Adcy7,Pde1c
Adcy7,Pde3b
Adcy7,Gm45837
Adcy7,Pde10a
Adcy7,Pde11a
Adcy7,Pde3a
Adcy7,Entpd1
Adcy7,Entpd3
Adcy7,Entpd8
Adcy7,Nme7
Adcy7,Nme1
Adcy7,Nme2
Adcy7,Nme6
Adcy7,Nme4
Adcy7,Ak9
Adcy7,Nme3
Adcy7,Pde6c
Adcy7,Pde6d
Adcy7,Pde9a
Adcy7,Pde6b
Adcy7,Pde6g
Adcy7,Pde6a
Adcy7,Pde5a
Adcy7,Pde6h
Adcy7,Nudt2
Adcy7,Enpp1
Adcy7,Enpp3
Adcy7,Prkaca
Adcy7,Prkacb
Adcy7,Rapgef3
Adcy7,Rapgef4
Adcy8,Pkm
Adcy8,Pklr
Adcy8,Pde1a
Adcy8,Pde1b
Adcy8,Pde1c
Adcy8,Pde3b
Adcy8,Gm45837
Adcy8,Pde10a
Adcy8,Pde11a
Adcy8,Pde3a
Adcy8,Entpd1
Adcy8,Entpd3
Adcy8,Entpd8
Adcy8,Nme7
Adcy8,Nme1
Adcy8,Nme2
Adcy8,Nme6
Adcy8,Nme4
Adcy8,Ak9
Adcy8,Nme3
Adcy8,Pde6c
Adcy8,Pde6d
Adcy8,Pde9a
Adcy8,Pde6b
Adcy8,Pde6g
Adcy8,Pde6a
Adcy8,Pde5a
Adcy8,Pde6h
Adcy8,Nudt2
Adcy8,Enpp1
Adcy8,Enpp3
Adcy8,Prkaca
Adcy8,Prkacb
Adcy8,Rapgef3
Adcy8,Rapgef4
Adcy9,Pkm
Adcy9,Pklr
Adcy9,Pde1a
Adcy9,Pde1b
Adcy9,Pde1c
Adcy9,Pde3b
Adcy9,Gm45837
Adcy9,Pde10a
Adcy9,Pde11a
Adcy9,Pde3a
Adcy9,Entpd1
Adcy9,Entpd3
Adcy9,Entpd8
Adcy9,Nme7
Adcy9,Nme1
Adcy9,Nme2
Adcy9,Nme6
Adcy9,Nme4
Adcy9,Ak9
Adcy9,Nme3
Adcy9,Pde6c
Adcy9,Pde6d
Adcy9,Pde9a
Adcy9,Pde6b
Adcy9,Pde6g
Adcy9,Pde6a
Adcy9,Pde5a
Adcy9,Pde6h
Adcy9,Nudt2
Adcy9,Enpp1
Adcy9,Enpp3
Adcy9,Prkaca
Adcy9,Prkacb
Adcy9,Rapgef3
Adcy9,Rapgef4
Adcy2,Pkm
Adcy2,Pklr
Adcy2,Pde1a
Adcy2,Pde1b
Adcy2,Pde1c
Adcy2,Pde3b
Adcy2,Gm45837
Adcy2,Pde10a
Adcy2,Pde11a
Adcy2,Pde3a
Adcy2,Entpd1
Adcy2,Entpd3
Adcy2,Entpd8
Adcy2,Nme7
Adcy2,Nme1
Adcy2,Nme2
Adcy2,Nme6
Adcy2,Nme4
Adcy2,Ak9
Adcy2,Nme3
Adcy2,Pde6c
Adcy2,Pde6d
Adcy2,Pde9a
Adcy2,Pde6b
Adcy2,Pde6g
Adcy2,Pde6a
Adcy2,Pde5a
Adcy2,Pde6h
Adcy2,Nudt2
Adcy2,Enpp1
Adcy2,Enpp3
Adcy2,Prkaca
Adcy2,Prkacb
Adcy2,Rapgef3
Adcy2,Rapgef4
Adcy5,Pkm
Adcy5,Pklr
Adcy5,Pde1a
Adcy5,Pde1b
Adcy5,Pde1c
Adcy5,Pde3b
Adcy5,Gm45837
Adcy5,Pde10a
Adcy5,Pde11a
Adcy5,Pde3a
Adcy5,Entpd1
Adcy5,Entpd3
Adcy5,Entpd8
Adcy5,Nme7
Adcy5,Nme1
Adcy5,Nme2
Adcy5,Nme6
Adcy5,Nme4
Adcy5,Ak9
Adcy5,Nme3
Adcy5,Pde6c
Adcy5,Pde6d
Adcy5,Pde9a
Adcy5,Pde6b
Adcy5,Pde6g
Adcy5,Pde6a
Adcy5,Pde5a
Adcy5,Pde6h
Adcy5,Nudt2
Adcy5,Enpp1
Adcy5,Enpp3
Adcy5,Prkaca
Adcy5,Prkacb
Adcy5,Rapgef3
Adcy5,Rapgef4
Adcy10,Pkm
Adcy10,Pklr
Adcy10,Pde1a
Adcy10,Pde1b
Adcy10,Pde1c
Adcy10,Pde3b
Adcy10,Gm45837
Adcy10,Pde10a
Adcy10,Pde11a
Adcy10,Pde3a
Adcy10,Entpd1
Adcy10,Entpd3
Adcy10,Entpd8
Adcy10,Nme7
Adcy10,Nme1
Adcy10,Nme2
Adcy10,Nme6
Adcy10,Nme4
Adcy10,Ak9
Adcy10,Nme3
Adcy10,Pde6c
Adcy10,Pde6d
Adcy10,Pde9a
Adcy10,Pde6b
Adcy10,Pde6g
Adcy10,Pde6a
Adcy10,Pde5a
Adcy10,Pde6h
Adcy10,Nudt2
Adcy10,Enpp1
Adcy10,Enpp3
Adcy10,Prkaca
Adcy10,Prkacb
Adcy1,Pkm
Adcy1,Pklr
Adcy1,Pde1a
Adcy1,Pde1b
Adcy1,Pde1c
Adcy1,Pde3b
Adcy1,Gm45837
Adcy1,Pde10a
Adcy1,Pde11a
Adcy1,Pde3a
Adcy1,Entpd1
Adcy1,Entpd3
Adcy1,Entpd8
Adcy1,Nme7
Adcy1,Nme1
Adcy1,Nme2
Adcy1,Nme6
Adcy1,Nme4
Adcy1,Ak9
Adcy1,Nme3
Adcy1,Pde6c
Adcy1,Pde6d
Adcy1,Pde9a
Adcy1,Pde6b
Adcy1,Pde6g
Adcy1,Pde6a
Adcy1,Pde5a
Adcy1,Pde6h
Adcy1,Nudt2
Adcy1,Enpp1
Adcy1,Enpp3
Adcy1,Prkaca
Adcy1,Prkacb
Adcy1,Rapgef3
Adcy1,Rapgef4
Plcb1,Minpp1
Plcb1,Pip4k2b
Plcb1,Pip4k2c
Plcb1,Pip4k2a
Plcb1,Synj1
Plcb1,Inpp5b
Plcb1,Synj2
Plcb1,Ocrl
Plcb1,Inpp5e
Plcb1,Ipmk
Plcb1,Pten
Plcb1,Inpp5j
Plcb1,Inpp5k
Plcb1,Inpp5a
Plcb1,Itpka
Plcb1,Itpkc
Plcb1,Itpkb
Plcb1,Mtm1
Plcb1,Impa2
Plcb1,Impa1
Plcb1,Pip5k1c
Plcb1,Pip5k1b
Plcb1,Pip5k1a
Plcb1,Pip5kl1
Plcb1,Pik3c3
Plcb1,Mtmr4
Plcb1,Mtmr6
Plcb1,Mtmr1
Plcb1,Mtmr7
Plcb1,Mtmr3
Plcb1,Mtmr2
Plcb1,Mtmr14
Plcb1,Plcz1
Plcb1,Plcb1
Plcb1,Plcb2
Plcb1,Plcb3
Plcb1,Plcb4
Plcb1,Plcd1
Plcb1,Plcd4
Plcb1,Plcg1
Plcb1,Plcg2
