"","gene_short_name","status","term","estimate","std_err","test_val","p_value","q_value"
"1047","KLF13","OK","groupNormal",1.055807,0.3564088,2.9623,0.00318,1
"1048","RYR3","OK","groupNormal",-2.281636,1.073807,-2.1248,0.034,1
"1049","GOLGA8A","OK","groupNormal",1.268939,0.4950039,2.5635,0.0106,1
"1050","BAHD1","OK","groupNormal",-0.8000309,0.4062669,-1.9692,0.0494,1
"1051","DLL4","OK","groupNormal",0.4486998,0.1717156,2.613,0.00921,1
"1052","INO80","OK","groupNormal",0.7913885,0.3716231,2.1295,0.0336,1
"1053","EHD4","OK","groupNormal",0.2766025,0.1028003,2.6907,0.0073,1
"1054","UBR1","OK","groupNormal",-0.4576989,0.1826311,-2.5061,0.0125,1
"1055","SPG11","OK","groupNormal",-0.515012,0.2513692,-2.0488,0.0409,1
"1056","SEMA6D","OK","groupNormal",-0.7679426,0.3611476,-2.1264,0.0339,1
"1057","LEO1","OK","groupNormal",-0.8531408,0.393631,-2.1674,0.0306,1
"1058","CCPG1","OK","groupNormal",-0.4165447,0.1203771,-3.4603,6e-04,1
"1059","FAM63B","OK","groupNormal",-0.2941193,0.1275022,-2.3068,0.0214,1
"1060","MYO1E","OK","groupNormal",-0.6614448,0.2895766,-2.2842,0.0227,1
"1061","TPM1","OK","groupNormal",0.236061,0.1050442,2.2473,0.025,1
"1062","RPS27L","OK","groupNormal",-0.3199272,0.1315155,-2.4326,0.0153,1
"1063","RAB8B","OK","groupNormal",-0.3537438,0.1704637,-2.0752,0.0384,1
"1064","USP3","OK","groupNormal",-0.5768874,0.2356284,-2.4483,0.0147,1
"1065","ANKDD1A","OK","groupNormal",-0.7919988,0.3550922,-2.2304,0.0261,1
"1066","PTPLAD1","OK","groupNormal",-0.6123941,0.1881903,-3.2541,0.00121,1
"1067","RAB11A","OK","groupNormal",-0.2081641,0.0951063,-2.1888,0.029,1
"1068","SMAD6","OK","groupNormal",-0.3913862,0.133619,-2.9291,0.0035,1
"1069","PIAS1","OK","groupNormal",0.491872,0.2485458,1.979,0.0483,1
"1070","RPLP1","OK","groupNormal",0.2043449,0.0489753,4.1724,3.49e-05,1
"1071","ISLR2","OK","groupNormal",-0.6268978,0.3136235,-1.9989,0.0461,1
"1072","SIN3A","OK","groupNormal",0.5217249,0.2568654,2.0311,0.0427,1
"1073","ARNT2","OK","groupNormal",1.821008,0.6586785,2.7646,0.00588,1
"1074","STARD5","OK","groupNormal",-1.82965,0.8373905,-2.1849,0.0293,1
"1075","PDE8A","OK","groupNormal",-0.4827002,0.1913434,-2.5227,0.0119,1
