Symbol,ATP_3uM,ATP_3uM+inh,ATP_500uM,Control,atp.3_vs_ctl_fc,related_to_movement
Nrbp2,1.20648809078957,1.00540674232464,0.804325393859713,0,Inf,No
Slc12a5,1.00538976045382,2.61401337717994,0.469181888211785,0.067025984030255,15,No
Cox6b2,1.03064400065219,1.78644960113047,0.755805600478274,0.0687096000434794,15,No
Sox8,0.656378674834468,1.24711948218549,1.05020587973515,0.0656378674834468,10,Yes
Adam28,1.05020587973515,2.1004117594703,1.1158437472186,0.131275734966894,8,No
Pcolce,1.47457164866561,1.3405196806051,1.07241574448408,0.201077952090765,7.33333333333333,No
Miat,1.30548240082611,1.03064400065219,0.687096000434794,0.206128800130438,6.33333333333333,No
Tsga13,1.05020587973515,2.16604962695374,0.19691360245034,0.19691360245034,5.33333333333333,No
Perp,7.10487431242746,11.9308266755857,10.7913657009511,1.54162367156445,4.60869565217391,No
Atl1,1.47459655540947,1.54162367156445,0.469189813084833,0.33513558077488,4.4,No
Ppp1r3b,12.5738568079567,17.5896576111307,28.7893224182179,2.95451280186962,4.25581395348837,No
Gm4532,1.13944172851433,17.7618857680176,0.53620787224204,0.26810393612102,4.25,No
Ctrc,1.40754566463535,0.40215590418153,1.00538976045382,0.335129920151275,4.2,No
Twist1,0.824515200521753,1.78644960113047,1.03064400065219,0.206128800130438,4,Yes
Fzd8,1.05020587973515,0.918930144768255,1.18148161470204,0.262551469933787,4,No
1110006O24Rik,1.07243385847962,1.87675925233933,0.469189813084833,0.268108464619904,4,No
Myh11,2.3361264014783,1.30548240082611,1.78644960113047,0.618386400391315,3.77777777777778,No
Foxa1,1.44403308463583,2.75679043430477,2.69115256682132,0.393827204900681,3.66666666666667,No
Gm11127,1.64094668708617,3.01934190423855,1.37839521715238,0.459465072384127,3.57142857142857,No
Scrt1,1.50967095211928,1.18148161470204,0.984568012251702,0.459465072384127,3.28571428571429,Yes
1700020L24Rik,0.893224800565233,1.16806320073915,1.03064400065219,0.274838400173918,3.25,No
Pcsk5,2.6796744016957,2.12999760134786,1.09935360069567,0.824515200521753,3.25,Yes
Nnat,1.74267558478663,2.21185747299841,1.3405196806051,0.53620787224204,3.25,Yes
Gata1,1.07241574448408,0.13405196806051,1.07241574448408,0.335129920151275,3.2,No
Slc22a17,1.30548240082611,3.09193200195657,1.16806320073915,0.412257600260877,3.16666666666667,No
Wfikkn1,1.27351520694455,2.54703041388909,1.13946097463459,0.402162696929856,3.16666666666667,No
Snora24,1.51161120095655,1.44290160091307,1.03064400065219,0.480967200304356,3.14285714285714,No
Ecel1,1.87675925233933,1.00540674232464,0.938379626169665,0.603244045394785,3.11111111111111,No
Selp,4.25999520269573,1.64903040104351,3.91644720247833,1.37419200086959,3.1,Yes
Sgip1,0.80431180836306,1.13944172851433,1.3405196806051,0.26810393612102,3,No
Ufsp1,1.00540674232464,1.00540674232464,0.804325393859713,0.33513558077488,3,No
C530028O21Rik,1.77222242205306,2.1004117594703,1.37839521715238,0.590740807351021,3,No
Snora70,2.41293542508918,0.871337792393315,1.67564960075637,0.80431180836306,3,No
Fancd2,1.13944172851433,3.21724723345224,2.34590944105892,3.55237715360351,0.320754716981132,No
Klrb1c,4.35676255007345,2.74811176235402,0.603244045394785,13.7405588117701,0.317073170731707,No
Serpinb10-ps,0.603233856272295,1.3405196806051,1.27349369657484,1.94375353687739,0.310344827586207,No
Mcee,0.618386400391315,2.19870720139134,1.09935360069567,1.9925784012609,0.310344827586207,No
Clec4b1,0.469181888211785,2.0778055049379,0.80431180836306,1.54159763269586,0.304347826086957,No
Enpp5,0.67025984030255,1.00538976045382,1.94375353687739,2.21185747299841,0.303030303030303,No
Upb1,1.57530881960272,2.29732536192064,1.24711948218549,5.51358086860953,0.285714285714286,No
Sema3a,0.268108464619904,1.00540674232464,1.54162367156445,0.938379626169665,0.285714285714286,Yes
Lmbr1,0.33513558077488,1.07243385847962,0.536216929239809,1.20648809078957,0.277777777777778,No
Prg3,0.737285824332805,1.40754566463535,1.20646771254459,2.74806534524045,0.268292682926829,No
Frmd5,0.536216929239809,5.16108794393316,1.00540674232464,2.01081348464928,0.266666666666667,Yes
St6galnac3,0.804325393859713,3.41838292390378,1.00540674232464,3.01622022697392,0.266666666666667,No
Ysk4,0.328189337417234,2.16604962695374,0.722016542317915,1.24711948218549,0.263157894736842,No
Wipi1,0.402162696929856,1.4075694392545,1.27351520694455,1.60865078771943,0.25,Yes
Cyp2r1,0.393827204900681,1.50967095211928,0.984568012251702,1.57530881960272,0.25,No
Des,0.33513558077488,1.07243385847962,0.737298277704737,1.4075694392545,0.238095238095238,No
Dagla,0.26810393612102,1.00538976045382,1.27349369657484,1.20646771254459,0.222222222222222,No
Dpf1,0.19691360245034,4.39773712139093,1.31275734966894,0.918930144768255,0.214285714285714,No
Vil1,0.274838400173918,1.23677280078263,1.09935360069567,1.30548240082611,0.210526315789474,Yes
1700056E22Rik,0.206128800130438,1.78644960113047,0.961934400608712,1.23677280078263,0.166666666666667,No
Nr2f2,0.13405196806051,0.53620787224204,1.07241574448408,1.00538976045382,0.133333333333333,Yes
G0s2,0.13405196806051,2.27888345702867,0.871337792393315,1.74267558478663,0.0769230769230769,No
