"","geneid","M_1029_T1_Negative","M_1029_T2_Negative","M_1029_T1_Positive","M_1029_T2_Positive"
"22423","Wbp5","275","357","176","428"
"22424","Ngfrap1","237","300","192","268"
"22425","Kir3dl2","0","0","0","0"
"22426","Kir3dl1","0","0","0","0"
"22427","Tceal3","0","1","0","0"
"22428","Tceal1","10","2","18","48"
"22429","Morf4l2","740","1161","665","1244"
"22430","BC065397","36","16","37","40"
"22431","Glra4","0","2","4","7"
"22432","Plp1","12","13","13","52"
"22433","Rab9b","0","3","0","0"
"22434","1700014N06Rik","0","0","0","0"
"22435","Tmsb15l","19","8","0","42"
"22436","Tmsb15b2","16","2","0","27"
"22437","Tmsb15b1","3","5","0","15"
"22438","Mcart6","8","7","4","10"
"22439","Zcchc18","0","2","5","0"
"22440","Fam199x","362","441","316","529"
"22441","Esx1","0","0","0","0"
"22442","Il1rapl2","0","0","0","0"
"22443","Tex13a","0","0","0","0"
"22444","Nrk","0","0","0","0"
"22445","Serpina7","0","0","0","0"
"22446","Mum1l1","0","11","0","6"
"22447","Trap1a","0","0","0","0"
"22448","D330045A20Rik","128","80","110","198"
"22449","Rnf128","168","58","162","143"
"22450","Tbc1d8b","291","336","193","392"
"22451","Ripply1","0","0","0","0"
"22452","Cldn2","667","220","629","193"
"22453","Morc4","26","12","5","0"
"22454","Rbm41","383","423","266","621"
"22455","Nup62cl","0","0","0","0"
"22456","E230019M04Rik","0","0","0","0"
"22457","Mir3475","0","0","0","0"
"22458","Frmpd3","14","1","0","7"
"22459","Prps1","305","209","152","347"
"22460","Tsc22d3","1987","2278","1371","3234"
"22461","Mid2","68","3","35","8"
"22462","Tex13","5","6","4","3"
"22463","Vsig1","0","0","0","0"
"22464","Psmd10","204","292","196","427"
"22465","Atg4a","99","160","128","158"
"22466","Col4a6","0","0","0","0"
"22467","Col4a5","64","14","51","15"
"22468","Irs4","0","0","0","0"
"22469","Gucy2f","23","1","12","14"
"22470","Nxt2","327","396","277","545"
"22471","Gm5643","0","1","0","5"
"22472","Kcne1l","11","0","0","0"
"22473","Acsl4","1946","2282","1501","3652"
"22474","Tmem164","1824","2494","1537","3581"
"22475","Ammecr1","126","137","168","177"
"22476","Rgag1","0","0","1","0"
"22477","Chrdl1","0","1","0","0"
"22478","Pak3","0","1","0","9"
"22479","Capn6","6","0","2","0"
"22480","Dcx","3","15","12","8"
"22481","Mir680-2","27","22","0","32"
"22482","Alg13","180","244","137","385"
"22483","Trpc5","6","2","0","10"
"22484","Gm15070","0","0","0","0"
"22485","Mageb16-ps1","54","88","40","61"
"22486","Zcchc16","0","0","0","0"
"22487","Lhfpl1","0","0","0","0"
"22488","Amot","213","216","162","216"
"22489","Htr2c","0","0","0","0"
"22490","Snora35","0","0","0","0"
"22491","Mir764","0","0","0","0"
"22492","Mir1912","0","0","0","0"
"22493","Mir1264","0","0","0","0"
"22494","Mir1298","0","0","0","0"
"22495","Mir448","0","0","0","0"
"22496","Il13ra2","0","0","0","0"
"22497","Vmn1r41","0","0","0","0"
"22498","Lrch2","0","0","0","0"
"22499","Ott","0","0","0","0"
"22500","Gm15085","0","0","0","0"
"22501","Gm15080","0","0","0","0"
"22502","Gm15093","0","0","0","0"
"22503","Ott","0","0","0","0"
"22504","Gm15107","0","0","0","0"
"22505","Gm15085","0","0","0","0"
