"","geneid","M_1029_T1_Negative","M_1029_T2_Negative","M_1029_T1_Positive","M_1029_T2_Positive"
"1","Xkr4","0","0","0","0"
"2","Rp1","0","0","0","0"
"3","Sox17","0","0","0","0"
"4","Mrpl15","4.47001712332412","4.84522542535963","3.84313413212551","4.65740742569428"
"5","Lypla1","20.939423413486","16.7402239726975","15.1421581064971","14.2279258554612"
"6","Tcea1","26.516601734998","28.3469229925998","24.7066402928223","22.6659581162552"
"7","Rgs20","0.275371294951064","0.155337265207356","0.106519297270023","0.30251002525068"
"8","Atp6v1h","20.8547767804311","20.1420391845617","18.8455061985885","21.7426592902008"
"9","Oprk1","0","0","0","0"
"10","Npbwr1","0","0","0","0"
"11","Rb1cc1","9.38107070037945","10.4327845102354","9.36183076714819","11.2871235655281"
"12","Fam150a","0","0","0","0"
"13","St18","0.584846916093611","0.326613691967462","0.312198574956715","0.455361575560461"
"14","Pcmtd1","10.6677955444288","10.9671761087238","11.3758211898717","11.3376212875273"
"15","Sntg1","0","0","0","0"
"16","Rrs1","11.9189516941612","11.0767681664963","9.16918943082367","12.475242762812"
"17","Adhfe1","7.09921059060683","2.47673615366771","6.61603944913812","1.53877521087313"
"18","2610203C22Rik","1.92759906465745","2.65626723504578","4.79336837715103","5.41114807667153"
"19","3110035E14Rik","0.150603127423817","0.309480378234736","1.09854918816163","0.491905078516446"
"20","Mybl1","0.211865723840158","0.603000937228385","0.402319795250766","0.0952141807003895"
"21","Vcpip1","27.9226173747605","26.1049468101889","24.1908535737326","28.5389508667726"
"22","Sgk3","15.0433574487528","17.2919812863944","14.0733977883172","16.4806936939356"
"23","6030422M02Rik","14.58367672403","13.3626555073674","11.3137012013461","13.1940449578066"
"24","Snhg6","9.60281274997654","19.2444551717884","22.8739067864932","21.861830924942"
"25","Snord87","5.55952317103905","2.35210007655192","0","2.29028704927964"
"26","Lrrc67","0","0","0","0"
"27","Cops5","24.0179776918335","23.6475598226379","26.5875260977665","26.3318313292885"
"28","Cspp1","5.85831242736039","4.50396012208824","4.44085653646114","4.9143332011702"
"29","Arfgef1","20.914923011526","21.2646502897357","19.3105630273713","21.2212560099364"
"30","Cpa6","0","0","0","0"
"31","Prex2","0.514853491123309","0.311174408983359","0.369861051502348","0.344658822513835"
"32","A830018L16Rik","0.01653622391","0.0629646951639366","0.134327602900024","0.0817466497753254"
"33","Sulf1","0.0422907807007493","0.0596406954717798","0","0"
"34","Slco5a1","0.0725069994108018","0.00681688033779196","0","0.00497829989562605"
"35","Prdm14","0","0.04475007215962","0","0"
"36","Ncoa2","18.3670273193952","17.596981026467","18.6402674512115","18.1233289268487"
"37","Tram1","58.2633408222534","51.9112613386371","47.5821479604713","54.1805943041238"
"38","Lactb2","19.611453558856","13.5519833859808","18.1645303978627","11.5575793760656"
"39","Xkr9","0","0","0","0"
"40","Gm5523","0.385519812931489","0.699017693433101","0","0.0340323778407015"
"41","Eya1","0.0316708787264734","0.17418939750908","0.147011390412392","0.136994075234048"
"42","Msc","0","0","0","0"
"43","Trpa1","0","0","0","0"
"44","Kcnb2","0","0","0","0"
"45","Terf1","14.3601155758988","10.7296861626418","11.5968400394662","9.49634636293474"
"46","Gm106","0.0499035316177692","0.211129798234888","0.926578341318277","0.154185991308855"
"47","Rpl7","569.168585427349","583.849663755835","518.823107836944","576.444897645753"
"48","Rdh10","10.6361712721752","7.0279452105775","9.22248252991202","7.08941141528652"
"49","Stau2","2.32512468491206","2.89088563041952","4.24005775756017","3.18143853264122"
"50","Ube2w","7.39852715398258","11.6579165787978","7.13222263288411","10.0795980588518"
"51","Tceb1","18.0213932598393","22.7213688372255","17.6636879506491","24.357382634564"
"52","D030040B21Rik","0.418094222212286","0.457821487879785","0.542262692307545","0.69907972702187"
"53","Tmem70","13.6580664507917","13.4996783069537","18.6061290990683","15.0693482757452"
"54","Ly96","7.95973743117254","12.700560280685","8.18131796644086","10.4696123571133"
"55","Jph1","0.0285281682724422","0.036208738436622","0","0"
"56","Gdap1","0","0","0","0"
"57","Pi15","0.802248107448795","1.1229921690543","0.896497670769197","0.709945978297574"
"58","Crispld1","0","0.0144828927995375","0","0.0317301376023515"
"59","Crisp4","0","0","0","0"
"60","Defb44-ps","0","0","0","0"
"61","Defb18","0","0","0","0"
"62","Defb41","0","0","0","0"
"63","Gm15386","0","0","0","0"
"64","Tcfap2d","0","0","0","0"
"65","Tcfap2b","0.0536437587567008","0.344969770785167","0.0871521523118369","0.205520203843197"
"66","Pkhd1","1.02363229590527","0.426342397332921","1.41561575370998","0.29168917285264"
"67","Mir206","0","0","1.08999883644804","0"
"68","Mir133b","0","0","0","0"
"69","Il17a","0","0","0","0"
"70","Il17f","0","0","0","0.613017257019954"
"71","Mcm3","24.2575775967131","26.3354794895984","23.0493586246539","22.1834854580868"
"72","Paqr8","0.589493935028725","0.459422262312931","0.342042621301682","0.258823163148231"
"73","Efhc1","0.590027896926396","0.76201792939016","1.00903877794375","0.767578087167995"
"74","Tram2","5.5476860031802","4.52947589854096","4.00955569149056","2.82669210695337"
"75","Tmem14a","2.71310063622649","1.14784739946838","1.50266925923997","0.266719579929598"
"76","Gsta3","7.89707900548282","3.24103169169016","9.93252043171585","2.30845139484289"
"77","Gm4956","0.238910984121306","0","0.277247090803857","0"
"78","Khdc1a","0","0","0","0"
"79","Khdc1c","0","0","0","0"
"80","Khdc1b","0.0610302202428259","0","0.0354116221899008","0"
"81","Kcnq5","0","0.0249363045365103","0","0"
"82","Rims1","0","0","0","0"
"83","4933415F23Rik","0","0.0325946452555884","0","0"
"84","Mir30a","0","0","0","0"
