"","geneid_symbol","PVN_naive1","PVN_naive2","PVN_naive3","PVN_3L1_b1","PVN_3L2_b1","PVN_3L3","logFC","logCPM","PValue","FDR"
"ENSMUSG00000000001.4","Gnai3",183,376,186,807,1462,278,3.24819184526618,5.10836106283388,1.53188330456018e-11,2.3777892653383e-07
"ENSMUSG00000000028.15","Cdc45",0,2,1,24,2,10,-4.12447234334621,3.85959325499805,1.26405580623302e-09,9.8103371121745e-06
"ENSMUSG00000000056.7","Narf",213,245,225,864,1063,325,2.40883143527216,8.2674722933903,3.8430603386121e-08,0.00019883994191979
"ENSMUSG00000000058.6","Cav2",36,22,0,74,77,0,-9.87127738249273,3.26610516331255,7.91554789330827e-08,0.000307162835999827
"ENSMUSG00000000078.7","Klf6",1963,3143,1803,5420.999,10717,3512,-2.89901709503651,10.4731369556976,1.53067722140773e-07,0.000475183436613815
"ENSMUSG00000000085.16","Scmh1",104,195,92,491.001,754,217.999,1.64125207612333,5.28793300370152,2.66069894282099e-06,0.0068832281650779
"ENSMUSG00000000088.7","Cox5a",46,40,39,123.001,287,106,3.13318800584384,3.22644610285298,2.14621038295646e-05,0.0475906822346432
"ENSMUSG00000000093.6","Tbx2",10,5,0,6,19,0,1.98285697371223,5.42816133680461,5.72647307617448e-05,0.104620468015593
"ENSMUSG00000000120.6","Ngfr",8,1,0,0,0,0,3.95206623405003,3.44462987293419,6.06612686599883e-05,0.104620468015593
"ENSMUSG00000000126.11","Wnt9a",8,1,8,0,0,0,2.5970071745006,3.87659372320607,8.36932616562817e-05,0.126904946511211
"ENSMUSG00000000127.15","Fer",44,72,5,216,358,80,-8.5869237165508,1.98704024841309,8.99339267892875e-05,0.126904946511211
"ENSMUSG00000000131.15","Xpo6",287.999,424,256,936,1718.999,472.999,2.42849480843228,5.54768550842272,0.000117468470967338,0.151945467196252
"ENSMUSG00000000134.17","Tfe3",623.001,1120,434.999,3034.999,6130,1348.001,-2.00387569873166,4.26588833066194,0.000132592600351125,0.158315564819243
"ENSMUSG00000000142.15","Axin2",0,1,0,16,14,1,-6.59435474305069,7.74813419480355,0.000185491961763258,0.205657587892093
"ENSMUSG00000000148.17","Brat1",145,178.001,103,487,895,209,-1.01731720647016,9.16097022008369,0.000202661268044967,0.209713880172932
"ENSMUSG00000000149.10","Gna12",1415,1829,951,4126,8626,1854,-0.971792025355403,9.85991520129472,0.000219438521797531,0.212882795958829
"ENSMUSG00000000154.16","Slc22a18",0,4,0,0,9,4,3.04888214182198,3.44754753089151,0.000263059154925871,0.240188482515257
"ENSMUSG00000000157.16","Itgb2l",9,11,6,144,92,81,-0.913031546416495,10.3370946134407,0.000337973367407243,0.288534639036906
"ENSMUSG00000000159.16","Igsf5",0,3,10,0,1,0,-0.904393927278557,10.6618814857628,0.000371851865420832,0.288534639036906
"ENSMUSG00000000167.14","Pih1d2",10,5,0,0,0,0,1.31451176660468,4.9505794649207,0.000394728742939816,0.288534639036906
"ENSMUSG00000000168.9","Dlat",97,91,69,251,395,102,-0.890597253813752,12.1263528686924,0.000404331010815752,0.288534639036906
"ENSMUSG00000000171.5","Sdhd",30,114,71,234,398,85,0.858953351493423,7.31047945673072,0.000408952587218911,0.288534639036906
"ENSMUSG00000000183.6","Fgf6",0,4,5,10,0,21,1.84463176451897,6.60210455794093,0.000567225764113193,0.382803404807173
"ENSMUSG00000000184.12","Ccnd2",36,31,1,24,18,88,0.908543251543508,5.82188579124811,0.00065152681103439,0.421374965036492
"ENSMUSG00000000194.13","Gpr107",383,311,155,822.001,1727,383.001,1.24890120419232,5.07065989453153,0.000729491690512544,0.452926800805428
"ENSMUSG00000000197.8","Nalcn",10,3,0,15,1,6,-8.15449787724629,1.5848413391289,0.00107678970618259,0.642843454591008
"ENSMUSG00000000202.9","Btbd17",24,2,0,18,34,10,-3.83821204928348,2.41857820455826,0.00116758926435209,0.661120739308369
"ENSMUSG00000000204.16","Slfn4",3,6,5,143,227,62,0.897271465995332,8.80699964094419,0.00120238038680668,0.661120739308369
"ENSMUSG00000000244.17","Tspan32",15,36,50,57,124,37.001,0.888248346438244,7.96966208890042,0.0012351824146336,0.661120739308369
"ENSMUSG00000000247.11","Lhx2",6,1,9,0,0,0,-0.826910825883773,10.8503483581665,0.00134406802189974,0.695420794530927
"ENSMUSG00000000253.13","Gmpr",139,129,26,191,449,111,-0.782152140720052,10.4203670608286,0.00145093640820481,0.726497900908226
"ENSMUSG00000000275.16","Trim25",176,205,44,599,1212,198,3.52651558966056,2.82923469569939,0.00160054403302502,0.776363890019199
"ENSMUSG00000000276.11","Dgke",47,35,35,87,233,56,-0.791263442561378,6.04012239638175,0.00173268383316722,0.814991468437018
"ENSMUSG00000000278.10","Scpep1",207,283,165,680,1291,303,-1.7868924458454,7.97747335188092,0.00228271408781054,1
"ENSMUSG00000000282.12","Mnt",229,376,97,987,1941,533,-6.50515759122566,1.74457939263277,0.00229078860669917,1
"ENSMUSG00000000290.13","Itgb2",1500,1747,1040,4219.999,8960.999,2022,-0.891265197824956,6.69062150346447,0.00234485511590455,1
"ENSMUSG00000000295.13","Hddc2",15,8,0,46,29,33,0.816310943105399,5.87968825188095,0.00252347504784517,1
"ENSMUSG00000000303.12","Cdh1",0,1,1,8,15,0,0.837856469686624,5.63033579013915,0.00263927707990795,1
"ENSMUSG00000000305.12","Cdh4",4,9,1,0,0,1,2.15382179757934,3.22553711967121,0.00296104223778841,1
"ENSMUSG00000000317.11","Bcl6b",2,3,0,1,0,5,0.6720872803221,8.92172560314709,0.00326121427901737,1
"ENSMUSG00000000318.16","Clec10a",0,1,3.607,0,3,7,-5.35680567594225,1.97874803946958,0.00333861627252469,1
"ENSMUSG00000000320.10","Alox12",0,4,0,18,11,0,0.944897584606318,5.10093204384221,0.00335433398856349,1
"ENSMUSG00000000325.16","Arvcf",267,283.001,168,621,1206.999,436,1.12411435761258,5.14600984807028,0.00352147324225593,1
"ENSMUSG00000000326.13","Comt",311,418,445,1387,2604,481,0.74640383933817,8.92319138504694,0.00370509966644799,1
"ENSMUSG00000000339.14","Rtca",22,50,18,117,131,45,-7.87290143117996,1.28946107418064,0.00379656110448447,1
"ENSMUSG00000000340.10","Dbt",85,92,41,157,327,63,1.07448176741797,4.92229161592733,0.00382622978270514,1
"ENSMUSG00000000346.9","Dazap2",530,725,384,1590,3071.993,694,-1.23352394582655,4.89531211033682,0.00405398292624838,1
"ENSMUSG00000000355.13","Mcts1",8,36,20,140,155,29,0.667944813485117,6.3168263594452,0.00417777407233809,1
"ENSMUSG00000000365.9","Rnf17",0,11,9,39,65.999,27,-0.620492835473379,7.03552175718777,0.00421106078035135,1
"ENSMUSG00000000374.8","Trappc10",349.999,341,116,861,1940.999,349,1.0439252776223,4.74222834510349,0.00425789880913567,1
"ENSMUSG00000000378.15","Ccm2",134,109,45,321.001,719,141,-4.46980427988003,3.00505075271261,0.00431306301649472,1
"ENSMUSG00000000381.10","Wap",0,4,15,0,0,6,-7.79150220729879,1.21988653623787,0.00443679590057434,1
"ENSMUSG00000000384.15","Tbrg4",51.999,98.999,139.999,224,766.001,155.001,0.999423372073583,4.81467278778823,0.00458293605743587,1
"ENSMUSG00000000385.8","Tmprss2",7,91,46,141,175,68,-0.731859637807658,5.98851078099586,0.00459546338156582,1
"ENSMUSG00000000392.17","Fap",3,7,0,0,0,12,-1.09328974647929,4.61729837092828,0.00511992411590383,1
"ENSMUSG00000000399.10","Ndufa9",107,149,84,389,718,127,0.89810055006444,5.37591677813862,0.00516083721006597,1
"ENSMUSG00000000409.14","Lck",5,7,0,0,13,7,-4.67989444771451,2.29177889025906,0.00516940117606244,1
"ENSMUSG00000000411.7","Tssk3",11,5,0,20,12,14,-0.870969082616007,5.15290547779407,0.00533378276933887,1
"ENSMUSG00000000416.16","Cttnbp2",1,3,2,0,0,11,-0.873894945080357,5.20806050100095,0.00544928952498575,1
"ENSMUSG00000000420.15","Galnt1",415,563.999,342,1131,2452,612,-7.77577199950123,1.18829250327254,0.00568893946726258,1
"ENSMUSG00000000439.9","Mkrn2",135,227,104,471,1097,250,0.729890188358077,5.8565541388707,0.00597995017357283,1
"ENSMUSG00000000440.12","Pparg",3,2,1,0,14,5,-1.51871412174984,5.15347440255161,0.00651150888466683,1
"ENSMUSG00000000441.17","Raf1",311,401.999,192.001,918.999,1860.999,435,-7.71013377131633,1.16015345049883,0.00694064661851205,1
"ENSMUSG00000000486.13","Septin1",6,1,0,20,63,22,-1.09520003454201,4.3217755294555,0.00708932518598151,1
"ENSMUSG00000000489.7","Pdgfb",1114,1655,612,3931,8005.001,2152,0.865368101062334,5.14819399496387,0.00722696148046047,1
"ENSMUSG00000000530.16","Acvrl1",69,108,94,323,733,137,2.33488683767607,2.88952635484092,0.00727698873570799,1
"ENSMUSG00000000531.5","Grasp",23,89,27,118,411,67,-1.18528282733677,4.41686470271584,0.00734069230309625,1
"ENSMUSG00000000532.11","Acvr1b",143,115,69,363,715,156,-1.74527685729908,4.75193334631059,0.00736287204176298,1
"ENSMUSG00000000538.18","Tom1l2",135,136,125,383.999,679,197,-1.67747601665621,3.39253498070755,0.00746134297301226,1
"ENSMUSG00000000544.14","Gpa33",0,1,8,9,0,0,4.5826318529158,1.81100655542699,0.00750172153083522,1
"ENSMUSG00000000552.10","Zfp385a",449,537,298,1406,2281,709,-7.77751884378587,1.25250872544292,0.00755030848996734,1
"ENSMUSG00000000555.8","Itga5",89,223,68,391,755,132,0.778006188305289,5.55235943577044,0.00774012265723292,1
"ENSMUSG00000000560.9","Gabra2",12,8,0,0,0,0,-7.72987571873508,1.13178471424577,0.00792185503550677,1
"ENSMUSG00000000561.14","Wdr77",90,121.576,53.655,341,390.93,92.917,2.71009571804223,2.70832835501707,0.00793125337274987,1
"ENSMUSG00000000562.5","Adora3",237,298,176,775,1506,323.422,-7.6786610547249,1.14069734277822,0.00795061142034719,1
"ENSMUSG00000000563.17","Atp5pb",67,194,98.999,254,641,193,1.52772705537678,3.70934643803266,0.00808532720353914,1
"ENSMUSG00000000568.15","Hnrnpd",268.001,534.001,274,1166.999,2338.999,649.001,-7.63918955065808,1.05465193571069,0.00822295899118956,1
"ENSMUSG00000000579.14","Dynlt1c",51.516,21.874,23.479,72.06,73.241,7.101,-1.10162835838345,4.73027158727149,0.00823450791491144,1
"ENSMUSG00000000581.8","C1d",7,36,11,118,178,80,-7.9772039034291,1.4104040893922,0.00830231893807659,1
"ENSMUSG00000000594.7","Gm2a",378,632,323,1022,2616,492,-5.30047358155993,1.37625837867292,0.00832479129455532,1
"ENSMUSG00000000600.15","Krit1",153,204.001,102,636.001,1008,187,0.868710201648794,6.670520965269,0.00833800370047453,1
"ENSMUSG00000000605.9","Clcn4",519,687,410,1313,2881.001,740,1.77929889251121,4.74524878312304,0.00873204102699229,1
"ENSMUSG00000000617.14","Grm6",0,1,13,0,0,0,-7.58416029097589,1.03681838339341,0.00903554352648775,1
"ENSMUSG00000000628.10","Hk2",1309,1730,803,4289,7855,2011,-2.09877492948254,2.92529141344148,0.00919812778101968,1
"ENSMUSG00000000631.20","Myo18a",675,992.002,451.999,1966.999,4184,902.001,-7.55572795815136,1.01850097780497,0.00940075469338144,1
"ENSMUSG00000000632.13","Sez6",18,2,0,0,14,3,1.03323577728273,4.83386675537451,0.00941032785365589,1
"ENSMUSG00000000673.9","Haao",36,18,9,62,98,26,7.8048852810905,1.47511419036143,0.00950661140072183,1
"ENSMUSG00000000682.7","Cd52",54,94,78,209,560,101,0.574566439837278,7.40899228132646,0.00969852040021271,1
"ENSMUSG00000000686.11","Abhd15",313,272,153,664,1316,383,-2.13456987325331,3.11439008426797,0.00986093710524553,1
"ENSMUSG00000000693.10","Loxl3",81,95,50,343,698,128,-6.01927976518125,1.37249824836583,0.0101165443678299,1
"ENSMUSG00000000706.16","Btn1a1",2,4,8,10,0,0,-7.62788017442392,1.01533374295766,0.0102355123688094,1
"ENSMUSG00000000708.14","Kat2b",158,234,92,563,710,191,-0.870184737871527,4.7816582316771,0.0105964988691754,1
"ENSMUSG00000000711.3","Rab5b",265,363.947,174,692.743,1355.658,290,2.489991945106,2.75419325368201,0.0108651390009536,1
"ENSMUSG00000000724.10","Cryba1",0,2,0,6,14,0,-0.821705670205208,5.13983820540853,0.0110539866466589,1
"ENSMUSG00000000731.15","Aire",7,3,0,0,0,0,0.845153908467007,5.02634906566749,0.0111259924016556,1
"ENSMUSG00000000732.9","Icosl",340,415.001,182,1316,2455,705,-2.04449183261274,3.18277638632661,0.0111274923896143,1
"ENSMUSG00000000738.18","Spg7",153,115.999,68,314.001,644,190.999,0.610151499384157,6.55234884374079,0.0112802685073405,1
"ENSMUSG00000000739.14","Sult5a1",4,11,0,27,0,3,-0.574489631206899,7.32952632691298,0.0113037684514149,1
"ENSMUSG00000000740.12","Rpl13",595.886,1096.608,656.497,2134.32,4148.637,744.413,-0.60672953190619,7.03302329494544,0.0116216787483712,1
"ENSMUSG00000000743.9","Chmp1a",248,241,125,632,1150,231,1.79303167417818,3.26897543495216,0.0118780987380923,1
"ENSMUSG00000000751.13","Rpa1",69,167,83,294,639,191.999,-7.46455715621109,0.912859042970119,0.0119083991887242,1
"ENSMUSG00000000753.15","Serpinf1",93.001,146,114,455,800,210,0.808552112389176,5.41836055817458,0.0120636761889963,1
"ENSMUSG00000000759.14","Tubgcp3",133.999,201,82.001,448,912.001,193,-1.2088479437256,4.05955288715727,0.0121482837733802,1
"ENSMUSG00000000766.18","Oprm1",0,5,0,3,0,9,-2.05728301360942,3.83187141839715,0.0122533156590976,1
"ENSMUSG00000000776.13","Polr3d",52,72.001,19,123,276,86,-0.790114940609175,5.08000803442885,0.0122934065330558,1
"ENSMUSG00000000787.12","Ddx3x",2476,5504,2330,11372,21626.877,4881,-0.703625266336579,8.3817370975282,0.0129724779534481,1
"ENSMUSG00000000792.2","Slc5a5",11,8,1,8,0,19,-0.565935484285293,6.82302487428911,0.0130891610772893,1
"ENSMUSG00000000794.9","Kcnn3",0,6,0,17,14,8,0.581961188490578,6.6821444817809,0.0134130637889443,1
"ENSMUSG00000000804.14","Usp32",145,269,138,499,848,254,-1.44068590366735,3.76335194597746,0.0134346557267971,1
"ENSMUSG00000000805.18","Car4",4,1,0,0,0,0,0.602712538359965,6.52886285264415,0.0134770117871486,1
"ENSMUSG00000000811.13","Txnrd3",26,27,27,46,78,7,-7.75367271348022,1.1605945947417,0.0136157354202613,1
"ENSMUSG00000000823.16","Zfp512b",153,121.999,37,354,568,248,0.594848426879301,6.40226787366311,0.0136270992781326,1
"ENSMUSG00000000826.16","Dnajc5",419,663,271.999,1679,2837,814,0.590046618642184,6.94430398204291,0.0137507773508236,1
"ENSMUSG00000000827.18","Tpd52l2",99.999,143,41,370,658.001,173.001,-2.32741609649527,2.5028190308421,0.013775470036924,1
"ENSMUSG00000000838.17","Fmr1",183.001,299.278,65,709.999,1121,205,-2.02779189200929,3.05849964320288,0.0138296076373889,1
"ENSMUSG00000000861.15","Bcl11a",27,19,17,25,63,16,0.554411809457604,6.88299091577347,0.0138726877892945,1
"ENSMUSG00000000876.11","Pxmp4",18,46,26,147,251,62,-0.610812893708357,7.03262112041013,0.0138896643357764,1
"ENSMUSG00000000881.12","Dlg3",99.999,117,25,197,524,200,0.63186997634944,7.9444846630637,0.0139841107730368,1
"ENSMUSG00000000884.17","Gnb1l",20,26,0,16,64,19,-0.609033845574811,5.91079136200691,0.0142922524802366,1
"ENSMUSG00000000901.17","Mmp11",5,11,0,9,90,17,-0.733862101264667,5.23770257260142,0.0144145110799561,1
"ENSMUSG00000000902.13","Smarcb1",124,174,90,268.999,565.001,147,0.855494276097427,4.80480619844371,0.0144652346917046,1
"ENSMUSG00000000915.15","Hip1r",89,188,95.553,515,1007.665,166.903,1.06055955846466,4.15453700016454,0.0144675814831369,1
"ENSMUSG00000000916.15","Nsun5",50,59.999,36,215,501,69,0.794659307573137,5.58961979166163,0.0144983577951872,1
"ENSMUSG00000000934.9","Top1mt",11,15,12,58,145,57,-2.14803433738477,2.73219324701066,0.0145315482573791,1
"ENSMUSG00000000948.16","Gm38393",0,3,0,0,13,1,7.26259435288977,1.08469477335593,0.0146010848130313,1
"ENSMUSG00000000957.11","Mmp14",121,168,56,484,858,242,0.647776310767197,5.77873565694495,0.0146989212620531,1
"ENSMUSG00000000958.10","Slc7a7",331.999,355,235.001,910.999,1895,426,0.564949893076879,7.11274705292458,0.0148859249213806,1
"ENSMUSG00000000959.7","Oxa1l",183,164,77,346,911.001,222,-0.587961897240982,8.15561407911185,0.0149076606021234,1
"ENSMUSG00000000976.13","Heatr6",76,124,76,336,663,168,0.581158975795501,7.87171542319039,0.0149202933040132,1
"ENSMUSG00000000982.5","Ccl3",913,1100,1108,3508,7069,1930,0.718984823420415,5.46042533298208,0.0149929482718756,1
"ENSMUSG00000001014.6","Icam4",7,28,27,11,98,39,3.57735537358475,2.20962579757909,0.0151227681513787,1
"ENSMUSG00000001016.12","Ilf2",113,99,61,363,713,156.999,-0.867664468362609,4.57754958963388,0.0151569046287764,1
"ENSMUSG00000001017.15","Chtop",424,453.001,214,1239,2310.999,605,-2.32575058459091,3.66667466024418,0.0151707547452465,1
"ENSMUSG00000001018.15","Snapin",81.001,115,65,272,558,115,-7.64699156191314,1.14435388988941,0.0151909621337416,1
"ENSMUSG00000001020.8","S100a4",0,3,0,0,2,1,1.0936064923441,4.40391851938785,0.015670577359536,1
"ENSMUSG00000001021.13","S100a3",0,10,6,0,0,1,-0.982168653336474,4.5120582654949,0.0159716055512088,1
"ENSMUSG00000001025.8","S100a6",0,0,5,6,11,13,-1.49204827950361,3.53058810293431,0.0161226598621495,1
"ENSMUSG00000001029.15","Icam2",0,9,0,18,0,4,7.13850898191117,0.960284686785326,0.0162738906174564,1
"ENSMUSG00000001034.17","Mapk7",154,117.999,71,436.001,662,176.001,1.13389108250057,4.07217674842137,0.0162909882149625,1
"ENSMUSG00000001036.17","Epn2",98,111,35,183,531,108,2.03241445136159,3.06234960565937,0.0163063385577166,1
"ENSMUSG00000001052.15","Sec24b",301.999,440,168,828.999,1735,442,-4.79517115549801,1.70747322640942,0.016306457702087,1
"ENSMUSG00000001053.15","N4bp3",17,26,0,14,102,8,1.02173439585239,4.56882703151648,0.0163361153339084,1
"ENSMUSG00000001054.9","Rmnd5b",122,75,38,194,544,115,-0.955665744876195,4.42848436423532,0.0163725160841381,1
"ENSMUSG00000001056.3","Nhp2",8,23,22,69,134,42,0.854179924734967,4.68432053094675,0.0164309339304564,1
"ENSMUSG00000001062.18","Vps9d1",266,266.001,140,887,1542,376.999,-0.989322091762927,4.34794443517044,0.0164835563774302,1
"ENSMUSG00000001065.15","Zfp276",226,207.001,122,554.001,759,251,-7.48383962275976,0.965476870807262,0.0167666743501138,1
"ENSMUSG00000001082.12","Mfsd10",131,106,62,232,443.002,154,-1.09430130069264,4.21495838951813,0.0167770139069403,1
"ENSMUSG00000001089.14","Luzp1",71,121,39,298,371,113,0.612081152376413,6.69956134978881,0.0167869663871259,1
"ENSMUSG00000001098.15","Kctd10",73,146,73,346,452,126,0.563527116242648,8.5111224784617,0.0169822370379118,1
"ENSMUSG00000001100.10","Poldip2",75,108.999,60,326,491,161,-1.32105014037174,3.81537040617908,0.0171514790582958,1
"ENSMUSG00000001103.7","Sebox",2,1,0,0,0,0,-7.6841101277814,1.07232635070795,0.0173262239500281,1
"ENSMUSG00000001105.15","Ift20",8,54,36,128,223,52,1.66535693909207,3.29979551974487,0.0173787996818718,1
"ENSMUSG00000001120.15","Pcbp3",0,8,13,9,11,3,-7.29432639666715,0.774359510827788,0.0174884901666397,1
"ENSMUSG00000001123.15","Lgals9",317,563,283,1108,2790,519,-0.840926528094052,4.66082045652805,0.0175779540971881,1
"ENSMUSG00000001127.12","Araf",237,205,107.999,458,989,230,-7.77116664703526,1.24181947503456,0.0176283874426629,1
"ENSMUSG00000001128.7","Cfp",23,9,8,74,97,12,-0.588065934930367,6.11272957622729,0.0176722857206842,1
"ENSMUSG00000001134.9","Uxt",5,10,0,17,25,12,-2.74925910986387,2.13714592495306,0.0178701763382947,1
"ENSMUSG00000001138.13","Cnnm3",193,173,31,476,791,213,0.810835420155565,5.28033145701268,0.0180562366855757,1
"ENSMUSG00000001143.13","Lman2l",140,234.001,168.999,581,1040,235,-2.07470135420314,4.41818930440386,0.0180572760691522,1
"ENSMUSG00000001150.7","Mcm3ap",230,211,90,612,1050,202,-0.553574886523521,6.39141269508936,0.0184474527925016,1
"ENSMUSG00000001151.10","Pcnt",103.001,294,132,598,1244,316,-7.62924054044962,1.05416159464997,0.0185442432110291,1
"ENSMUSG00000001156.9","Mxd1",122,172,195,552,1044,200,0.539323206463663,7.49266291249187,0.0186807764159752,1
"ENSMUSG00000001157.13","Gmcl1",72,74,105,80,255,129,1.01462977798708,4.52041343259326,0.0188821586609516,1
"ENSMUSG00000001158.13","Snrnp27",8,25,43,63,187,21,-6.33157292257715,1.06969159369543,0.0193550097871479,1
"ENSMUSG00000001166.17","Oas1c",1,3,7,10,40,19,-7.32727590813781,0.779343587446381,0.0194203761255995,1
"ENSMUSG00000001173.15","Ocrl",38,70,116,155,507,54,-2.49863543762349,4.4757651088179,0.0194233583868755,1
"ENSMUSG00000001175.16","Calm1",665,1966,1258,4401.999,7728.999,1711,-0.519893901669514,7.25769779694346,0.0195523950102465,1
"ENSMUSG00000001211.15","Agpat3",275,376,218.001,1042,2019.001,415,0.712613125049575,5.59328587056269,0.0196651744610061,1
"ENSMUSG00000001227.12","Sema6b",74,203,73,60,349,95,0.518688777896408,7.12447271310693,0.0197014590087987,1
"ENSMUSG00000001228.14","Uhrf1",4,10,12,25,43,18,0.613499515439979,8.28548685532507,0.0199866452054222,1
"ENSMUSG00000001229.9","Dpp9",192,181,104,460,758,272,-7.36693675173728,0.781614396912701,0.0206087657275464,1
"ENSMUSG00000001240.13","Ramp2",5,1,0,0,7,0,-7.64772534437869,1.02192661013128,0.0206458264862779,1
"ENSMUSG00000001247.16","Lsr",7,4,0,2,9,2,-0.746343472725197,5.06503072254951,0.0206470992703489,1
"ENSMUSG00000001248.15","Gramd1a",993,1198.001,560,2911.002,5550,1359,-1.81596431646734,3.37225584816135,0.020687771591186,1
"ENSMUSG00000001249.14","Hpn",39,59,38,81,377,51,-3.22990163397564,2.21516873669259,0.020821603856999,1
"ENSMUSG00000001260.10","Gabrg1",0,5,2,0,0,8,6.94653038515755,0.844448902143961,0.0210068042105871,1
"ENSMUSG00000001270.9","Ckb",1397,2214.97,1099,4772.736,9680.908,2472,-7.24318721647118,0.707641455698967,0.0213184365946839,1
"ENSMUSG00000001280.13","Sp1",345,583,210,1108,2886,546,-0.859024817024808,8.09621801414121,0.0213597020971247,1
"ENSMUSG00000001281.10","Itgb7",9,6,4,36,34,4,-7.25737168212277,0.71704145824514,0.0216739297933463,1
"ENSMUSG00000001285.12","Myg1",57,47.999,42,167.001,327.998,72.999,-0.624470211728171,5.49217028072545,0.0219598659820677,1
"ENSMUSG00000001288.15","Rarg",19,32,21,60,246,25,-0.924919337572377,4.34730836651736,0.0220517850834419,1
"ENSMUSG00000001289.12","Pfdn5",118.999,163,137.001,327,808,145,-7.57876121856935,0.970987187429768,0.0221051053358208,1
"ENSMUSG00000001300.16","Efnb2",67,194,65.999,565,659,114,-7.56295324366223,0.964395667119705,0.0226628833055961,1
"ENSMUSG00000001305.5","Rrp15",32,27,22,114,154,13,-3.30982971339334,2.25699940311543,0.0227007405132468,1
"ENSMUSG00000001313.12","Rnd2",7,13,28,12,25,0,-0.947778178020848,4.76018808505914,0.0228763115167317,1
"ENSMUSG00000001323.17","Srr",51,40,30,109,274,70,1.1471837167356,4.01219036825782,0.0229020092421633,1
"ENSMUSG00000001333.9","Sync",5,16,15,46,15,25,0.56858840928094,5.87406536717883,0.0229835365274717,1
"ENSMUSG00000001334.9","Fndc5",1,4,0,10,0,0,-0.716066350329584,5.38763906979956,0.0230587983857713,1
"ENSMUSG00000001366.14","Fbxo9",70,52,41,163,228,40,2.22253814024771,2.79168056935288,0.0231318622063286,1
"ENSMUSG00000001376.17","Vps50",129,137.001,63,389,729,143,0.661929038225961,5.52441986465701,0.0231734433887162,1
"ENSMUSG00000001380.7","Hars",100,84,60,111,408,74,0.536750398092486,6.14318377922763,0.0233192631745119,1
"ENSMUSG00000001383.9","Zmat2",91,119,81,275,405,170,0.577945968636942,5.99896190403442,0.023346837245017,1
"ENSMUSG00000001403.13","Ube2c",0,5,21,12,63,0,-2.87895406866427,2.47552699137732,0.0234136751706783,1
"ENSMUSG00000001415.10","Smg5",213,248.001,189.999,637.999,1422,352,-7.53200857959904,1.02529942572588,0.0235450017132687,1
"ENSMUSG00000001416.13","Cct3",277,388,165,653.001,1234.999,405.999,0.496903006837864,6.94041275525746,0.0235514066959201,1
"ENSMUSG00000001418.13","Glmp",275.001,391,154,1000,1560,456.002,-0.65314102516865,8.09465932247038,0.0238690358945152,1
"ENSMUSG00000001419.17","Mef2d",577.001,1181,380,2634,5219.999,1248,-0.618469940990843,9.77740828431008,0.0238742253929108,1
"ENSMUSG00000001420.13","Tmem79",4,17,0,36,38,17,0.699295715867147,5.18311677561915,0.0240052457483442,1
"ENSMUSG00000001424.14","Snd1",241,306.999,140,629.001,1327,327,-6.06236428919103,0.709670889807752,0.0242658037123657,1
"ENSMUSG00000001435.15","Col18a1",12,3,7,2,0,0,-0.658401020545602,5.39481590931999,0.0243357698553607,1
"ENSMUSG00000001436.15","Slc19a1",59.999,81,23,178,300.001,43,0.724074299812322,5.43791022686226,0.0248126023456469,1
"ENSMUSG00000001440.5","Kpnb1",974,1560,522,3420.999,7203,1429.001,-7.44733037754209,0.956969334984236,0.0248512888683329,1
"ENSMUSG00000001441.13","Npepps",159,340,140,876,1552,341,-7.19238846013951,0.682574686943916,0.0248632240605323,1
"ENSMUSG00000001445.10","Mrpl10",55,80,22,185,484,74,-1.10153792606178,3.93929228039792,0.024921338783942,1
"ENSMUSG00000001467.5","Cyp51",19,65,20,155,188,96,-0.839656693936229,4.54039642496615,0.0251661005521868,1
"ENSMUSG00000001472.17","Tcf25",786,839.001,459,2040,4490,1014.001,-0.649720166969616,9.60399758175384,0.0251836687093651,1
"ENSMUSG00000001473.7","Tubb6",52,266,72,252,686,145,6.95749192609833,0.797453072966973,0.0256236588989493,1
"ENSMUSG00000001482.15","Def8",29,58,20,101,296,44,-3.49934695460039,2.1838976577116,0.0257067166901584,1
"ENSMUSG00000001507.16","Itga3",1,14,0,0,0,16,0.513212025824853,6.98897625560649,0.0258593144945674,1
"ENSMUSG00000001510.8","Dlx3",13,2,0,11,0,0,-7.07482104761393,0.565417570930546,0.0258785746855818,1
"ENSMUSG00000001517.14","Foxm1",14,17,43,37,212,38,-7.03143163060574,0.569874794294982,0.0262034352917361,1
"ENSMUSG00000001518.12","Itfg2",41,41.001,16,101,179,33.999,0.537696927976966,8.57500561936742,0.0265194606735653,1
"ENSMUSG00000001520.12","Nrip2",6,7,0,6,42,10,-7.22871276073103,0.648129705004597,0.0266322177544102,1
"ENSMUSG00000001521.12","Tulp3",13,30,13,61,103,51,0.870636062950747,4.50996000278443,0.0272799453484162,1
"ENSMUSG00000001524.14","Gtf2h4",39,31,15,45,83,30,-7.1474690279431,0.659602270291556,0.027350673819778,1
"ENSMUSG00000001525.10","Tubb5",845,938,702,1910,4431,1079,-1.14640609019956,3.69530051086886,0.0273630525652357,1
"ENSMUSG00000001542.7","Ell2",33,77,33,147,329,95,-0.827647701098942,4.80194787445521,0.0273989247558114,1
"ENSMUSG00000001552.14","Jup",206.999,386.001,222,830.999,1886,535.999,0.650459939555654,9.29884793615946,0.0274373606747049,1
