"","geneid_symbol","PVN_naive1","PVN_naive2","PVN_naive3","PVN_3L1_b1","PVN_3L2_b1","PVN_3L3","logFC","logCPM","PValue","FDR"
"ENSMUSG00000033379.13","Atp6v0b",564.999,732,426,1836,3722,924,-0.734466600810468,2.56140839554704,0.555039174059417,1
"ENSMUSG00000033382.15","Trappc8",331,433,267,869,2079,415,0.130813013020991,7.39015189314725,0.555046765012185,1
"ENSMUSG00000033383.6","Rtp1",2,2,0,0,0,0,-0.213646169562759,4.81022529893539,0.555054149591235,1
"ENSMUSG00000033386.10","Frrs1",248,370,150,915,1867,446,-1.33438111158007,1.21256991571228,0.555106074247868,1
"ENSMUSG00000033389.16","Arhgap44",0,2,0,7,8,10,0.223744081922588,4.71034572830361,0.555157015359879,1
"ENSMUSG00000033392.16","Clasp2",540.999,872,359,2077.999,4303,901.001,-0.197561105567406,5.38065028855007,0.555195481247582,1
"ENSMUSG00000033396.13","Spg11",195,342,150,761,1388.036,296.201,0.142823034783079,7.06344344467295,0.555281054501722,1
"ENSMUSG00000033400.14","Agl",80,170,60,317.999,786,143,0.532854622060843,2.64298420633736,0.555413870622907,1
"ENSMUSG00000033405.4","Nudt15",28,20,5,44,63,10,0.741929727983996,2.10560180431444,0.555538232753765,1
"ENSMUSG00000033411.16","Ctdspl2",97,165.999,66,245,481.999,175.001,-1.02553984509549,1.63280987683042,0.555558088088113,1
"ENSMUSG00000033416.15","Gucd1",71,86,40,137,237,131.999,0.368712522555428,4.66418231177275,0.55559265984513,1
"ENSMUSG00000033417.16","Cacul1",152,344.001,150,681,1457,249,0.201037641655104,5.19175952237134,0.555603377795417,1
"ENSMUSG00000033419.16","Snap91",8,17,0,9,0,6,-0.152969689241564,7.314909089452,0.555725011230634,1
"ENSMUSG00000033420.12","Antxr1",0,11,13,25,0,23,0.135604224605822,8.65152929672961,0.555763913006509,1
"ENSMUSG00000033423.16","Eri3",79,126,48,252,760,221,0.233327429474267,4.40749383660218,0.555871868534811,1
"ENSMUSG00000033427.14","Upb1",9,2,19,0,6,6,-1.29467269262906,0.87496860616957,0.555913829610017,1
"ENSMUSG00000033429.10","Mcee",1,21,9,30,61,13,1.60849413485556,0.131589803475127,0.555928149051966,1
"ENSMUSG00000033430.10","Terf2ip",56,64,32,244,286,103,0.954185997411248,1.45797512740268,0.555952977008466,1
"ENSMUSG00000033434.15","Gtpbp6",79,41,14,181,223,78.001,0.183735127304964,5.3540152708397,0.555962312148335,1
"ENSMUSG00000033436.13","Armcx2",65,118,99,238.999,873.999,149,0.14100309196163,7.01153730345818,0.555974951312322,1
"ENSMUSG00000033439.12","Trmt13",92,53,32.999,272,274,53.001,-0.397283567109775,3.18529265933165,0.556014107421469,1
"ENSMUSG00000033444.14","Specc1l",182,331,112,706,1281.001,366,0.200394029475988,5.47929730577126,0.556033348798504,1
"ENSMUSG00000033446.7","Lpar6",213,200,114,567,1058,289,-0.596073587528132,2.4648731676941,0.55607909904035,1
