"","geneid_symbol","CTX_14A2","CTX_14A4","CTX_14A5","CTX_14L1","CTX_14L2","CTX_14L3","CTX_3A2","CTX_3A3","CTX_3A4","CTX_3L2","CTX_3L3","CTX_Naive1","CTX_Naive2","CTX_Naive3"
"ENSMUSG00000000001.4","Gnai3",49.956413,67.635664,49.517456,50.708241,75.253865,47.730067,70.361011,64.59602,51.296243,65.040788,56.300536,46.878164,52.853138,56.748387
"ENSMUSG00000000003.15","Pbsn",0,0,0,0,0,0.621062,0,0,0,0,0,0,0,0
"ENSMUSG00000000028.15","Cdc45",2.425467,2.063111,3.341774,0.286916,0.873484,1.497667,4.523097,1.799069,4.381876,1.0809,1.09123,1.142449,1.958575,1.349884
"ENSMUSG00000000037.17","Scml2",0,0,0,0,0.40733,0.138865,0.598844,0.169903,0.162848,0,0,0,0,0
"ENSMUSG00000000049.11","Apoh",0,0,0,0,0,0,0,0,0,0,0.605534,2.869242,0,0
"ENSMUSG00000000056.7","Narf",35.918516,28.758601,23.581509,25.140387,20.527603,33.414532,28.575684,38.301743,34.517241,34.72642,21.931147,33.35167,37.45307,22.039399
"ENSMUSG00000000058.6","Cav2",2.264002,0.913034,2.101835,3.225914,8.596012,3.543743,2.548089,2.140607,1.721241,2.634325,4.309142,2.41386,3.299575,6.190091
"ENSMUSG00000000078.7","Klf6",523.633847,390.899383,424.677074,271.809164,481.081819,281.55227,652.635031,613.015891,302.196369,311.646887,286.162524,402.978384,344.428882,367.732556
"ENSMUSG00000000085.16","Scmh1",34.849546,43.50523,41.997232,46.859169,63.50648,53.500247,50.580589,50.465014,55.489118,55.205666,35.67335,39.882101,33.754632,37.935255
"ENSMUSG00000000088.7","Cox5a",71.854057,46.506472,63.988779,63.529511,74.747754,50.682725,79.042654,60.370189,71.608637,66.29844,41.09151,70.882004,71.60249,44.191888
"ENSMUSG00000000093.6","Tbx2",0.612299,0.596415,0.77843,0.064333,0.796738,2.496384,0.880957,0.68379,0.955478,0.771024,2.399543,2.59952,1.654168,0.518102
"ENSMUSG00000000094.12","Tbx4",0,0,0.429064,0,0,0,0.077879,0.169537,0.263464,0.127406,0.618968,0,0,0.320971
"ENSMUSG00000000103.12","Zfy2",0,0,0,0,0,0,0,0.178721,0,0,0,0,0,0
"ENSMUSG00000000120.6","Ngfr",0,0,0.45631,0,0,0.13861,0.066364,0,0.280081,0,0,0,0,0
"ENSMUSG00000000125.5","Wnt3",0,0.141993,0.617577,0,0,0.781327,0,0.244045,0.126393,0.305682,0,0.386788,0,1.232219
"ENSMUSG00000000126.11","Wnt9a",0,0.087345,0.189974,0,0,0.576993,0,0,0.174924,0,0,0,0,1.42102
"ENSMUSG00000000127.15","Fer",14.074348,16.516947,14.560308,14.668318,16.719788,14.657344,18.430287,14.187,14.253292,17.113509,12.20407,14.459082,12.907632,11.533511
"ENSMUSG00000000131.15","Xpo6",52.904679,48.491415,48.64023,50.597233,39.958429,44.240065,61.839998,52.650335,53.785831,58.232979,49.835918,59.70326,83.455738,45.032474
"ENSMUSG00000000134.17","Tfe3",179.996654,276.294134,183.944047,160.459718,195.494818,251.842984,305.827082,250.917468,231.53793,312.594062,202.320767,179.725598,133.279919,168.819208
"ENSMUSG00000000142.15","Axin2",0.047039,0.474192,0.502956,0,0,0.726726,0.230967,0.126227,0.719026,0.094788,0.533345,0,0,0.477309
"ENSMUSG00000000148.17","Brat1",34.491589,20.811165,28.048086,35.859458,27.281469,28.509183,32.536715,29.334246,34.305191,34.667662,23.011513,31.43036,41.518366,23.299729
"ENSMUSG00000000149.10","Gna12",340.112556,266.378627,313.813616,311.327276,275.699712,254.043447,247.469561,255.640389,288.955327,302.815596,281.817074,315.4415,313.211399,225.054924
"ENSMUSG00000000154.16","Slc22a18",0.316852,0.343019,0.248014,2.727403,0,0,1.273801,0.586411,0,0.514544,0,0.834941,0.764551,0
"ENSMUSG00000000157.16","Itgb2l",5.647009,1.408602,12.956168,0.185596,1.142285,1.986146,0.539992,1.168052,0.358103,1.009976,0.523791,1.706614,2.886858,2.088578
"ENSMUSG00000000159.16","Igsf5",1.786803,0,0.419829,0,0,0.645714,0,0,1.659387,0,1.857343,0,0,0
"ENSMUSG00000000167.14","Pih1d2",0.145273,1.820439,0.908824,0,2.08275,1.96577,0.891128,1.5585,0.699702,0.403181,1.039142,1.651842,2.874232,0
"ENSMUSG00000000168.9","Dlat",12.46551,12.00023,12.975668,29.725302,23.420631,10.853542,17.126426,18.420941,14.695636,15.39436,9.837543,20.453457,20.150589,8.80264
"ENSMUSG00000000171.5","Sdhd",45.99443,45.715238,41.456494,96.831251,36.369115,52.679372,54.098283,51.660443,53.593449,54.986095,46.224513,63.125738,85.012424,53.951146
"ENSMUSG00000000182.9","Fgf23",0,0,0.547557,0,0,0,0,0,0,0,0,1.373378,0,0
"ENSMUSG00000000183.6","Fgf6",0,0.122359,1.198181,0,0,0.505956,0.048524,0.157937,0.20416,0,0.308266,0.375005,0.373282,0.399095
"ENSMUSG00000000184.12","Ccnd2",1.664202,1.015073,2.075722,0.502115,0,0.652041,1.307649,0.760838,0.466493,1.479598,0.670898,0.272886,0.3643,2.135748
"ENSMUSG00000000194.13","Gpr107",39.517201,33.729323,31.245041,49.826869,31.201047,32.922959,62.52853,58.523132,59.648385,48.729551,40.843088,48.123031,55.613858,29.542986
"ENSMUSG00000000197.8","Nalcn",0,0.14672,1.524557,0,0.395989,0.90602,0,0.555665,0.539502,0,0.791791,0,0,0
"ENSMUSG00000000202.9","Btbd17",1.615446,0.875205,0.388104,2.048639,0,0.957189,1.067109,0.612393,0.477678,1.410615,0.612408,0,0.478993,1.156824
"ENSMUSG00000000204.16","Slfn4",0.711024,0.415491,6.233416,0.408197,0,0.128524,0.344618,0.311881,0.33884,0.625609,0.489045,0,0,0
"ENSMUSG00000000214.11","Th",0,0,0.813834,0,0,0,0,0,0.887091,0,0.406191,0,0,0.539398
"ENSMUSG00000000215.11","Ins2",0,0,2.045654,9.730554,0,1.101779,0,0,0.498851,1.734402,0,0,0,0
"ENSMUSG00000000216.8","Scnn1g",0,0,0.424176,0,0,0,0,0,0.195341,0,0,0,0,0
"ENSMUSG00000000223.13","Drp2",0.115572,0.231447,1.234216,0,0.39525,0.237988,0,0.157691,0.275044,0.042101,0.280981,0,0,0.424437
"ENSMUSG00000000244.17","Tspan32",8.352395,4.454104,8.785744,11.991681,4.919075,9.549939,9.174559,8.246266,9.411061,8.050331,10.012538,5.944452,11.361881,7.992444
"ENSMUSG00000000247.11","Lhx2",1.795075,0.103083,0,0,0.515708,0.593576,0,0,2.749077,0.84807,1.316454,0.63178,0,3.698971
"ENSMUSG00000000248.16","Clec2g",0,0,5.790916,0,0,2.840952,0,0,0,0.318689,0,0,0,0
"ENSMUSG00000000253.13","Gmpr",44.954308,34.025937,33.495522,72.801083,34.196766,35.951916,35.512933,35.177349,46.192476,39.993921,51.084068,36.858204,46.867103,38.366607
"ENSMUSG00000000263.15","Glra1",0,0.084935,2.951042,0,0,1.39596,0,0.145542,0.34043,0.190389,0,0.346969,0,0.549998
"ENSMUSG00000000266.11","Mid2",0,0,4.301483,0.038472,0,0.15803,0,0.936901,0.707714,0,0.4215,1.958444,0,1.410071
"ENSMUSG00000000275.16","Trim25",15.584721,31.305206,18.948121,20.2403,14.540972,18.608087,18.973749,24.029084,39.708364,20.089949,16.148586,24.705918,19.178605,15.529429
"ENSMUSG00000000276.11","Dgke",1.381386,1.58273,3.050744,2.758343,3.825332,2.520217,2.175119,2.673164,1.833686,2.511869,2.734098,1.742407,2.799562,1.861753
"ENSMUSG00000000278.10","Scpep1",81.524588,81.687924,80.106919,94.074569,92.197375,64.582164,82.835689,79.089781,82.241908,85.40256,69.211595,71.07474,81.718722,70.130273
"ENSMUSG00000000282.12","Mnt",49.461217,44.969535,39.3976,55.164658,40.177689,45.445271,43.622609,50.291419,46.801288,48.26349,41.899732,62.886729,36.461224,30.993388
"ENSMUSG00000000290.13","Itgb2",396.950813,332.184865,399.657208,429.245707,323.572569,304.72648,303.993948,314.788957,356.739528,374.209299,280.138738,368.884263,432.536074,285.810057
"ENSMUSG00000000295.13","Hddc2",6.315727,5.653546,3.291025,11.22944,18.040941,4.799841,7.351663,7.15569,10.053917,3.23751,4.955999,6.317134,9.566749,5.195934
"ENSMUSG00000000296.8","Tpd52l1",0,0,1.385273,0,0,1.384157,0.267594,0,0.199682,0,0,0.872283,0,0
"ENSMUSG00000000301.16","Pemt",0.245208,1.236792,2.646855,0,0,3.095656,0.810721,2.104011,2.717172,2.023885,2.159961,2.313872,0,0
"ENSMUSG00000000303.12","Cdh1",0,0.096679,0.295808,0.514171,0,0.598879,0,0.15587,0.302665,0,0.569361,0,0,0
"ENSMUSG00000000305.12","Cdh4",0.061892,0.02205,3.613858,0,0,0.146032,0.070109,0.037975,0.294294,0.028562,0,0.180222,1.271944,0
"ENSMUSG00000000308.14","Ckmt1",0,1.13015,3.753819,0,0,0,1.616101,0,2.411076,0.916882,0,2.357452,0,1.312306
"ENSMUSG00000000317.11","Bcl6b",0.060189,0.673972,1.496878,5.949454,0.430792,1.420811,1.321475,1.730961,4.180978,0.667029,1.297025,0.351511,0.632187,0.280115
"ENSMUSG00000000318.16","Clec10a",2.315674,2.56971,4.572291,0,0,2.681149,1.372878,0.714938,2.009232,0.138482,1.332051,0.260454,0,0.69675
"ENSMUSG00000000320.10","Alox12",0.203831,0.257155,1.88844,1.181805,0.486364,0.211833,0.690574,0.27736,0.581999,0.313786,1.760372,0.198547,0,0.316212
"ENSMUSG00000000325.16","Arvcf",65.718786,48.357038,53.564222,85.342853,57.94835,51.621255,45.157816,47.86537,54.667491,61.618909,55.228108,51.217208,85.363973,43.104083
"ENSMUSG00000000326.13","Comt",226.214784,176.207062,166.233838,270.569828,163.176807,173.828029,211.347235,193.843175,221.059029,221.676153,190.632469,226.235536,224.030094,171.234466
"ENSMUSG00000000339.14","Rtca",20.24758,13.547852,9.492975,20.406282,27.140743,14.847964,11.673619,18.326116,15.592815,10.861843,16.668077,18.217418,22.289292,16.336347
"ENSMUSG00000000340.10","Dbt",12.164682,12.207242,7.258342,14.294559,14.071677,9.137001,10.184163,11.648987,14.42212,12.766591,11.473391,27.232154,18.828739,9.120513
"ENSMUSG00000000346.9","Dazap2",259.064521,217.491273,166.718717,267.815018,251.629582,238.307185,299.923487,250.781556,231.394424,253.433912,221.024335,218.408061,215.312253,229.226088
"ENSMUSG00000000355.13","Mcts1",26.919911,45.187221,39.65152,48.142465,65.550511,43.760592,50.591285,49.639963,48.727601,41.18803,44.52048,45.928771,51.430534,30.663145
"ENSMUSG00000000359.3","Rem1",0,0,2.124244,0.17895,1.081475,0,0,0.186065,0,0,0,0,0,0
"ENSMUSG00000000365.9","Rnf17",0.415487,1.198823,2.38012,1.042658,1.262677,1.65965,1.848609,1.895478,1.284212,3.038509,3.217012,0.990526,1.313181,1.054658
"ENSMUSG00000000374.8","Trappc10",42.789649,46.468329,35.473978,51.734772,48.31186,38.853369,48.550156,47.227983,51.762818,49.495835,39.396658,44.506712,47.772071,33.478154
"ENSMUSG00000000378.15","Ccm2",67.199261,48.83544,44.919507,75.14146,55.784135,78.846585,55.284552,87.24621,72.837943,65.922376,46.890742,92.236344,103.970606,42.627193
"ENSMUSG00000000381.10","Wap",0,0,4.119498,0,0,1.855569,0,0,1.529461,1.012884,0.464398,0,0,0
"ENSMUSG00000000384.15","Tbrg4",34.791245,46.736326,49.002599,50.14285,16.239907,47.313482,53.544053,52.669153,29.265442,45.612945,33.119203,50.107793,44.702983,38.423503
"ENSMUSG00000000385.8","Tmprss2",0.497265,11.711364,15.525929,0,1.953144,13.792061,2.242669,1.799321,4.176438,4.10498,4.398873,4.43595,2.887407,2.606984
"ENSMUSG00000000392.17","Fap",0,0.73394,0.742828,1.67069,0,0,0.667683,0.215862,0.730572,0,0.95218,0.279331,0,8.001196
"ENSMUSG00000000394.15","Gcg",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000399.10","Ndufa9",71.545256,49.119213,64.330285,95.987337,39.983169,59.144289,58.139602,52.664739,84.063774,71.239185,76.564474,62.420457,93.67642,58.86498
"ENSMUSG00000000402.2","Egfl6",0,0,0,0,0,0.358432,0,0,0,0,0,0.665908,0,0
"ENSMUSG00000000409.14","Lck",0.978545,3.890843,1.574382,0.911221,0.723349,2.616639,0.113741,2.387408,0.639891,1.867291,0.904944,2.648895,0,0
"ENSMUSG00000000411.7","Tssk3",0.865505,1.376276,6.510671,0,1.24148,1.637448,1.550502,1.495974,1.839999,1.121592,0.927375,2.554974,0,0
"ENSMUSG00000000416.16","Cttnbp2",0,0.136845,4.670599,0,0,0.543427,0,0.247931,0.615927,0,0.453359,0.147232,0,5.428847
"ENSMUSG00000000420.15","Galnt1",68.337041,71.635438,69.554268,79.309188,87.011241,77.404376,79.442553,95.914031,90.143255,81.090411,72.318206,75.662219,83.082576,73.352735
"ENSMUSG00000000435.1","Myf5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000439.9","Mkrn2",17.749644,17.332317,14.480404,16.951224,13.17445,19.057136,16.75066,20.665638,18.415739,19.807859,13.818253,17.291323,19.044971,13.446471
"ENSMUSG00000000440.12","Pparg",0,0,0.375862,0,0,0,0.135364,0.467571,1.252594,0.111308,0.458259,0,0,0.56032
"ENSMUSG00000000441.17","Raf1",78.359925,76.482498,75.42255,77.34811,79.187608,68.923447,81.37699,92.820676,85.734622,88.600269,69.256428,83.079112,103.830406,46.706626
"ENSMUSG00000000486.13","Septin1",1.904079,2.165039,16.894192,0.384531,0,2.247135,2.762375,3.564695,1.636362,0.202658,0,0.648585,2.6111,2.202411
"ENSMUSG00000000489.7","Pdgfb",259.184255,267.144673,251.6577,276.320059,302.592191,317.020753,312.218189,299.636717,296.92619,313.255306,305.48421,334.33657,287.766557,274.384255
"ENSMUSG00000000530.16","Acvrl1",23.077724,22.864279,29.423838,26.031691,19.397145,14.709727,14.875431,12.397575,18.163703,18.936656,20.795654,27.563526,32.049126,13.978347
"ENSMUSG00000000531.5","Grasp",9.598495,28.296878,22.207699,3.02091,17.00346,19.260462,7.902978,11.43389,9.400248,16.313221,11.096845,15.433909,4.578746,18.254481
"ENSMUSG00000000532.11","Acvr1b",17.527372,9.792307,14.908102,22.183999,11.342456,13.360745,17.012594,19.853402,20.275763,16.683763,12.208615,19.677199,22.332723,10.116975
"ENSMUSG00000000538.18","Tom1l2",19.115988,20.384605,17.354188,24.17073,23.998287,23.077709,22.784438,25.277309,25.563354,23.349674,19.114619,30.027864,32.36188,15.010212
"ENSMUSG00000000544.14","Gpa33",0,0,0.873958,0,4.189545,0.193667,0.092513,0.115025,0,0.075774,0,0,0,0
"ENSMUSG00000000552.10","Zfp385a",166.835163,121.893133,123.896921,166.055228,118.428899,118.451658,116.99333,128.519813,149.58284,143.887555,121.853852,152.172251,158.911642,105.570879
"ENSMUSG00000000555.8","Itga5",29.119235,217.614013,37.604299,26.161677,138.627535,77.139816,105.450097,51.225383,44.219233,79.54055,48.894988,34.302212,17.272769,132.303371
"ENSMUSG00000000560.9","Gabra2",0.052037,0,0.323343,0,0,0.399526,0,0,0.451011,0.031258,0.575615,0,0,3.557346
"ENSMUSG00000000561.14","Wdr77",20.292586,16.039268,16.973034,35.44541,15.857619,14.339546,15.743571,15.688163,20.544071,20.337267,20.92968,16.338294,19.080396,12.639155
"ENSMUSG00000000562.5","Adora3",68.619178,57.251003,65.156361,112.665688,71.245195,67.830703,70.432915,64.213945,85.777413,75.68615,75.145181,108.058786,100.653643,63.025574
"ENSMUSG00000000563.17","Atp5pb",74.512877,72.664624,74.881244,84.581354,72.897002,69.621839,77.202393,72.434834,73.48078,70.729862,85.413351,69.399738,70.725679,89.966148
"ENSMUSG00000000567.5","Sox9",0.048521,0.103904,0.527489,0,0,0.343551,0.933024,0.059587,0,0.0448,0.174366,0,0.169259,0.677425
"ENSMUSG00000000568.15","Hnrnpd",232.846232,260.867268,183.166193,197.14206,208.526865,249.986965,165.822832,221.22231,227.015431,220.860856,171.128773,240.663333,232.483829,192.45916
"ENSMUSG00000000579.14","Dynlt1c",4.812119,4.98295,4.085664,7.852591,6.714227,0.794001,1.503341,6.730151,9.203205,6.077848,0,7.816897,6.12024,2.904358
"ENSMUSG00000000581.8","C1d",33.282576,22.244218,19.659074,69.452056,6.857568,29.65382,30.254003,46.651818,38.23235,28.406259,36.442205,24.894326,9.847889,8.916885
"ENSMUSG00000000594.7","Gm2a",61.503528,61.601145,68.259516,76.331275,61.928266,61.390525,66.433036,62.394763,69.538517,69.041513,73.294154,78.42314,78.697183,58.150012
"ENSMUSG00000000600.15","Krit1",27.32039,25.227997,34.722163,26.433006,28.036483,27.668846,31.009721,36.943239,33.276301,30.368614,24.596515,36.294217,29.084082,22.448042
"ENSMUSG00000000605.9","Clcn4",77.464933,85.21943,66.808921,74.225106,80.816709,70.360719,90.563009,85.774728,80.14326,92.563652,76.057536,76.491115,85.080975,75.609289
"ENSMUSG00000000606.18","Vmn2r88",0,0,0.590447,0,0,0.448673,0,0.233454,0.54338,0.043881,0.597805,0.693065,0,0.221016
"ENSMUSG00000000617.14","Grm6",0,0,0.709438,0.071025,0,0.110181,0,0.150789,0.351307,0,1.577903,0,0.267638,0
"ENSMUSG00000000627.15","Sema4f",0.196513,0.100544,0.109313,0,0,0.11595,0,0,0.608603,0.045361,0.441355,0,0,0
"ENSMUSG00000000628.10","Hk2",172.637364,152.690004,156.252388,131.61956,132.424909,146.15876,106.641245,136.400286,170.673601,148.796313,134.459363,165.448835,156.062918,129.528919
"ENSMUSG00000000631.20","Myo18a",112.173312,112.325198,97.108597,96.639206,94.034097,104.83724,104.273026,99.430477,114.52095,106.730751,92.0234,144.348481,133.230658,73.717781
"ENSMUSG00000000632.13","Sez6",0,0.966556,0.274481,0.101848,0,0.279095,0.071114,0.072632,1.332152,0,0.212331,0,0,0.292942
"ENSMUSG00000000673.9","Haao",4.313014,2.506861,12.653021,9.565387,4.682992,7.206285,6.621932,6.430359,8.498533,7.650601,9.000184,8.704197,12.887461,8.449302
"ENSMUSG00000000682.7","Cd52",134.859973,143.973263,205.013893,104.646268,80.172164,97.892112,147.381412,79.50403,148.938272,92.748728,118.926479,178.448878,90.632273,142.421923
"ENSMUSG00000000686.11","Abhd15",90.918411,69.932476,62.713525,62.804721,57.466964,63.370041,60.898651,109.261596,76.724616,65.192231,44.721177,77.080551,91.279084,41.667404
"ENSMUSG00000000690.5","Hoxb6",0,0,0.261514,0,0,0.253186,0,0,0,0,0,0,0.907166,0
"ENSMUSG00000000693.10","Loxl3",16.142556,9.023365,16.239949,20.568036,16.030572,16.465231,14.72861,16.692498,22.039318,16.198966,19.098689,17.998928,17.475738,12.025663
"ENSMUSG00000000701.8","Tcl1b5",0,0,0.341188,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000706.16","Btn1a1",0,0,0.459548,0,0.42324,0.697953,0.441683,0.145309,0.225658,0,0.212396,0,0.20697,4.843827
"ENSMUSG00000000708.14","Kat2b",22.283851,31.947021,27.440952,16.855977,38.217493,25.760304,27.21839,29.185985,37.164321,29.146244,22.072546,27.650116,27.559448,26.621755
"ENSMUSG00000000711.3","Rab5b",61.462748,56.207432,48.965801,68.693956,70.545522,53.243645,51.745737,61.814352,72.4673,64.34381,54.859319,58.609806,67.241579,58.246099
"ENSMUSG00000000724.10","Cryba1",0,0,2.243336,0,0,1.129299,4.461605,1.178683,0.307219,0.883982,2.845169,0.944498,0,2.938929
"ENSMUSG00000000730.13","Dnmt3l",0,0,0,0,0,0,0,0,0,0.188661,0.36321,0,0,0
"ENSMUSG00000000731.15","Aire",0,0.049205,0.320989,0,0,1.147215,0,0,1.643742,0,0,0,0,4.849864
"ENSMUSG00000000732.9","Icosl",89.141195,74.70041,81.688117,110.639258,70.484062,81.187515,94.980057,116.703688,101.156268,93.890155,82.512067,82.148341,113.201565,57.06936
"ENSMUSG00000000738.18","Spg7",46.627635,38.78127,41.913816,53.923066,34.904039,30.466697,35.478319,37.167671,31.726125,35.976136,21.860737,40.508657,37.980268,22.961664
"ENSMUSG00000000739.14","Sult5a1",0,0.809843,2.29346,0,0.378744,2.804536,0,0.130012,0.981254,0.201508,0.190146,0,0,4.295081
"ENSMUSG00000000740.12","Rpl13",1242.064164,1004.944834,1059.882917,977.511164,741.976326,884.981715,734.840267,827.967804,836.737859,883.142406,1066.8603,889.645427,1003.597427,996.211202
"ENSMUSG00000000743.9","Chmp1a",77.286175,53.210221,55.03647,80.094678,41.246668,52.302005,52.109117,59.842183,71.754475,59.937674,64.142218,68.821571,91.00112,53.171863
"ENSMUSG00000000751.13","Rpa1",41.892827,23.918941,22.521989,28.588321,30.857757,26.307034,21.969323,26.503671,44.225494,30.735069,22.817178,30.465566,53.089614,23.044679
"ENSMUSG00000000753.15","Serpinf1",79.692004,85.318558,93.442328,175.8716,64.006511,83.310946,94.57275,56.921687,99.634245,75.319325,89.716022,43.525621,128.711488,95.167111
"ENSMUSG00000000759.14","Tubgcp3",27.568436,25.09844,27.985965,29.895903,42.756797,27.230291,31.090265,36.627254,32.236548,34.768078,33.247472,29.654205,33.653498,24.699881
"ENSMUSG00000000766.18","Oprm1",0.085473,0,1.984517,0.796697,0,2.329997,0.31511,6.197845,1.41614,0.17945,1.521066,1.508228,0.150824,1.193431
"ENSMUSG00000000776.13","Polr3d",15.365067,22.362226,24.098074,18.451964,28.670893,31.783321,14.504839,24.428248,20.246464,20.935649,12.792974,22.375769,6.815012,10.180829
"ENSMUSG00000000782.16","Tcf7",0.305372,0.443557,0.3904,0.973315,0,0.592116,0.377072,0.20559,1.199311,0.463347,0.449752,0.244607,0,0.777998
"ENSMUSG00000000787.12","Ddx3x",372.980375,642.186301,485.887939,390.961084,663.005334,523.474519,636.957692,652.530462,568.57167,614.339859,541.120934,558.764939,373.057762,508.498834
"ENSMUSG00000000791.9","Il12rb1",0,0.481857,0.349211,0,0.897993,0.353271,0.168873,0,0.722667,0.069108,0.134244,0,0,0
"ENSMUSG00000000792.2","Slc5a5",1.394818,2.544225,1.518676,1.294565,0.499244,1.975851,1.338721,1.71447,2.064961,1.739326,3.129481,2.64984,1.469437,3.245767
"ENSMUSG00000000794.9","Kcnn3",0,0.202349,0.953458,0.162449,0,0.947941,0,0.203066,0.855253,0.065465,0.212218,0.62059,0,0.329876
"ENSMUSG00000000804.14","Usp32",19.840282,26.017836,16.883581,11.385154,24.578798,18.321611,22.502119,24.164395,19.12255,21.348939,14.532116,31.125018,19.414648,23.151719
"ENSMUSG00000000805.18","Car4",0.353839,0.255851,0,0,0,1.255254,0,0.878924,0,0,0,0,0,0
"ENSMUSG00000000811.13","Txnrd3",4.040164,5.368423,3.703822,4.187749,6.197789,2.895758,3.095013,4.789184,1.998889,4.465155,6.085582,2.530936,4.310239,3.02194
"ENSMUSG00000000817.10","Fasl",0,0.07814,0.339455,0,5.790436,0.257057,0,0,0,0,0.389861,0,0,0.506458
"ENSMUSG00000000823.16","Zfp512b",25.060418,11.636562,14.589391,27.192147,32.892475,15.278171,14.275844,22.73821,25.199062,30.462897,24.899147,19.126528,22.585932,7.731667
"ENSMUSG00000000826.16","Dnajc5",99.968754,90.833904,68.149208,86.240066,90.266399,93.477813,106.761206,90.862935,93.851506,96.486183,68.149758,84.551388,83.663893,65.426546
"ENSMUSG00000000827.18","Tpd52l2",75.59352,59.977684,61.97407,82.263361,40.53322,49.834654,70.126747,72.014218,82.881547,59.35265,54.515945,67.682354,83.381623,59.419212
"ENSMUSG00000000838.17","Fmr1",25.462973,55.531204,42.283305,24.696446,41.77693,46.825458,65.094009,58.553001,48.555388,45.786619,43.431111,36.738857,28.646127,36.951158
"ENSMUSG00000000861.15","Bcl11a",1.222292,0.907454,6.547496,1.448604,0.481723,1.970942,1.170924,1.538974,1.22958,1.974442,0.479411,6.178962,1.033146,2.042656
"ENSMUSG00000000869.12","Il4",0,0.992483,0,0,0,0,0.561947,0,0,0.961137,0,0,0,0
"ENSMUSG00000000876.11","Pxmp4",12.19096,7.774188,10.921469,16.630937,4.731808,10.483105,10.942726,10.22465,9.47341,11.760188,11.72966,10.306566,13.555259,10.2538
"ENSMUSG00000000881.12","Dlg3",13.08979,9.285058,11.04449,13.099737,15.909769,14.371141,11.584897,12.79125,12.320727,16.894554,16.120278,14.473063,16.97383,9.430832
"ENSMUSG00000000884.17","Gnb1l",5.541032,5.215571,8.77787,5.154737,13.223662,6.867372,4.897736,4.093487,6.278982,5.296396,3.223919,5.622593,11.114064,25.51595
"ENSMUSG00000000889.8","Dbh",0.08074,0,0.502744,0,0,0,0,0,0.54049,0,0,0,0,0
"ENSMUSG00000000901.17","Mmp11",4.035852,1.915273,2.637768,5.191135,0,4.313527,3.310441,3.652011,6.734863,3.761902,2.60481,2.924973,7.265714,1.690342
"ENSMUSG00000000902.13","Smarcb1",38.931678,33.266564,38.381096,53.319067,32.514479,33.984416,35.141106,34.553688,42.577002,38.366035,37.961835,31.354045,57.567733,39.028933
"ENSMUSG00000000903.3","Vpreb3",0,0,0,0,0,0.813624,0,0,0.417423,0,0,0,0,1.961583
"ENSMUSG00000000915.15","Hip1r",14.906284,16.473494,15.495164,15.506232,11.982363,14.878984,14.479184,14.319188,14.117719,14.729436,14.3395,15.142397,10.652093,13.54471
"ENSMUSG00000000916.15","Nsun5",22.741788,23.95471,22.929995,25.712891,21.37792,27.92901,17.729112,29.046855,19.950779,26.56809,20.168205,18.91007,31.330056,18.57815
"ENSMUSG00000000934.9","Top1mt",7.433185,5.858657,4.327016,14.190923,7.153076,7.474979,6.561522,6.55716,11.042291,7.384548,7.551728,11.801841,11.249472,5.163856
"ENSMUSG00000000938.11","Hoxa10",0,0,0.345141,0,0,0,0,0,0.213219,0,1.085507,0,0,0.706645
"ENSMUSG00000000942.10","Hoxa4",0,0,0,0,0,0,0,0,0.259755,0,0,0,0,0
"ENSMUSG00000000948.16","Gm38393",0,0,0.555302,0,0.365467,0.120538,0.11551,0.062724,0.389416,0.047156,0.183503,0,0,0.475345
"ENSMUSG00000000957.11","Mmp14",41.505526,31.119318,34.010069,42.389551,60.642504,36.425235,30.015078,31.676743,47.925201,43.883426,49.777487,36.104676,46.6786,29.995946
"ENSMUSG00000000958.10","Slc7a7",135.795324,93.124477,72.347753,161.636294,104.98996,96.20453,134.423783,121.98444,130.503325,138.771199,93.040922,107.182699,180.802815,113.519321
"ENSMUSG00000000959.7","Oxa1l",47.610168,35.282271,36.068408,50.382502,40.265564,37.30428,48.60227,55.519769,50.586665,42.851781,35.536186,46.194059,72.490432,44.186851
"ENSMUSG00000000976.13","Heatr6",14.490364,13.194125,15.226046,14.322434,16.982364,15.496862,16.46169,17.917926,23.952451,22.277194,17.349949,16.615621,35.085627,14.001714
"ENSMUSG00000000982.5","Ccl3",1187.371572,1230.755133,1692.091152,1223.636278,1439.695144,1462.720208,2812.998165,2250.861875,959.477238,1843.867171,874.236892,1608.00956,1109.447652,1614.385016
"ENSMUSG00000000983.13","Wfdc18",0.256993,0,0.405225,0,0,1.217144,0,0.318424,0.752127,0,1.828204,0,0,0
"ENSMUSG00000001014.6","Icam4",8.973834,11.324547,19.631047,2.77824,21.025279,17.200796,12.31302,13.607353,28.54078,14.971058,26.437122,31.457049,4.956628,13.072097
"ENSMUSG00000001016.12","Ilf2",34.559777,37.139843,31.647861,44.068315,37.749685,28.756882,36.55557,41.775784,40.652052,37.072415,30.812665,28.397668,44.055977,31.902379
"ENSMUSG00000001017.15","Chtop",141.12329,154.542425,101.066459,129.62561,131.037695,120.553655,156.262591,144.692618,118.372841,146.668305,134.748054,139.155643,104.775153,105.7192
