"","geneid_symbol","CTX_14A2","CTX_14A4","CTX_14A5","CTX_14L1","CTX_14L2","CTX_14L3","CTX_3A2","CTX_3A3","CTX_3A4","CTX_3L2","CTX_3L3","CTX_Naive1","CTX_Naive2","CTX_Naive3"
"ENSMUSG00000003226.7","Ranbp2",31.570365,89.032349,45.750189,27.264156,54.390255,46.000664,70.623554,59.842271,53.393223,55.846224,43.725714,55.504438,33.003648,51.908179
"ENSMUSG00000003227.4","Edar",0.055487,0.198171,1.12082,0,0.397104,0.261943,0.062727,0.068162,0.158738,0.153715,0.298994,0.323904,0,0.516459
"ENSMUSG00000003228.9","Grk5",1.050674,1.197742,1.48988,4.037196,0.85896,1.274914,1.768382,1.804992,7.204738,1.968043,2.4121,1.835508,8.087393,2.514548
"ENSMUSG00000003233.12","Dvl3",34.85081,27.25406,25.019583,26.009628,24.679623,30.691936,30.445109,33.598954,31.760296,30.042666,19.074081,30.841271,38.348243,20.031028
"ENSMUSG00000003234.16","Abcf3",57.263795,43.495096,36.769084,46.261113,39.054291,31.00361,45.835833,30.395854,37.11499,35.702392,30.012486,50.566221,74.780923,45.272017
"ENSMUSG00000003235.13","Eif2b5",24.575187,15.135666,16.953309,36.23869,35.499568,15.811277,20.445078,28.056748,19.209743,21.167564,15.485361,19.590681,28.143161,14.643102
"ENSMUSG00000003269.17","Cyth2",121.10912,115.382892,77.890359,104.337219,112.097115,110.212515,162.790038,158.351666,107.77938,133.839586,142.639915,131.677811,80.602609,143.593567
"ENSMUSG00000003271.17","Sult2b1",0.537677,1.360174,1.596357,7.14109,1.28555,0.692984,0.84005,1.041179,2.573245,0.829586,3.937915,1.560766,0,3.092094
"ENSMUSG00000003273.14","Car11",3.420521,1.467247,4.157796,2.728069,0,1.284219,2.116995,1.534426,2.859673,6.98958,0.486062,2.063611,0.974348,0
"ENSMUSG00000003279.17","Dlgap1",0.201579,0.900385,5.164424,0.347366,2.763572,2.499807,0.252646,0.925002,1.358442,0.267644,0.66752,2.18389,0.589926,1.548856
"ENSMUSG00000003282.9","Plag1",0.616284,0.661407,2.716401,0.978003,1.849927,1.534599,4.398834,2.807294,3.898968,2.53899,1.530255,1.994747,0.945558,1.664828
"ENSMUSG00000003283.15","Hck",229.69871,238.083832,188.902847,231.330271,209.456303,198.001691,169.653874,189.2032,251.45675,193.921513,193.489654,208.724133,252.417414,182.25716
"ENSMUSG00000003299.10","Mrpl4",43.272933,39.466279,36.806234,53.686844,44.089489,34.636667,39.860089,38.448986,47.238713,40.068615,31.805496,40.398108,53.485223,35.0863
"ENSMUSG00000003308.15","Keap1",33.44148,30.729126,21.290746,33.556125,26.224044,37.891042,22.624406,25.508268,33.068764,28.099053,31.973605,26.581047,32.778757,21.057273
"ENSMUSG00000003309.14","Ap1m2",0,0.264079,1.14833,0,0,0.375946,0,0,0.240571,0,0,4.459232,0,0.370494
