"","geneid_symbol","PVN_naive1","PVN_naive2","PVN_naive3","PVN_14A1","PVN_14A2","PVN_14A3","logFC","logCPM","PValue","FDR"
"ENSMUSG00000073423.10","Zfp414",72.578,40,32,18.554,3,31,0.458315073127647,1.36463757563044,0.932898244666035,1
"ENSMUSG00000073427.4","Gm4924",46,37,39,64,3,16,0.38593248604733,1.35859062992628,0.932900544952614,1
"ENSMUSG00000073434.12","Wdr90",22,25.001,19,52,0,17,0.432564946202374,1.34497696472349,0.932976312347563,1
"ENSMUSG00000073435.10","Nme3",6,41,8,23,0,25.489,0.040691502425778,5.09665653880436,0.933052793776709,1
"ENSMUSG00000073436.11","Eme2",131,162.761,60,189.137,5,96.542,-0.0434067747047858,1.32848288915727,0.933055876216861,1
"ENSMUSG00000073457.4","Smok2b",2,9.602,2,33,0,10,0.337636997774955,1.34845746004299,0.933067669423426,1
"ENSMUSG00000073458.2","Smok2a",15,7.398,0,5,0,2,0.483769758384891,1.33801873690636,0.933080364273437,1
"ENSMUSG00000073468.12","Sft2d1",480.218,681.221,364.019,671.175,52.868,582.626,-0.139863259238011,1.34655904745996,0.933082583160254,1
"ENSMUSG00000073471.3","Rsph3a",9.519,51.686,11,77.932,5,45.642,-0.0256758886920734,7.19320280603731,0.933118512157699,1
"ENSMUSG00000073481.9","Mtarc2",140.001,165,87,209,15,139,-0.0543234923354076,1.30953520003671,0.933184346665451,1
"ENSMUSG00000073489.6","Ifi204",33.699,68.942,33.956,261,16,31.668,-0.0162385585272805,1.31595980531217,0.933189831449825,1
"ENSMUSG00000073490.11","Ifi207",28,60,46,189,4,38,-0.244844275976886,1.31844131810374,0.933216674619778,1
"ENSMUSG00000073491.11","Ifi213",5,3,1,14,0,8,-0.150455842463375,3.59537341401617,0.93321734210031,1
"ENSMUSG00000073492.2","Gm10521",27,58,39,51,6,25,0.451350102299176,1.3079152027105,0.933258220172107,1
"ENSMUSG00000073497.6","AA792892",0,2,1,8,0,7,0.0802232312608869,5.10449987906457,0.933317105149449,1
"ENSMUSG00000073514.4","Dok6",0,8,9,13,0,8,-0.00440623965505745,1.30731106597375,0.933370081602843,1
"ENSMUSG00000073530.11","Pappa2",14,8,0,21,0,9,-0.0293793365058627,7.54568384063206,0.933519172119503,1
"ENSMUSG00000073542.3","Cep76",27,9,8,39,3,0,0.0638279724013129,3.7131703444719,0.93353433599037,1
"ENSMUSG00000073555.1","Gm4951",25,10,1,11,2,8,0.0375115844412868,6.27323182339219,0.933589702892236,1
"ENSMUSG00000073557.12","Ppp1r12b",84,76,71,109,4,73,-0.0339062603968215,6.0699388726247,0.933821577449246,1
"ENSMUSG00000073563.3","Csnk1g3",75,103,44,119,4,59,0.0203804323610355,3.66815097347927,0.933854104875165,1
"ENSMUSG00000073565.5","Prr16",0,1,1,3,0,1,-0.0270176337409174,6.639165563548,0.933962210059338,1
"ENSMUSG00000073568.2","Arl14epl",0,3,0,2,0,7,0.0242783122550443,3.6639917411596,0.934004702905058,1
