"","geneid_symbol","PVN_naive1","PVN_naive2","PVN_naive3","PVN_14A1","PVN_14A2","PVN_14A3","logFC","logCPM","PValue","FDR"
"ENSMUSG00000000001.4","Gnai3",183,376,186,522,69,250,-6.39671972071635,7.63309241075604,4.25420662422634e-44,7.22321742727391e-40
"ENSMUSG00000000028.15","Cdc45",0,2,1,46,0,13,-6.23461375765903,6.48997680017222,1.54881291673162e-36,1.31486472565931e-32
"ENSMUSG00000000056.7","Narf",213,245,225,322,36,103,7.57228357849316,3.93896280558024,6.88441333220803e-14,3.89634846558534e-10
"ENSMUSG00000000058.6","Cav2",36,22,0,8,0,6,2.3600348865944,8.20651626991685,1.64767875646177e-12,6.99398440149109e-09
"ENSMUSG00000000078.7","Klf6",1963,3143,1803,3164,581,2481,2.72117842451409,5.74778965583816,1.64666504547654e-11,5.27961347032023e-08
"ENSMUSG00000000085.16","Scmh1",104,195,92,178,26,88,2.32711285639841,6.94736506823658,1.86569767488789e-11,5.27961347032023e-08
"ENSMUSG00000000088.7","Cox5a",46,40,39,63,7,53,2.54966779803354,5.48832434819815,1.71462621967101e-09,4.15894836911343e-06
"ENSMUSG00000000093.6","Tbx2",10,5,0,3,0,1,2.3118811947697,5.66238824169251,1.09160748673783e-08,2.23345919263969e-05
"ENSMUSG00000000094.12","Tbx4",0,1,0,11,0,7,1.87423134297382,8.991335070346,1.18388201506315e-08,2.23345919263969e-05
"ENSMUSG00000000120.6","Ngfr",8,1,0,0,0,2,1.99072397135241,6.0902877211472,3.54463986716142e-08,6.01844403045338e-05
"ENSMUSG00000000125.5","Wnt3",0,1,0,12,0,10,-2.5423979692973,4.73573820703518,8.72425947434952e-08,0.000134662910559073
"ENSMUSG00000000126.11","Wnt9a",8,1,8,7,0,5,-1.69821350211544,8.10475282218612,1.49875462179968e-07,0.000212061289362807
"ENSMUSG00000000127.15","Fer",44,72,5,52,3,53,2.30919154747972,5.45319516354554,1.67542081278228e-07,0.000218822846001771
"ENSMUSG00000000131.15","Xpo6",287.999,424,256,497,60,215.001,1.67830621521776,8.68861077517682,2.79934403629932e-07,0.000339500445659473
"ENSMUSG00000000134.17","Tfe3",623.001,1120,434.999,1543,160.999,667.001,3.36052035460172,4.12595385527161,3.61506479998862e-07,0.000409201234926712
"ENSMUSG00000000142.15","Axin2",0,1,0,3,0,5,3.22528565185137,4.13437128789034,8.25525125708614e-07,0.00087603694433791
"ENSMUSG00000000148.17","Brat1",145,178.001,103,169,20,93,1.50899702191988,11.5900078019058,1.02692727043894e-06,0.00102565871322251
"ENSMUSG00000000149.10","Gna12",1415,1829,951,1746,189,1240,2.79716146874398,4.29450713735787,2.25538672045903e-06,0.0020762363606613
"ENSMUSG00000000157.16","Itgb2l",9,11,6,284,7,15,1.48785787828957,7.32396594747731,2.44371941560949e-06,0.0020762363606613
"ENSMUSG00000000159.16","Igsf5",0,3,10,8,0,0,1.48450609049182,7.47504342253464,2.44565211221073e-06,0.0020762363606613
"ENSMUSG00000000167.14","Pih1d2",10,5,0,0,0,6,1.8777113366162,5.53356662739473,3.22299602221825e-06,0.00256320627549373
"ENSMUSG00000000168.9","Dlat",97,91,69,102,22,74,1.51514508226273,8.87713553624251,3.35872735280534e-06,0.00256320627549373
"ENSMUSG00000000171.5","Sdhd",30,114,71,181,20,63,1.63725056888184,6.06904988679112,3.63280774098946e-06,0.00256320627549373
"ENSMUSG00000000182.9","Fgf23",0,1,0,5,6,1,1.53493848619301,6.53514323077313,3.75697960599924e-06,0.00256320627549373
"ENSMUSG00000000183.6","Fgf6",0,4,5,18,2,5,1.64318095757868,6.36491416440706,3.77408309602115e-06,0.00256320627549373
"ENSMUSG00000000184.12","Ccnd2",36,31,1,48,0,16,4.96477280425712,3.26884079253991,4.14379101101416e-06,0.00270605490676959
"ENSMUSG00000000194.13","Gpr107",383,311,155,320,50,241,1.60108986231875,6.36070041408119,5.43857390573813e-06,0.00342005727205658
"ENSMUSG00000000197.8","Nalcn",10,3,0,30,2,4,1.49343545552727,7.41673848331709,6.88588711296335e-06,0.00408267346889884
"ENSMUSG00000000202.9","Btbd17",24,2,0,6,0,2,1.69465668847814,5.86423877171702,6.97317454491232e-06,0.00408267346889884
"ENSMUSG00000000204.16","Slfn4",3,6,5,141,5,11,1.43943632092114,7.47040094703458,1.32347590862305e-05,0.00749043248417026
"ENSMUSG00000000223.13","Drp2",0,6,0,1,0,1,2.13020566290252,4.80385722595091,1.37063473825334e-05,0.00750709910348499
"ENSMUSG00000000244.17","Tspan32",15,36,50,44,0,24,2.42996988098052,4.40381269394485,2.00594504678881e-05,0.010643419046696
"ENSMUSG00000000247.11","Lhx2",6,1,9,13,0,4,2.45584621015795,4.41721808872018,2.95140124966117e-05,0.0151854066115142
"ENSMUSG00000000253.13","Gmpr",139,129,26,111,1,75,2.07385458989895,4.89251755019742,3.32315312339366e-05,0.0165952402594414
"ENSMUSG00000000263.15","Glra1",0,1,0,3,0,2,4.17595091061139,3.32267652590746,4.12889226509473e-05,0.0200298462197267
"ENSMUSG00000000266.11","Mid2",0,7,0,15,0,5,2.05191427614072,4.6271500351658,4.93373385933106e-05,0.0232694075548839
"ENSMUSG00000000275.16","Trim25",176,205,44,413,69,127,2.57839949732919,4.02504131998479,8.44585591106817e-05,0.0377997549058629
"ENSMUSG00000000276.11","Dgke",47,35,35,46,9,22,-3.19713226199798,4.59572802820835,8.45980732918777e-05,0.0377997549058629
"ENSMUSG00000000278.10","Scpep1",207,283,165,313,36,234,1.20989601248911,10.0559542197743,8.82626665867249e-05,0.0384259439993847
"ENSMUSG00000000282.12","Mnt",229,376,97,385,29,260,2.30547030955023,4.3563529785493,9.56167637085325e-05,0.0404774999126963
"ENSMUSG00000000290.13","Itgb2",1500,1747,1040,2345.001,201,1160,-7.78994231599663,2.7028639296707,9.77429469592171e-05,0.0404774999126963
"ENSMUSG00000000295.13","Hddc2",15,8,0,9,0,6,5.2883747203858,2.70503615995478,0.000103723182984745,0.0419313315213806
"ENSMUSG00000000303.12","Cdh1",0,1,1,20,0,4,-4.07268416036099,3.06666741574998,0.000119563586526786,0.047210933386937
"ENSMUSG00000000305.12","Cdh4",4,9,1,11,0,9,2.14592065650342,4.42077734433376,0.000146466391289033,0.0565193831294656
"ENSMUSG00000000317.11","Bcl6b",2,3,0,2,0,2,1.30684574498034,6.10783567908618,0.000180505182141651,0.0681066108351797
"ENSMUSG00000000318.16","Clec10a",0,1,3.607,1,0,1,1.14587529371962,7.99625065087298,0.000196965896810182,0.0727018252595669
"ENSMUSG00000000320.10","Alox12",0,4,0,21,0,3,1.16544275351617,6.70421628631333,0.000260918404092969,0.0942581613424368
"ENSMUSG00000000325.16","Arvcf",267,283.001,168,237,39,198.001,-1.18125771547645,5.80774524473929,0.000267830433805757,0.0947394361580823
"ENSMUSG00000000326.13","Comt",311,418,445,634,58,416,1.11038111801927,8.63638262542977,0.000287388443948225,0.0995830283632024
"ENSMUSG00000000339.14","Rtca",22,50,18,58,11,27,1.53521286384879,5.20450716083632,0.000306206704675159,0.10398167277359
"ENSMUSG00000000340.10","Dbt",85,92,41,65,6,73,1.52386769186912,5.34345455231838,0.000352996323763665,0.117520089827123
"ENSMUSG00000000346.9","Dazap2",530,725,384,945,79,484,2.88011822525192,3.61776086810105,0.000398407529436875,0.128416380406491
"ENSMUSG00000000355.13","Mcts1",8,36,20,74,16,25,3.1839836930742,3.31790598085514,0.000400852120946112,0.128416380406491
"ENSMUSG00000000365.9","Rnf17",0,11,9,12,5,7,7.78953591051097,2.07166755194075,0.000432978762131252,0.13613974818938
"ENSMUSG00000000374.8","Trappc10",349.999,341,116,388,62,262,5.11137542004035,2.46755489315082,0.000486625761421831,0.150225796421478
"ENSMUSG00000000378.15","Ccm2",134,109,45,163,22,126,3.07531718817377,3.28082925496392,0.000594706788876127,0.180312974434424
"ENSMUSG00000000381.10","Wap",0,4,15,0,0,1,-1.58852631919034,4.54127349793013,0.000614292232463778,0.182983645877237
"ENSMUSG00000000384.15","Tbrg4",51.999,98.999,139.999,155,8,70,-2.8776332977931,3.37756477203859,0.000636725714872903,0.186395964014259
"ENSMUSG00000000385.8","Tmprss2",7,91,46,146.001,17,31,1.5071428690794,4.91238363045545,0.000760875837580009,0.218964590614762
"ENSMUSG00000000392.17","Fap",3,7,0,12,0,0,1.28578866081517,5.5773270436197,0.000820176731143735,0.232096345301491
"ENSMUSG00000000399.10","Ndufa9",107,149,84,242.001,18,98,3.45202300649802,3.11956794088408,0.000874890219171954,0.2435206726446
"ENSMUSG00000000409.14","Lck",5,7,0,13,0,8,2.04789425294364,4.04690648699879,0.00104609214456802,0.286477395526135
"ENSMUSG00000000411.7","Tssk3",11,5,0,3,0,0,-7.36254147123788,2.39492318541786,0.00108952875121585,0.293636645506253
"ENSMUSG00000000416.16","Cttnbp2",1,3,2,21,0,3,-2.00892262404337,3.84415849961867,0.00113095804522304,0.300039635153782
"ENSMUSG00000000420.15","Galnt1",415,563.999,342,512.001,69,362,1.09045996192804,6.16233801350109,0.00126549658678904,0.330567177647555
"ENSMUSG00000000439.9","Mkrn2",135,227,104,327,20,170,2.67454545879463,3.48996471201473,0.0013540028611384,0.344380395512683
"ENSMUSG00000000440.12","Pparg",3,2,1,0,0,2,2.3955826643115,3.72728275622873,0.00135894260553329,0.344380395512683
"ENSMUSG00000000441.17","Raf1",311,401.999,192.001,477,47,262,-1.93705543887234,4.13486375778448,0.00143386264033652,0.358022849562849
"ENSMUSG00000000486.13","Septin1",6,1,0,39,0,0,5.30166681230449,2.12043552213507,0.00150901895750725,0.367362810553942
"ENSMUSG00000000489.7","Pdgfb",1114,1655,612,1743,180,1153,1.36311814065161,5.0053019066649,0.00153324963189353,0.367362810553942
"ENSMUSG00000000530.16","Acvrl1",69,108,94,165,18,70,2.80526016897254,3.25882592286201,0.00153617760464868,0.367362810553942
"ENSMUSG00000000531.5","Grasp",23,89,27,133,2,53,1.69697841869289,4.44214041104878,0.00155860171479346,0.367548590492752
"ENSMUSG00000000532.11","Acvr1b",143,115,69,94,3,79,-1.83834261916313,4.89753244500772,0.00163410615860432,0.380075184478667
"ENSMUSG00000000538.18","Tom1l2",135,136,125,170.999,22,104,-1.7518903242606,4.15631095921617,0.001754190928065,0.402491996859671
"ENSMUSG00000000544.14","Gpa33",0,1,8,3,0,0,-1.65332148990089,4.36606394469976,0.00190265115939062,0.430734853803911
"ENSMUSG00000000552.10","Zfp385a",449,537,298,565,72,350,-1.09851522082351,5.81817902355102,0.00199147330551455,0.444910858609627
"ENSMUSG00000000555.8","Itga5",89,223,68,558,54,102,-1.38347398668794,4.72019626068858,0.0020312903024337,0.4479127018834
"ENSMUSG00000000560.9","Gabra2",12,8,0,12,0,9,2.01293696542799,3.96677507412635,0.00213666788150855,0.461515257191599
"ENSMUSG00000000561.14","Wdr77",90,121.576,53.655,113.639,7.769,73,1.23164334872914,5.32400745453327,0.00214734114601192,0.461515257191599
"ENSMUSG00000000562.5","Adora3",237,298,176,259.629,47,269.999,-1.67795755512746,4.35722755729287,0.00234327857592896,0.497331586758722
"ENSMUSG00000000563.17","Atp5pb",67,194,98.999,172.001,34,127,2.4228324677032,3.52718147856653,0.00241764483032635,0.50678014289026
"ENSMUSG00000000567.5","Sox9",0,9,0,2,0,1,1.45485459429231,4.8652985668357,0.00260512910082971,0.534110707585877
"ENSMUSG00000000568.15","Hnrnpd",268.001,534.001,274,757.001,80,311.999,3.67007527271796,2.76815734969267,0.00261094226571811,0.534110707585877
"ENSMUSG00000000579.14","Dynlt1c",51.516,21.874,23.479,38.603,0,12.989,3.04444275878288,3.00124035109476,0.00264837410718936,0.53531838054724
"ENSMUSG00000000581.8","C1d",7,36,11,32,0,37,2.18421301860141,3.80566866597771,0.00269129770795419,0.537594632745343
"ENSMUSG00000000594.7","Gm2a",378,632,323,543,69,401,-1.36884401373602,4.83307274341428,0.00282374205416608,0.550828318987519
"ENSMUSG00000000600.15","Krit1",153,204.001,102,235.001,31,120.999,0.915534032164081,8.02671189593789,0.00286374288587426,0.550828318987519
"ENSMUSG00000000605.9","Clcn4",519,687,410,681.001,58,380,2.2551678358792,3.58310999100405,0.00288151002203263,0.550828318987519
"ENSMUSG00000000617.14","Grm6",0,1,13,26,0,12,1.35692383869031,4.96565082436736,0.00288731494139167,0.550828318987519
"ENSMUSG00000000627.15","Sema4f",0,4,0,4,0,2,-2.54073892467731,3.23699591968263,0.00325349314081612,0.613789555976855
"ENSMUSG00000000628.10","Hk2",1309,1730,803,1550,183,1111,4.12580314837606,2.42210365520894,0.00350202873517481,0.653416987852011
"ENSMUSG00000000631.20","Myo18a",675,992.002,451.999,1168,77,622.998,-3.61318465546172,3.53314691166079,0.00358738894277006,0.662068226731443
"ENSMUSG00000000632.13","Sez6",18,2,0,0,0,2,0.879728289470733,8.1133074549056,0.00381234080547463,0.696018650926384
"ENSMUSG00000000673.9","Haao",36,18,9,23,0,29,0.950238830473504,6.23295937727324,0.00402611232274675,0.723232396795007
"ENSMUSG00000000682.7","Cd52",54,94,78,154,13,75,-1.38766690462692,4.74863369188399,0.00404659153634052,0.723232396795007
"ENSMUSG00000000686.11","Abhd15",313,272,153,420,37,182,-1.25475959497516,4.64475716483025,0.00409511074230579,0.72428005514177
"ENSMUSG00000000693.10","Loxl3",81,95,50,96,4,88,-4.99722690580109,2.1861164076559,0.00416488461977095,0.729026556279288
"ENSMUSG00000000706.16","Btn1a1",2,4,8,0,0,8,-1.35780719987783,4.40272499646607,0.00448466948266321,0.759650815773891
"ENSMUSG00000000708.14","Kat2b",158,234,92,257,30,132,-1.24020031932835,4.86321075106532,0.00452268018725283,0.759650815773891
"ENSMUSG00000000711.3","Rab5b",265,363.947,174,363.882,60,204,-2.89834248888102,2.91515998808475,0.00455441484049299,0.759650815773891
"ENSMUSG00000000731.15","Aire",7,3,0,4,0,0,0.917733798966046,6.51191603764852,0.00455691949475099,0.759650815773891
"ENSMUSG00000000732.9","Icosl",340,415.001,182,499,61,296,0.883422690451889,6.82939696278758,0.00456354221149284,0.759650815773891
"ENSMUSG00000000738.18","Spg7",153,115.999,68,183,16,95,1.9713456629964,3.80888403334759,0.0046593430135931,0.768067815803857
"ENSMUSG00000000739.14","Sult5a1",4,11,0,5,0,13,-6.74166780811383,1.83441981333802,0.00473572196570623,0.77108595021457
"ENSMUSG00000000740.12","Rpl13",595.886,1096.608,656.497,1526.543,89,869.704,-1.40536953642971,4.68593145589717,0.00477293276691343,0.77108595021457
"ENSMUSG00000000743.9","Chmp1a",248,241,125,231,38,134,-3.33078330331964,2.5657100375604,0.00485681619139745,0.77108595021457
"ENSMUSG00000000751.13","Rpa1",69,167,83,164,18,117.999,1.8961010279813,3.80577974683275,0.00485930836167966,0.77108595021457
"ENSMUSG00000000753.15","Serpinf1",93.001,146,114,170.999,33,133.001,1.17643844264261,5.14375995564371,0.00497939366532164,0.782825231884224
"ENSMUSG00000000759.14","Tubgcp3",133.999,201,82.001,219.999,24,92,-6.66291264703741,1.86929199528715,0.00509502307096177,0.79365501579688
"ENSMUSG00000000766.18","Oprm1",0,5,0,17,7,9,-1.39432656042975,4.65404622972016,0.00520760333706142,0.798303082434512
"ENSMUSG00000000776.13","Polr3d",52,72.001,19,51,0,51,4.97920311639874,1.8531035786558,0.0052188964102851,0.798303082434512
"ENSMUSG00000000787.12","Ddx3x",2476,5504,2330,5322,668,2792,1.66099002354337,4.21164277712976,0.0053459494105096,0.810436384295022
"ENSMUSG00000000791.9","Il12rb1",0,2,0,14,0,1,1.08034996249383,5.51784198551284,0.00546520132065809,0.82118277188897
"ENSMUSG00000000792.2","Slc5a5",11,8,1,14,5,3,-1.64587945283768,4.19042723397695,0.00571487824082499,0.848076426427614
"ENSMUSG00000000794.9","Kcnn3",0,6,0,35,0,25,3.28635542920844,2.62741598890947,0.00574408322275609,0.848076426427614
"ENSMUSG00000000804.14","Usp32",145,269,138,226,43,114,-3.3349263176912,2.60863229962648,0.00585824558274177,0.851247263278833
"ENSMUSG00000000805.18","Car4",4,1,0,0,0,1,1.05185786715065,5.48465976718486,0.00589432750001586,0.851247263278833
"ENSMUSG00000000811.13","Txnrd3",26,27,27,29,2,21,-2.30204808916176,3.1676676291929,0.00593330909084353,0.851247263278833
"ENSMUSG00000000823.16","Zfp512b",153,121.999,37,95,5,54,0.832842053767964,8.41990303853375,0.00596610073209148,0.851247263278833
"ENSMUSG00000000826.16","Dnajc5",419,663,271.999,921,118,442,2.61907429479199,3.04076852707141,0.00610886405742675,0.864353356925407
"ENSMUSG00000000827.18","Tpd52l2",99.999,143,41,209.999,18,115.001,1.0531194803542,5.41226733427075,0.00631491713713753,0.88612378571453
"ENSMUSG00000000838.17","Fmr1",183.001,299.278,65,323.001,49,121.999,1.2901586547071,4.84860926713456,0.00656094392367496,0.913100548197354
"ENSMUSG00000000861.15","Bcl11a",27,19,17,40,0,16,0.818164224862861,9.57419220423772,0.00680660381559698,0.929331787372071
"ENSMUSG00000000876.11","Pxmp4",18,46,26,14,0,27,0.843879891581961,7.02434628126254,0.00684123805381376,0.929331787372071
"ENSMUSG00000000881.12","Dlg3",99.999,117,25,135,11,85,-1.67813018356624,3.80962734732821,0.00684177356861469,0.929331787372071
"ENSMUSG00000000884.17","Gnb1l",20,26,0,34,8,13,1.11649445991563,5.22959754372933,0.00705363103353648,0.938072188845157
"ENSMUSG00000000901.17","Mmp11",5,11,0,12,3,16,1.00643145859717,5.58959513495873,0.00708014117512606,0.938072188845157
"ENSMUSG00000000902.13","Smarcb1",124,174,90,173,6,139.999,0.814825425941003,8.26653829697464,0.00711423969335502,0.938072188845157
"ENSMUSG00000000915.15","Hip1r",89,188,95.553,421.293,23,145.651,2.06065809734634,3.66098142185315,0.00712711657700838,0.938072188845157
"ENSMUSG00000000916.15","Nsun5",50,59.999,36,137.001,18,72,-6.62290067177339,1.72611589191987,0.00736556784708749,0.958665464260251
"ENSMUSG00000000934.9","Top1mt",11,15,12,24,0,7,1.29201271435651,4.73893884510834,0.00742420556414719,0.958665464260251
"ENSMUSG00000000948.16","Gm38393",0,3,0,4,1,3,1.35870168964185,4.54408356486754,0.00749741043051427,0.958665464260251
"ENSMUSG00000000957.11","Mmp14",121,168,56,134,11,132.999,-1.06230942730974,5.01899006336579,0.00750942380273358,0.958665464260251
"ENSMUSG00000000958.10","Slc7a7",331.999,355,235.001,306,35,296.999,3.29417315747381,2.60891634790989,0.00760590893970067,0.963736775277445
"ENSMUSG00000000959.7","Oxa1l",183,164,77,138,26,106,1.11236420677839,5.17966401069037,0.00795986693029448,0.989550073922272
"ENSMUSG00000000976.13","Heatr6",76,124,76,189.001,16,120,0.892946302599966,6.11679728354514,0.00800162371152003,0.989550073922272
"ENSMUSG00000000982.5","Ccl3",913,1100,1108,2018,152,1257,1.18298526642791,4.88217626239283,0.00800959738685065,0.989550073922272
"ENSMUSG00000001014.6","Icam4",7,28,27,23,0,13,2.07322906901013,3.47295192445993,0.00804275341311464,0.989550073922272
"ENSMUSG00000001016.12","Ilf2",113,99,61,122.999,17,92,-1.69802381541471,3.68823853807568,0.00812427940524603,0.992389496558794
"ENSMUSG00000001017.15","Chtop",424,453.001,214,747.999,69.001,324,3.23235819115265,2.70924492971557,0.00827781147776232,1
"ENSMUSG00000001018.15","Snapin",81.001,115,65,155,12,81,0.805811915201232,8.17319771384512,0.0085128305248866,1
"ENSMUSG00000001020.8","S100a4",0,3,0,24,0,18,-0.989722899179383,5.59145307131249,0.0086129936127042,1
"ENSMUSG00000001021.13","S100a3",0,10,6,7,8,22,1.03945229862394,5.43788377204703,0.00898669994842255,1
"ENSMUSG00000001025.8","S100a6",0,0,5,18,0,6,0.845142933444495,6.36940132685173,0.00922779555511874,1
"ENSMUSG00000001027.7","Scn4a",0,4,0,20,3,16,-0.870871600525764,6.53022000871938,0.00924828799312248,1
"ENSMUSG00000001029.15","Icam2",0,9,0,14,0,7,-0.860260571288402,5.7431353728733,0.00926324949753,1
"ENSMUSG00000001034.17","Mapk7",154,117.999,71,156,17,82,1.12989230251986,4.94922800607568,0.00927495497688291,1
"ENSMUSG00000001036.17","Epn2",98,111,35,100,8,81,3.38412328332102,2.35682852898382,0.00936779732200332,1
"ENSMUSG00000001039.12","B9d1",0,1,0,4,0,7,-1.12807901492966,4.60128702694132,0.00946773548946677,1
"ENSMUSG00000001052.15","Sec24b",301.999,440,168,351.999,21,251,2.13442420660119,3.36108481084085,0.0095719846443026,1
"ENSMUSG00000001053.15","N4bp3",17,26,0,60,0,14,1.04429958297012,5.22104842789793,0.00966084190443012,1
"ENSMUSG00000001054.9","Rmnd5b",122,75,38,70,12,34,1.75275212600304,3.96165171367033,0.00976295663577021,1
"ENSMUSG00000001056.3","Nhp2",8,23,22,75,3,26,6.66385459458724,1.49056315560934,0.00984140247746645,1
"ENSMUSG00000001062.18","Vps9d1",266,266.001,140,218,11,242,-1.09167230484594,4.87523308036596,0.00985046365795544,1
"ENSMUSG00000001065.15","Zfp276",226,207.001,122,259,19,133.001,6.86831934636654,1.29321958622712,0.00994191749321283,1
"ENSMUSG00000001082.12","Mfsd10",131,106,62,148.001,6,87.999,0.781425911045032,9.10163500730718,0.00995832337430727,1
"ENSMUSG00000001089.14","Luzp1",71,121,39,117,19,68,0.865231782659344,6.24920054455377,0.010114343570402,1
"ENSMUSG00000001098.15","Kctd10",73,146,73,264,25,87,1.47895953190428,4.45019493026456,0.0101420363712075,1
"ENSMUSG00000001100.10","Poldip2",75,108.999,60,183,8,91,-0.948017008385826,5.18567225931827,0.0102419975658319,1
"ENSMUSG00000001103.7","Sebox",2,1,0,0,0,4,1.5890939829221,4.01109811526972,0.0102506666407791,1
"ENSMUSG00000001105.15","Ift20",8,54,36,86,3,42,0.79181519990603,6.85314126521504,0.0102607888304864,1
"ENSMUSG00000001120.15","Pcbp3",0,8,13,8,0,0,3.1659404987303,2.49723676882352,0.0102871594623792,1
"ENSMUSG00000001123.15","Lgals9",317,563,283,879,70,344,0.835271199036483,6.4868584467289,0.0102894256623696,1
"ENSMUSG00000001127.12","Araf",237,205,107.999,170,15,119,-6.50103776236172,1.59687098815975,0.0103018268291729,1
"ENSMUSG00000001128.7","Cfp",23,9,8,50,0,16,1.20856478873209,4.79405608153247,0.0105010393392156,1
"ENSMUSG00000001134.9","Uxt",5,10,0,23,4,10,1.53631759587397,4.21022446026994,0.0105439613153993,1
"ENSMUSG00000001138.13","Cnnm3",193,173,31,145,11,98,1.0762354625367,5.10331460754021,0.0106492209768637,1
"ENSMUSG00000001143.13","Lman2l",140,234.001,168.999,257,21,181,-1.61960513342914,3.75988086002792,0.0107824767197087,1
"ENSMUSG00000001150.7","Mcm3ap",230,211,90,198,21,175,6.49741914654631,1.59434400681196,0.010797640024835,1
"ENSMUSG00000001151.10","Pcnt",103.001,294,132,285,13,168.001,-0.771383055499184,6.54589719587148,0.0109226986116354,1
"ENSMUSG00000001156.9","Mxd1",122,172,195,435,34,104,-0.808544619691762,6.73452803744407,0.0110313120322292,1
"ENSMUSG00000001157.13","Gmcl1",72,74,105,59,0,56,0.767877540799884,8.03454131571298,0.0114307601278191,1
"ENSMUSG00000001158.13","Snrnp27",8,25,43,51,5,25,-0.808800555902167,5.88281626900545,0.0115055271056545,1
"ENSMUSG00000001166.17","Oas1c",1,3,7,24,2,6,-0.803762934197884,5.85748773965223,0.0115773153268649,1
"ENSMUSG00000001173.15","Ocrl",38,70,116,53,6,48.999,-0.807357522188015,6.19039706635115,0.0117447862336204,1
"ENSMUSG00000001175.16","Calm1",665,1966,1258,2521,254,1172,6.75766493196708,1.26309758369424,0.0117467557455701,1
"ENSMUSG00000001211.15","Agpat3",275,376,218.001,411.999,55.001,257,2.25313173940668,3.14647395225078,0.0118931499540146,1
"ENSMUSG00000001225.12","Slc26a3",0,4,0,30,0,5,6.676185305098,1.33764879237419,0.01210665290045,1
"ENSMUSG00000001227.12","Sema6b",74,203,73,284,8,58,-0.777448936869577,6.16110713724903,0.0121304837804444,1
"ENSMUSG00000001228.14","Uhrf1",4,10,12,105,10,25,-6.40935151441556,1.56412474458603,0.0123544316222888,1
"ENSMUSG00000001229.9","Dpp9",192,181,104,240,12,101.001,2.71472724349893,2.72016102962023,0.0124421670744945,1
"ENSMUSG00000001240.13","Ramp2",5,1,0,13,0,2,1.70025764308493,3.77989367881252,0.0124554529813603,1
"ENSMUSG00000001247.16","Lsr",7,4,0,5,0,1,1.33665494118843,4.41951142628366,0.0125189100527832,1
"ENSMUSG00000001248.15","Gramd1a",993,1198.001,560,1253.999,108,699.001,0.973245153693089,5.43427904526112,0.0127051083458937,1
"ENSMUSG00000001249.14","Hpn",39,59,38,93,0,23,-1.53479996585295,4.01719934193998,0.0127401556904271,1
"ENSMUSG00000001260.10","Gabrg1",0,5,2,3,0,1,0.892585907708883,5.69857608132628,0.0128558750395714,1
"ENSMUSG00000001270.9","Ckb",1397,2214.97,1099,2396.995,239,1681.971,1.23100596769734,4.63359539258783,0.0128993164804246,1
"ENSMUSG00000001280.13","Sp1",345,583,210,605,39,278,-0.933533962646217,5.70281402592436,0.013012766728207,1
"ENSMUSG00000001281.10","Itgb7",9,6,4,55,0,15,6.42362683750847,1.56374082136817,0.0132422827639468,1
"ENSMUSG00000001285.12","Myg1",57,47.999,42,78.293,5,41.001,0.745788008086192,7.70943832505782,0.0133408962732293,1
"ENSMUSG00000001288.15","Rarg",19,32,21,43,0,15,-1.53463963797581,3.77256765431666,0.013369287472505,1
"ENSMUSG00000001289.12","Pfdn5",118.999,163,137.001,243.708,14,134.001,6.65705554882563,1.16011734113269,0.0136221952963339,1
"ENSMUSG00000001300.16","Efnb2",67,194,65.999,273,15,116,0.747206712582033,7.82529737354969,0.0137918406392833,1
"ENSMUSG00000001305.5","Rrp15",32,27,22,38,0,35,-0.808493783271545,5.95468936792621,0.0139573263388653,1
"ENSMUSG00000001313.12","Rnd2",7,13,28,21,0,7,6.59368296057568,1.26231128177016,0.0139795897280382,1
"ENSMUSG00000001323.17","Srr",51,40,30,49,15,32,-1.15684665094681,4.39548322727084,0.0141140407510783,1
"ENSMUSG00000001333.9","Sync",5,16,15,15,7,7,0.998546197897175,5.38912701666685,0.014278070039579,1
"ENSMUSG00000001334.9","Fndc5",1,4,0,3,0,6,-0.801987596658979,5.62223108290903,0.0143405084602873,1
"ENSMUSG00000001348.15","Acp5",0,3,0,2,0,4,-1.2839508287471,4.13318827050659,0.0143449211460832,1
"ENSMUSG00000001366.14","Fbxo9",70,52,41,63,0,41.999,1.53550911011883,4.07887894554507,0.0148704841701443,1
"ENSMUSG00000001376.17","Vps50",129,137.001,63,144,9,94,0.947869859012619,5.36401655688256,0.0149243816816752,1
"ENSMUSG00000001380.7","Hars",100,84,60,134,8,81,4.43510940122738,1.72573825009294,0.0149652183683419,1
"ENSMUSG00000001383.9","Zmat2",91,119,81,116,10,68,1.05022892053961,5.03430323450535,0.0149979369098582,1
"ENSMUSG00000001403.13","Ube2c",0,5,21,40,0,5,2.16955781691502,3.19414018064533,0.0151630536179022,1
"ENSMUSG00000001415.10","Smg5",213,248.001,189.999,353,34,188,6.4627588674532,1.36017051808079,0.0152830217614988,1
"ENSMUSG00000001416.13","Cct3",277,388,165,478,55,257,1.0818299591475,4.91072227871819,0.0153897567292472,1
"ENSMUSG00000001418.13","Glmp",275.001,391,154,534.999,43,279,2.47580547710245,3.00385272403212,0.0155031058063926,1
"ENSMUSG00000001419.17","Mef2d",577.001,1181,380,1489,140,678,-6.25460807512088,1.53683408518823,0.0159895961365012,1
"ENSMUSG00000001420.13","Tmem79",4,17,0,12,1,10,-1.26894518467844,4.12348141984115,0.0161735154737753,1
"ENSMUSG00000001424.14","Snd1",241,306.999,140,482,29.999,290,-3.3571484780654,2.32885296779713,0.0161964964912955,1
