"","geneid_symbol","PVN_14A1","PVN_14A2","PVN_14A3","PVN_14L1","PVN_14L2_b1","PVN_14L3_b1","PVN_14L4","PVN_14L5","PVN_14L6","PVN_3A1_b1","PVN_3A2","PVN_3A3_b1","PVN_3L1_b1","PVN_3L2_b1","PVN_3L3","PVN_naive1","PVN_naive2","PVN_naive3"
"ENSMUSG00000022359.10","Wdyhv1",6.677508,12.506891,23.563968,18.538353,0,25.887211,10.708001,12.707061,15.559955,29.532329,38.483766,11.71622,39.114491,23.191041,26.544313,26.232905,16.223712,58.315118
"ENSMUSG00000022360.8","Atad2",12.526178,18.840054,12.404044,12.453407,15.780506,9.129037,20.504722,6.93567,21.694115,10.342408,18.120967,7.303858,8.616776,7.500081,9.871515,13.567598,7.197557,4.214572
"ENSMUSG00000022361.14","Zhx1",22.95237,26.174707,15.072433,18.94234,20.239141,28.248425,12.685775,29.266122,17.148517,17.674061,25.176829,32.682779,37.242696,22.163672,23.094063,44.109971,22.867874,17.432894
"ENSMUSG00000022362.13","Gm29394",0,168.613973,0,2.027919,0,0,0,0,0,0,0,0,8.586317,0,0,0,1.881674,4.48014
"ENSMUSG00000022364.14","Tbc1d31",18.982322,9.618915,26.305066,32.558227,36.564112,23.717793,6.897147,23.934861,14.998016,20.960156,25.520031,38.379469,46.541611,28.57423,34.170392,50.719602,39.898506,33.180228
"ENSMUSG00000022365.6","Derl1",87.612479,85.471424,89.06693,90.096487,86.437685,105.831926,85.227346,93.463994,68.229728,100.201053,115.594329,112.337311,104.239769,109.885059,125.646859,111.912907,109.233844,97.188796
"ENSMUSG00000022366.12","Slc22a22",0,0,0,0,0,0,0,0,0,0,0.767354,0,0,0,0,0,0,0
"ENSMUSG00000022367.7","Has2",2.513159,0,0.344371,0.997286,0,0,1.96707,3.135622,2.430823,0,0.302824,0,0.560848,1.141465,0,0,0,0
"ENSMUSG00000022369.13","Mtbp",17.770654,3.743316,29.895182,12.343479,6.313476,29.84735,13.919585,3.373888,5.391331,4.942942,7.107911,7.271324,7.729038,9.30673,12.324954,4.415923,5.064621,3.026097
"ENSMUSG00000022370.13","Mrpl13",19.465181,27.308545,31.080922,14.4712,0,14.388878,28.235541,15.097273,31.074181,25.728205,19.88509,18.64025,23.743083,25.101375,17.999147,22.074592,20.248097,8.211373
"ENSMUSG00000022371.16","Col14a1",0.8233,0,0.635332,1.2024,13.456124,1.542596,2.67305,0.462603,0,0,1.631394,0.844296,0,0.864283,0.684726,4.993768,1.575959,0.463625
"ENSMUSG00000022372.14","Sla",119.843955,160.041424,151.063022,126.208107,129.225126,142.421973,96.555807,96.707747,160.905419,179.749447,172.525428,183.717488,186.247233,170.593456,199.641525,201.006827,169.656208,161.764451
"ENSMUSG00000022375.6","Lrrc6",0,0,0,0,0,0,0,0,0,0,0.809293,0,0,0,0,0,0,0
"ENSMUSG00000022376.8","Adcy8",1.010088,0,2.279376,3.119326,11.315069,1.436486,2.885554,3.406683,0.865349,1.499392,2.405096,0.955841,3.531417,3.956371,4.272236,8.078362,1.509007,0
"ENSMUSG00000022377.16","Asap1",89.928988,73.839832,69.194931,90.598706,53.1774,106.872545,54.592764,55.386592,95.012981,61.238348,137.264204,90.569604,117.068828,105.142858,84.474022,68.443066,101.740661,56.940977
"ENSMUSG00000022378.14","Fam49b",291.564323,418.091105,314.576867,227.051332,328.384754,273.544432,185.027687,222.513882,288.178507,191.163399,291.589432,326.621908,386.947581,411.609248,267.045399,232.018289,339.082683,271.316175
"ENSMUSG00000022382.15","Wnt7b",1.293812,0,0.298185,0,0,0,0,3.16103,0.961188,0,1.445123,0,0,0,0,0,0,0
"ENSMUSG00000022383.13","Ppara",0,0,0,3.575107,0,3.880517,1.410061,0,0.239537,0,0.570442,0,0,0,0,0,0.532363,0
"ENSMUSG00000022385.11","Gtse1",3.229691,0,0.851008,0.617667,0,0,0.925723,3.102648,13.427853,0,3.251158,1.008873,0,0.818949,0,0,1.018048,0
"ENSMUSG00000022386.12","Trmu",10.171908,0,10.251285,12.722871,40.292457,14.701735,4.786128,1.342084,7.790228,25.243224,18.656126,9.173258,9.459286,21.56799,10.647483,35.070437,6.795716,32.019418
"ENSMUSG00000022387.17","Brd1",60.850245,41.65191,49.297957,51.110248,41.333878,67.904186,58.455051,71.908837,42.083479,49.307724,75.205544,68.350503,52.906706,77.538679,64.988051,58.744159,69.196793,41.833256
