"","geneid_symbol","PVN_14A1","PVN_14A2","PVN_14A3","PVN_14L1","PVN_14L2_b1","PVN_14L3_b1","PVN_14L4","PVN_14L5","PVN_14L6","PVN_3A1_b1","PVN_3A2","PVN_3A3_b1","PVN_3L1_b1","PVN_3L2_b1","PVN_3L3","PVN_naive1","PVN_naive2","PVN_naive3"
"ENSMUSG00000000001.4","Gnai3",64.029881,84.281454,56.646581,46.317612,43.541014,57.994949,31.799117,66.053548,120.196414,58.114569,61.545726,49.663419,59.543174,56.283884,42.432207,43.157539,61.12053,51.360168
"ENSMUSG00000000003.15","Pbsn",0,0,0,0,0,0,1.569591,0,0,0,0.606049,0,0,0,0,0,0,0
"ENSMUSG00000000028.15","Cdc45",9.86904,0,6.144209,7.408352,0.441626,0,2.615691,0,28.248959,28.417208,5.115629,1.683133,4.214406,0.15097,2.998583,0,0.639869,0.5448
"ENSMUSG00000000037.17","Scml2",2.656596,0,0,0.611046,0,0,0.3496,0,0.550739,0,0.545334,0,0,0,0,0,0,0
"ENSMUSG00000000049.11","Apoh",0,0,6.948574,0,0,0,1.124384,0,0,0,6.338482,0,5.44121,0,0,0,0,0
"ENSMUSG00000000056.7","Narf",30.097874,32.157521,31.754187,36.578145,83.913474,43.143208,47.939023,28.972963,24.930885,35.455538,35.63372,24.591551,46.644183,29.948715,36.283395,36.622382,29.115047,45.389329
"ENSMUSG00000000058.6","Cav2",5.375146,0,2.243516,4.165661,6.107031,8.409067,5.940155,7.9753,1.05683,0.198508,3.047457,3.109785,6.587921,3.5762,0,10.272455,4.317851,0
"ENSMUSG00000000078.7","Klf6",308.385392,635.644194,449.553836,444.218434,383.054132,541.366923,170.796632,529.315316,297.808467,486.019819,618.14063,705.449818,329.798857,384.552663,492.65719,351.812899,445.241163,379.04358
"ENSMUSG00000000085.16","Scmh1",79.551939,61.247625,29.445208,58.049248,144.072448,20.113971,63.528954,38.945343,22.372345,76.63299,49.330806,41.015388,50.729602,46.915539,114.180245,66.158014,67.709043,69.333154
"ENSMUSG00000000088.7","Cox5a",52.521544,56.489212,76.512586,46.128735,18.83298,68.364299,15.663745,55.620792,131.197705,46.592543,65.471455,72.540475,55.514707,66.068131,96.953117,30.766633,35.658527,62.593031
"ENSMUSG00000000093.6","Tbx2",0.328956,0,0.20268,0.293678,0,0,0.661519,0.738394,0,0,0.445882,0.214905,0.396042,0.654417,0,2.106794,0.726865,0
"ENSMUSG00000000094.12","Tbx4",1.497161,0,1.758791,0.364461,0,0,0,3.663081,0.323404,0,0.553367,0,0,0,0,0,0.180292,0
"ENSMUSG00000000103.12","Zfy2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120.6","Ngfr",0,0,0.427673,0.774802,0,0.074339,0,0,0,2.477561,0.282328,0,0,0,0,1.779282,0.15339,0
"ENSMUSG00000000125.5","Wnt3",1.566956,0,2.411191,1.223869,0,0,5.508473,0,0.15512,0,1.168017,0,0,0,0.487274,0,0.173003,0
"ENSMUSG00000000126.11","Wnt9a",0.843245,0,1.112739,0.644807,0,0,0.362939,0,0,0,0.685741,0,0,0,0,1.852638,0.159652,2.169492
"ENSMUSG00000000127.15","Fer",7.083978,4.13207,15.53205,8.717881,23.79273,24.677874,12.296301,14.603714,6.465861,8.124422,11.645135,15.835549,17.581755,15.226017,15.772588,12.948798,13.091734,1.537834
"ENSMUSG00000000131.15","Xpo6",43.631586,147.133304,39.211724,54.430788,40.193896,114.868334,37.60668,57.478659,64.68987,58.354803,61.367931,62.150251,57.903873,63.114249,56.630342,172.767903,48.947677,147.49984
"ENSMUSG00000000134.17","Tfe3",217.130745,214.066661,145.985202,149.306426,244.776763,143.274609,179.007973,169.333431,101.664386,167.504475,143.12426,247.902623,287.985723,241.53826,229.136667,180.939843,199.534505,120.016571
"ENSMUSG00000000142.15","Axin2",3.942555,0,0.85608,0,0,0,3.816583,0,4.783472,0,1.370669,0,0.892308,0.88882,0.252039,0,0.268754,0
"ENSMUSG00000000148.17","Brat1",20.07511,23.879586,19.560074,20.898562,4.393117,33.059843,17.002048,27.94811,15.583256,26.982831,37.976012,32.879211,34.486312,33.939485,30.400205,36.440105,27.979827,27.79891
"ENSMUSG00000000149.10","Gna12",208.191648,219.877021,267.612471,226.001203,238.085518,234.397225,157.428522,228.82708,103.340936,191.772634,251.99555,270.64009,289.97674,316.327036,269.53131,353.371206,283.153813,250.064079
"ENSMUSG00000000154.16","Slc22a18",0,0,1.737968,0.423293,0,0,8.304705,0,0,0,0,0.42171,0,0.790681,1.561252,0,1.491311,0
"ENSMUSG00000000157.16","Itgb2l",64.453686,10.973772,7.043468,16.194231,6.926266,26.853464,21.424535,111.485541,469.397541,190.240754,92.435147,34.17574,21.6871,5.119371,24.417542,2.732981,2.401738,2.029186
"ENSMUSG00000000159.16","Igsf5",2.195411,0,0,0.370163,9.163828,0,2.482939,0,1.274462,0,2.216318,0.1805,0,0.083187,0,0,1.058571,6.218828
"ENSMUSG00000000167.14","Pih1d2",0,0,3.913009,1.937567,0,0,0.865944,15.520766,1.56005,0,1.176947,0.577522,0,0,0,5.61842,6.009124,0
"ENSMUSG00000000168.9","Dlat",9.993486,69.783931,23.818081,10.847502,4.040596,29.900855,15.89701,13.860117,7.327796,9.565839,22.397176,20.742713,24.981025,29.482936,33.090961,35.434667,16.297471,23.957673
"ENSMUSG00000000171.5","Sdhd",65.694603,71.564362,41.755676,36.874906,43.855656,58.751597,45.391038,70.31992,52.408936,53.77853,52.465555,43.589298,50.387561,44.655629,37.958061,21.194579,54.416498,57.852739
"ENSMUSG00000000182.9","Fgf23",1.161585,13.816886,0.426889,0.621681,0,0,0,0,0,0,0.188803,0,0,0,0,0,0.306799,0
"ENSMUSG00000000183.6","Fgf6",1.51776,1.682017,0.780234,1.581097,1.932406,0,1.78275,0,0.700534,0.563671,1.440277,0,0.508324,0,2.207376,0,0.447516,0.949493
"ENSMUSG00000000184.12","Ccnd2",3.41446,0,2.552814,2.447816,9.740508,0.787961,6.051376,5.651179,1.891668,1.67237,2.448539,1.394134,0.888518,0.347824,6.735168,5.441357,2.593626,0.138156
"ENSMUSG00000000194.13","Gpr107",36.01504,136.828027,53.986817,62.147514,28.712865,40.243281,38.835074,28.699179,14.662402,25.819503,40.504345,34.32939,46.883884,63.528636,45.252479,82.473445,30.590675,53.399555
"ENSMUSG00000000197.8","Nalcn",3.899843,3.53895,1.222032,2.501412,0,0,2.286622,0,0,4.281281,1.344153,0,0.492038,0.032241,0.406853,1.970525,0.609535,0
"ENSMUSG00000000202.9","Btbd17",1.482693,0,0.497153,2.779295,0,11.277332,1.216878,0.896084,0,1.659148,0.200813,0.327351,2.656477,2.081227,6.635339,11.475507,1.096939,0
"ENSMUSG00000000204.16","Slfn4",14.178914,4.982716,2.033766,11.381087,22.007422,9.467693,5.176653,64.470531,253.199447,64.419499,47.202543,4.480742,8.611208,7.648148,11.320308,0.618092,0.853163,1.207335
"ENSMUSG00000000214.11","Th",1.380457,0,0,1.844161,0,0,1.38012,0,0,0,0.373477,0,0,0,0,0,0.849588,0
"ENSMUSG00000000215.11","Ins2",0,0,5.574988,0,0,0,9.070535,0,0,0,0,0,0,0,0,0,5.268045,0
"ENSMUSG00000000216.8","Scnn1g",0,0,0,0.720589,0,0,3.242703,0,0,0,0.656448,0.044052,0,0,0,0,0,0
"ENSMUSG00000000223.13","Drp2",0.054216,0,0.165973,1.695164,0,0.978492,2.296106,0,0,1.013987,0.381707,0,0,0,0.203046,0,0.590983,0
"ENSMUSG00000000244.17","Tspan32",20.340007,0,7.18048,17.175203,10.744976,15.093908,8.64887,7.351591,57.297572,15.139478,23.779638,10.735399,7.914865,10.018716,21.54378,7.850937,9.871555,28.427798
"ENSMUSG00000000247.11","Lhx2",1.957298,0,1.247467,4.718443,0.325595,0,4.738376,0,0.895084,0,7.736047,0,0,0,0,8.836836,0.330713,2.880911
"ENSMUSG00000000248.16","Clec2g",0,0,1.743087,0,0,0,0,65.715964,0,0,0,0,0,0,0,0,2.621845,0
"ENSMUSG00000000253.13","Gmpr",30.141573,2.687263,38.348583,40.948017,14.263051,31.746406,23.899168,43.103625,24.588196,31.379134,49.844867,32.758963,42.112556,37.907362,37.244241,73.124643,50.556889,15.866526
"ENSMUSG00000000263.15","Glra1",0.612611,0,0.862731,1.570661,0,0,0.703672,0,0,0,1.908028,0,0,0,0,0,0.310028,0
"ENSMUSG00000000266.11","Mid2",9.385168,0,0.6091,0.801529,2.713917,0.042249,1.919851,0,0.590856,0.966736,0.973604,0,0,0,1.990746,0,0.611193,0
"ENSMUSG00000000275.16","Trim25",28.802616,48.238868,22.310071,17.842617,13.328463,23.110997,14.123583,10.390887,16.218644,20.660384,18.153655,24.738685,25.204923,26.617806,17.225562,23.640648,18.978233,9.718867
"ENSMUSG00000000276.11","Dgke",4.743123,6.566624,1.882686,3.703626,2.752543,2.609296,4.056224,2.802924,2.22655,3.410889,4.835022,2.813006,3.93852,4.918821,3.79274,4.154598,2.895824,3.639805
"ENSMUSG00000000278.10","Scpep1",61.900275,70.673342,85.176035,53.993133,90.452503,65.171201,37.412679,55.778713,32.227886,32.886019,77.804971,74.642346,80.541999,79.750042,74.300308,79.009593,73.991826,73.394277
"ENSMUSG00000000282.12","Mnt",32.95801,61.905335,48.447215,35.772611,23.34556,30.191015,42.84043,43.267436,18.796763,42.577801,48.740619,64.754435,50.932478,71.115258,56.875789,91.918453,46.836839,18.700646
"ENSMUSG00000000290.13","Itgb2",325.830738,393.70262,290.567364,316.703727,265.572998,403.678093,203.270952,417.048178,848.579856,418.234663,481.829402,380.773971,367.039699,430.04617,348.485135,391.221026,339.859417,331.109548
"ENSMUSG00000000295.13","Hddc2",5.419838,0,6.15132,4.114861,1.942048,38.586962,6.682657,0,4.07488,0,8.736365,4.447455,15.291728,3.998383,22.798282,16.725738,5.926059,0
"ENSMUSG00000000296.8","Tpd52l1",0,0,0,0.793485,0,0,0,0,0,0,1.446719,0,0,0,0,0,2.225564,0
"ENSMUSG00000000301.16","Pemt",0,0,3.937685,13.739513,0,1.078815,4.924661,0,0,0,1.282558,0,0,0,1.819142,0,0,0
"ENSMUSG00000000303.12","Cdh1",1.776777,0,0.657495,10.901324,5.155295,3.424197,0,0,0,0,2.322188,0.173777,0.42834,0.588702,0,0,0.117858,0.200065
"ENSMUSG00000000305.12","Cdh4",0.668302,0,4.234061,0.488317,2.228745,0.039029,1.653531,9.096026,0.50452,0,0.840202,0,0,0,0.075821,0.465762,4.112654,0.136864
"ENSMUSG00000000308.14","Ckmt1",0,0,3.102734,1.059176,2.275106,0,1.690456,0,0,0,0,0.094387,0,0,0,0,0.374781,0
"ENSMUSG00000000317.11","Bcl6b",0.237281,0,0.438398,1.429792,0,2.743699,2.50395,0,0.140904,18.502289,0.192963,0,0.071381,0,0.738286,0.456108,2.287694,0
"ENSMUSG00000000318.16","Clec10a",0.632534,0,1.140606,3.89259,16.363442,8.034355,2.116644,3.548639,0.356012,0,0.871093,0.997364,0,0.165177,13.577012,0,2.141101,5.947391
"ENSMUSG00000000320.10","Alox12",3.370674,0,0.981166,0.538518,0,0.114035,2.134453,1.192868,0,0,0.830592,0.438928,1.450643,0.610733,0,0,0.824895,0
"ENSMUSG00000000325.16","Arvcf",43.361175,117.476589,54.768315,69.860525,47.381365,124.538727,41.699443,61.562239,17.38169,66.699695,65.987534,53.274102,46.864846,58.580631,78.58299,57.448964,79.397493,35.961865
"ENSMUSG00000000326.13","Comt",158.080882,160.158247,196.518033,141.615152,150.182659,161.062266,104.478071,87.924187,80.636866,173.406958,195.850007,194.543089,227.382893,224.434451,161.935227,175.348644,147.665712,250.023048
"ENSMUSG00000000339.14","Rtca",22.000445,71.630678,13.314223,26.379623,19.126661,23.312659,18.228007,10.807713,30.312263,14.809119,21.92953,18.655927,18.761005,14.145204,14.949908,11.456329,18.556474,10.874991
"ENSMUSG00000000340.10","Dbt",7.872982,7.237289,16.334373,11.515259,55.688233,14.23893,7.668033,4.07672,4.028063,28.380386,10.539355,10.614564,11.43959,18.908127,9.495912,19.792656,14.768014,32.112952
"ENSMUSG00000000346.9","Dazap2",199.120887,152.076737,175.930063,164.842319,224.537546,164.159694,107.452832,197.378724,271.723743,196.273217,206.937174,206.066644,185.401921,190.666805,191.12049,221.821568,198.226979,173.279624
"ENSMUSG00000000355.13","Mcts1",63.849659,99.663413,28.796968,29.950564,0,88.946081,20.476303,33.991363,45.332384,62.126628,28.035551,44.480944,56.584947,45.939213,26.684974,10.09255,30.168216,28.791839
"ENSMUSG00000000359.3","Rem1",7.983869,0,0,0,0,3.6748,0,0,0,0,0,0,0,0.09344,0,0,0.793522,0
"ENSMUSG00000000365.9","Rnf17",1.346838,7.749648,7.386995,7.892686,0,0,2.792008,7.529906,2.43768,27.817122,0.878852,3.357514,2.177905,6.962755,2.499452,0,2.126528,3.059115
"ENSMUSG00000000374.8","Trappc10",31.096363,47.965681,38.547008,34.099317,23.816243,27.298093,29.002748,52.656968,37.336928,22.212043,40.799311,32.604244,41.551223,50.01888,36.125852,70.991716,41.356825,20.645433
"ENSMUSG00000000378.15","Ccm2",40.455841,49.33477,75.645908,54.965965,67.765095,75.965579,58.158829,49.84805,71.955314,46.913594,84.035464,91.240976,70.817165,71.085915,39.676157,88.88559,42.897268,46.483391
"ENSMUSG00000000381.10","Wap",0,0,0.959126,0.706831,0,0,3.126293,3.518239,0,0,0,0,0,0,3.877885,0,2.770395,17.793609
"ENSMUSG00000000384.15","Tbrg4",47.491732,14.608754,33.298078,43.703245,243.273548,69.057536,40.655896,66.675967,45.594935,51.851821,58.961134,104.030091,66.324476,59.780546,75.824338,68.768439,37.137362,147.346253
"ENSMUSG00000000385.8","Tmprss2",24.283789,15.913686,5.194229,7.598463,4.712124,1.382823,8.292345,61.01191,11.760003,1.989437,2.131279,3.709471,6.968205,4.523143,7.885738,0.951451,10.253042,8.351253
"ENSMUSG00000000392.17","Fap",6.523108,0,0,1.599797,0,0,1.620244,0,0,0,0.85305,0.124279,0,0,3.89245,0.849966,5.604398,0
"ENSMUSG00000000394.15","Gcg",0,0,1.183061,0,0,0,1.927345,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000399.10","Ndufa9",77.105738,63.982446,54.497563,60.242887,54.248918,71.152898,31.336997,50.274196,57.809385,49.529693,57.924496,56.899699,76.666578,74.809059,53.201366,62.459911,64.777301,67.988349
"ENSMUSG00000000402.2","Egfl6",1.649277,0,0,0,0,0,0.451332,2.016755,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000409.14","Lck",2.602395,0,6.696289,3.629734,5.261534,1.039166,3.407135,0,2.489304,0,1.163675,0,0,1.749519,1.737313,1.823267,3.407598,0
"ENSMUSG00000000411.7","Tssk3",1.039722,0,0,1.390056,0,0,5.164129,2.316577,0,3.266388,4.503598,3.241238,4.116118,1.286959,5.974346,7.414357,2.280161,0
"ENSMUSG00000000416.16","Cttnbp2",2.086271,0,8.891398,6.097437,0,0,4.684054,0.629142,1.521653,0,2.861394,0.024561,0,0,1.217464,0.190778,0.39526,0.403845
"ENSMUSG00000000420.15","Galnt1",52.863421,128.380635,81.357034,59.567143,48.347127,91.597821,39.657168,59.014209,52.22856,58.446521,84.792845,94.560391,68.842594,80.129769,86.50275,128.749718,79.201293,85.090559
"ENSMUSG00000000435.1","Myf5",3.586146,0,0,0,9.567647,0,0,0,0,0,0.485833,0,0,0,0,0,0,0
"ENSMUSG00000000439.9","Mkrn2",21.111828,12.448112,20.293257,20.190733,28.873609,21.186859,14.51601,17.548669,18.194985,17.077614,20.223687,16.686805,17.725009,21.99246,19.450072,17.011905,18.791051,14.60615
"ENSMUSG00000000440.12","Pparg",0,0,1.892297,0.640229,0,0,0.71693,0,0,0,0.777749,0.237321,0,1.043554,7.288144,1.388276,0.631794,0.438377
"ENSMUSG00000000441.17","Raf1",71.473258,128.063412,73.183842,80.790527,68.276136,106.508784,57.763029,97.460141,102.228273,84.205325,89.158834,70.828297,103.324822,111.757763,90.175002,81.528675,79.955091,116.715574
"ENSMUSG00000000486.13","Septin1",14.85108,0,0,6.351071,2.090911,31.559058,10.864326,50.913414,128.880964,31.722213,23.843186,10.484152,7.392057,6.726232,16.461936,8.625737,1.20021,0
"ENSMUSG00000000489.7","Pdgfb",246.100138,252.005091,310.587546,312.702314,305.277287,225.511356,206.740107,316.158096,116.588804,217.00783,266.324929,389.405545,338.722097,369.138477,403.529414,303.158417,322.708461,194.34827
"ENSMUSG00000000530.16","Acvrl1",39.619884,20.374303,14.698855,15.589596,37.409791,22.043634,15.354257,36.842008,48.699374,28.3822,24.116742,27.248897,33.86888,32.141761,33.85117,44.50527,21.652445,31.621764
"ENSMUSG00000000531.5","Grasp",27.218158,4.061786,19.956888,17.527767,0.467943,9.465178,17.200537,20.609889,7.547277,17.841929,8.816162,22.593567,14.457139,26.261304,16.995771,9.087603,24.07416,12.427016
"ENSMUSG00000000532.11","Acvr1b",8.374575,2.665256,13.02226,12.528803,6.1247,23.57962,11.568002,13.207167,18.294547,18.107519,25.21728,18.182649,19.490873,20.035174,17.321593,24.452365,13.59204,13.843675
"ENSMUSG00000000538.18","Tom1l2",19.970327,22.937421,18.517482,32.079892,20.340261,11.109285,26.359615,30.813216,6.198268,9.614515,31.882547,20.727792,24.496825,24.551636,34.20436,25.612349,17.163948,33.646152
"ENSMUSG00000000544.14","Gpa33",0.486434,0,0,1.736438,0,3.210716,2.438911,1.243625,0,1.520647,0.527309,0,0.998551,0,0,0,0.214607,3.331416
"ENSMUSG00000000552.10","Zfp385a",101.061291,127.943141,115.332516,125.214532,139.127066,152.935276,80.645164,127.400276,62.955055,134.979141,120.545681,142.461487,150.785451,127.57229,157.387062,154.854473,127.063456,119.915701
"ENSMUSG00000000555.8","Itga5",111.812826,62.648639,30.140427,21.814151,3.29454,43.8814,27.959055,37.458845,13.545755,14.486313,20.274738,35.020035,50.454676,63.983214,23.725396,31.072209,65.434201,26.590591
"ENSMUSG00000000560.9","Gabra2",3.679597,0,1.594681,2.80987,0,0,1.608572,0,0,0,0.745825,0,0,0,0,4.246613,1.055569,0
"ENSMUSG00000000561.14","Wdr77",18.046499,35.148264,18.001928,14.078882,13.840457,8.381057,16.568856,30.218834,26.196266,22.999048,19.124676,42.5842,21.524903,18.985528,13.246784,34.730206,17.046551,13.033844
"ENSMUSG00000000562.5","Adora3",46.654024,84.697702,113.311411,66.436802,65.822206,85.436112,63.748609,42.809841,35.692729,63.739335,67.154287,66.45818,93.863589,89.767313,69.438227,79.009536,68.786382,68.483669
"ENSMUSG00000000563.17","Atp5pb",54.283933,113.066433,75.976315,66.331729,73.013541,75.601769,40.151844,40.553074,143.984061,98.507482,83.828381,56.929304,50.324164,69.709286,76.91096,35.738265,83.483256,69.661424
"ENSMUSG00000000567.5","Sox9",0.190978,0,0.176622,0.127885,0,0,0,0,0,0.893936,0.543651,0.03115,0,0,2.379473,0,1.139882,0
"ENSMUSG00000000568.15","Hnrnpd",265.778392,233.545434,174.976689,168.471706,177.041578,110.592051,164.93688,244.199247,240.95966,244.964389,195.459642,227.178049,207.822461,221.707655,287.968152,174.422551,243.919222,174.695715
"ENSMUSG00000000579.14","Dynlt1c",13.14919,0,3.763841,15.994641,0,3.788789,15.101982,3.076521,1.171115,0,5.370461,4.631138,20.781456,3.250282,1.386156,15.590879,6.794657,22.865923
"ENSMUSG00000000581.8","C1d",4.320995,0,34.479075,17.604902,34.603903,9.194713,33.796054,9.994287,24.829208,32.073001,30.460005,13.960929,53.367639,40.131716,34.068668,33.490318,16.974558,25.852592
"ENSMUSG00000000594.7","Gm2a",51.956087,65.818524,70.968759,56.896454,64.893788,64.47864,49.390134,38.032132,29.532926,53.87354,73.697754,65.393476,58.913045,78.694462,58.653576,69.442317,80.207366,69.594335
"ENSMUSG00000000600.15","Krit1",33.2824,63.60311,29.824348,43.042709,68.377202,51.742544,21.080195,44.11484,19.327903,21.954831,37.263731,28.36291,54.128932,40.103739,27.742175,28.842385,30.828968,24.352515
"ENSMUSG00000000605.9","Clcn4",62.743115,58.549182,61.693365,71.937439,56.833643,69.066043,47.496006,71.099933,30.90986,79.939383,72.652143,91.516744,72.91262,86.645116,83.802929,94.19535,85.907907,79.688202
"ENSMUSG00000000606.18","Vmn2r88",0,0,0.291595,1.376713,4.790627,0.961227,0.846364,0,0,0.499884,1.293076,0,0,0,0.116444,0,0.495827,0
"ENSMUSG00000000617.14","Grm6",3.145143,0,3.36552,1.295827,0,0,0.729356,0,0,0,1.395215,0,0,0,0,0,0.160316,3.540138
"ENSMUSG00000000627.15","Sema4f",0.386766,0,0.35767,3.779965,0,1.603956,0,0.933248,8.494245,2.84498,9.878002,0,0,0,0.24093,0,0.734932,0
"ENSMUSG00000000628.10","Hk2",109.661906,211.739647,145.561645,128.0279,155.671874,155.937986,113.336774,172.677274,103.456187,113.089749,146.804833,152.722078,184.407216,181.50419,191.827951,193.640083,165.648766,127.966937
"ENSMUSG00000000631.20","Myo18a",105.471488,77.63692,95.389866,110.593558,217.676325,161.291729,66.777435,91.719379,86.643524,85.32466,109.681811,91.259441,95.380354,112.655333,97.630775,101.586033,120.377719,76.37957
"ENSMUSG00000000632.13","Sez6",0,0,0.43057,1.069457,0.996063,0,1.405288,0,0,0,0.777773,0,0,0.512137,0.373035,4.295729,0.308863,0
"ENSMUSG00000000673.9","Haao",9.693747,0,11.689133,25.510864,7.367788,45.27292,14.284072,9.382509,12.693448,1.482147,11.570046,10.940038,7.912301,9.633506,9.123803,33.531634,6.758833,11.82489
"ENSMUSG00000000682.7","Cd52",179.861758,145.64,154.93972,69.855721,65.468842,182.762643,94.217597,228.148035,1139.950647,400.2982,229.230875,283.723612,138.542266,193.156459,140.027417,127.4551,141.447162,203.100715
"ENSMUSG00000000686.11","Abhd15",72.056196,56.112509,55.861395,47.360221,38.04241,80.420998,37.634202,27.687346,32.611239,27.981195,91.651757,78.813061,60.799013,64.790662,72.569775,91.90294,54.912803,52.501944
"ENSMUSG00000000690.5","Hoxb6",1.063133,0,0,0,0,0,1.991766,2.233162,0,0,0.17282,0.111413,0,0,0,0,0,0
"ENSMUSG00000000693.10","Loxl3",9.253844,3.843797,23.107463,8.003982,11.036518,34.432535,10.689466,33.488513,6.637148,16.682682,17.297728,25.105346,21.812454,21.152248,16.334051,14.991582,21.87459,10.853059
"ENSMUSG00000000701.8","Tcl1b5",2.622994,0,0,0,0,0,1.296825,0,0,0,0.354866,0,0,0,0,0,0,0
"ENSMUSG00000000706.16","Btn1a1",0,0,3.404972,9.287384,0,2.320922,1.757151,0.784649,0.692056,0,2.213195,0,0.70129,0,0,1.878358,0.617916,2.099034
"ENSMUSG00000000708.14","Kat2b",29.472411,50.686622,29.746129,42.661311,12.378473,18.487569,11.980586,33.02878,28.570568,38.125219,31.123274,29.191643,43.982124,31.176004,48.88168,49.369431,32.515805,17.486327
"ENSMUSG00000000711.3","Rab5b",46.615242,75.290338,48.552184,47.169608,56.278225,46.085261,32.455558,71.836907,82.237077,34.918663,67.46557,51.9061,52.506403,53.611797,46.592791,64.223291,62.954881,49.364246
"ENSMUSG00000000724.10","Cryba1",0,0,2.911085,2.589827,0,0,2.848487,0,0,0,2.533871,0,2.257789,2.740971,0,0,0.838019,0
"ENSMUSG00000000730.13","Dnmt3l",0,0,0,1.376576,0,0,3.203452,0,6.087987,0,2.187443,0,0,4.938564,0,0,0,0
"ENSMUSG00000000731.15","Aire",3.432956,0,0,1.879308,0,0,23.281915,0,1.033673,0,5.31784,0,0,0,0,1.828351,0.919167,0
"ENSMUSG00000000732.9","Icosl",74.282984,118.075945,80.439566,79.932956,93.713056,115.207126,64.520987,96.197312,57.253005,61.579614,123.653255,124.452873,121.694822,115.572443,129.96845,95.778505,83.190671,58.835663
"ENSMUSG00000000738.18","Spg7",38.604025,31.255636,56.952245,35.270699,87.483796,78.688163,50.246593,29.05536,32.69174,68.830193,42.169068,38.553644,81.306672,73.293154,58.100259,61.106365,31.469113,49.046083
"ENSMUSG00000000739.14","Sult5a1",0.521081,0,7.026853,2.512163,4.774968,2.008441,1.572251,0.701909,0,2.509363,3.390328,0,1.694371,0,0.38938,0.800719,3.173132,0
"ENSMUSG00000000740.12","Rpl13",975.798052,517.110576,1003.50095,685.060202,975.711557,1024.167178,600.085036,673.511285,576.532921,828.745855,809.819238,891.125089,785.546691,787.871816,570.463904,741.992878,911.477918,937.17612
"ENSMUSG00000000743.9","Chmp1a",109.510814,72.964382,49.788472,51.976313,63.176491,52.78243,44.612477,42.86348,61.106787,88.093385,66.799932,57.237041,82.539435,74.789319,55.404391,105.409948,63.397282,54.375678
"ENSMUSG00000000751.13","Rpa1",24.775655,48.039534,46.038128,27.548256,16.857556,17.683316,8.615785,81.306588,34.154442,13.95225,35.037086,25.105491,37.553017,25.73231,61.393067,18.180832,25.41712,22.237848
"ENSMUSG00000000753.15","Serpinf1",79.899712,165.60026,125.677747,84.041037,77.83213,102.7575,63.065036,86.084114,41.626025,66.397131,99.353702,140.468603,138.053019,111.684373,116.777093,124.652468,89.092512,126.389121
"ENSMUSG00000000759.14","Tubgcp3",29.028739,70.992826,20.458884,25.977646,20.069346,48.067119,21.030201,30.702019,29.028837,34.243412,35.951358,36.859932,33.026487,51.674215,34.727835,86.37892,32.086941,44.950999
"ENSMUSG00000000766.18","Oprm1",4.107337,12.035763,4.938957,2.325668,0,0,11.654605,2.325728,0.401979,0,5.469189,0,0.387111,0,1.889227,0,1.317611,0
"ENSMUSG00000000776.13","Polr3d",15.458989,0,20.903179,27.143709,211.148945,41.30694,25.285399,21.72431,9.494974,33.866583,18.750581,43.286684,15.208683,24.698811,31.814335,44.470112,36.296635,8.81519
"ENSMUSG00000000782.16","Tcf7",0,0,0,3.539915,0,0.129628,3.977032,0,0.843791,0.81193,0.403117,0.066485,0,0.56906,0,0,0.437465,0
"ENSMUSG00000000787.12","Ddx3x",451.192412,623.076311,442.822587,453.225267,454.969862,480.744736,287.421503,578.090009,319.321819,485.855653,382.234523,582.333386,612.112551,610.031789,543.016785,428.740976,652.132883,455.904231
"ENSMUSG00000000791.9","Il12rb1",2.170071,0,0.45762,0.395626,19.844182,0,1.19129,0,0,0,0.442817,0,0,0,1.285485,0,0.391305,0
"ENSMUSG00000000792.2","Slc5a5",1.927085,6.849215,0.762259,3.133011,0,1.945332,2.073064,2.77833,0.327081,0,1.007346,2.569557,0.66181,0,3.252053,2.913341,1.458622,0.309813
"ENSMUSG00000000794.9","Kcnn3",2.265589,0,4.732455,3.113775,2.231972,0.833605,2.948235,3.764772,0.219852,1.808068,2.231617,0,0.476,0.204624,0.463009,0,0.740587,0
"ENSMUSG00000000804.14","Usp32",25.153305,40.468327,12.90115,12.657234,77.350637,32.534407,11.451432,15.173738,21.126016,14.878846,13.568505,15.084446,23.422127,27.450966,46.245584,25.357949,22.799869,23.745623
"ENSMUSG00000000805.18","Car4",0,0,1.25751,0,0,0,0,0,0,0,0,0.118463,0,0,0,5.540765,0.466225,0
"ENSMUSG00000000811.13","Txnrd3",4.130835,3.253161,5.520356,3.623424,5.990884,6.727055,3.860514,5.749306,1.861769,0,4.980348,3.26695,3.93684,3.482678,1.422483,7.127632,5.093509,8.655798
"ENSMUSG00000000817.10","Fasl",0.863683,0,0,4.485845,0,2.912737,1.943309,0,1.027713,0,0.877471,0,0,0,0,0,0,0
"ENSMUSG00000000823.16","Zfp512b",10.089217,3.636645,14.741195,25.175527,4.176894,43.34104,13.847835,40.21219,12.204543,9.657358,26.9443,33.325767,30.76399,12.195337,43.898342,25.538123,29.987182,13.079003
