"","geneid_symbol","PVN_naive1","PVN_naive2","PVN_naive3","PVN_3A1_b1","PVN_3A2","PVN_3A3_b1","logFC","logCPM","PValue","FDR"
"ENSMUSG00000019979.12","Apaf1",114.001,171,76,187,358,769,-0.699684174564015,3.86352456121352,0.186636461598679,1
"ENSMUSG00000019982.15","Myb",27,4,19,55,34,38,0.390189010215949,6.75029736806423,0.186970414230745,1
"ENSMUSG00000019984.16","Med23",98,172,133.999,115,264,682.999,5.21409478699246,-0.261001375101958,0.187034561789515,1
"ENSMUSG00000019986.17","Ahi1",31,13,28,23,47,73,1.23320741431529,3.20201839993993,0.187083627009595,1
"ENSMUSG00000019987.9","Arg1",0,3,17,25,32,0,-5.3237868469723,-0.447098289013081,0.187122079027311,1
"ENSMUSG00000019988.7","Nedd1",17,62,57,83,137.954,261.699,5.36240470980638,-0.211856387943513,0.187141115207479,1
"ENSMUSG00000019989.8","Enpp3",4,3,0,7,9,0,3.3152385992898,0.81925963905776,0.187144005007174,1
"ENSMUSG00000019990.15","Pde7b",18,12,1,22,38,17,-0.354876512978308,6.33935745670517,0.187160520676367,1
"ENSMUSG00000019992.8","Mtfr2",0,10,0,1,6,41,-1.68812797617721,2.15911147265144,0.187172364456099,1
"ENSMUSG00000019996.17","Map7",32,78,28,46,135,261,1.10240686375908,4.25299678676635,0.187286589574043,1
"ENSMUSG00000019997.11","Ccn2",0,0,0,0,5,3,3.90830523399183,0.490889919528196,0.187381384110159,1
"ENSMUSG00000019998.6","Stx7",446.999,625,369,517,1026.999,2266,-0.509776257795234,4.76981660003448,0.18741445011311,1
"ENSMUSG00000020000.7","Moxd1",15,0,2,0,14,0,3.25300459270988,0.135645760798795,0.18755686292572,1
"ENSMUSG00000020003.16","Pex7",28,87.001,12,83,116,261,-2.48244998942866,1.67160770492443,0.187648184912244,1
"ENSMUSG00000020009.13","Ifngr1",1151,1263,879,1117,2956.001,5774.999,-4.51719708270519,0.195926756018904,0.187723818511678,1
"ENSMUSG00000020014.17","Cfap54",0,7,0,11,4,0,0.508743102662493,5.08554414353308,0.188063776904617,1
"ENSMUSG00000020015.10","Cdk17",160,221,24,196,364,594,0.440249695224742,5.53705235678056,0.188187200641664,1
"ENSMUSG00000020017.14","Hal",3,1,6,12,21,3,5.1648596463831,-0.153539671001238,0.188215303062754,1
"ENSMUSG00000020018.6","Snrpf",0,23,4,15,30,103,3.81598235639036,0.458594395603554,0.188216213131312,1
"ENSMUSG00000020019.4","Ntn4",0,0,0,0,7,3,0.369216176161653,8.51603993320071,0.188356352382859,1
"ENSMUSG00000020020.8","Usp44",8,1,0,7,6,5,5.0608346822473,-0.200159601894095,0.188470348477559,1
"ENSMUSG00000020021.4","Fgd6",28,15,21,0,66,94,5.0608346822473,-0.200159601894095,0.188470348477559,1
"ENSMUSG00000020022.17","Ndufa12",35,24,17,36.76,57.611,127.989,-0.956861387302954,4.49138217166799,0.188470789135376,1
"ENSMUSG00000020023.18","Tmcc3",673,1052,404,886,1206.999,5056.999,5.18928931442029,-0.186636454710204,0.188847952687628,1
"ENSMUSG00000020024.7","Cep83",51,65.001,47,60,143,108,0.369413626581421,6.70629535120783,0.188855625311776,1
