"","geneid_symbol","PVN_naive1","PVN_naive2","PVN_naive3","PVN_3A1_b1","PVN_3A2","PVN_3A3_b1","logFC","logCPM","PValue","FDR"
"ENSMUSG00000000001.4","Gnai3",183,376,186,354,617,1238,4.81779341826897,5.58432815860662,3.34587698550693e-21,5.47050887130383e-17
"ENSMUSG00000000028.15","Cdc45",0,2,1,101,29,21,5.18728317999825,6.92368704028755,8.77874611822086e-16,7.17662495164555e-12
"ENSMUSG00000000056.7","Narf",213,245,225,296,430,842,3.99389519495516,6.43903056507144,1.67767654967879e-15,9.14333719574942e-12
"ENSMUSG00000000058.6","Cav2",36,22,0,1,15,64,5.63522181226933,4.66549551117038,1.04200719869644e-13,4.25920442467172e-10
"ENSMUSG00000000078.7","Klf6",1963,3143,1803,3880,7122,19700.999,6.45747279728771,5.78172937334026,3.26501875265889e-13,1.048995559751e-09
"ENSMUSG00000000085.16","Scmh1",104,195,92,144.999,307,814.001,5.26458835474055,4.57803765415401,3.84952498991194e-13,1.048995559751e-09
"ENSMUSG00000000088.7","Cox5a",46,40,39,52,113,252,4.60615723082287,10.2592675145336,8.84452325081878e-13,2.06582793072696e-09
"ENSMUSG00000000093.6","Tbx2",10,5,0,0,5,6,4.45646894235264,5.53961738144604,1.05464126653537e-12,2.15542308848165e-09
"ENSMUSG00000000120.6","Ngfr",8,1,0,16,3,0,5.46396095597763,5.36140188158493,4.4681990619009e-12,8.11722829578663e-09
"ENSMUSG00000000126.11","Wnt9a",8,1,8,0,7,0,-9.57809503576003,3.22506263935157,1.54024063956196e-11,2.5182934456838e-08
"ENSMUSG00000000127.15","Fer",44,72,5,44,102.999,357,4.23359004630217,7.4081351401707,3.63688086236145e-11,5.40572746360089e-08
"ENSMUSG00000000131.15","Xpo6",287.999,424,256,307.001,738,1534,5.00641183562829,5.23352466209527,1.09232554595174e-10,1.48829355635924e-07
"ENSMUSG00000000134.17","Tfe3",623.001,1120,434.999,977.001,1333.999,5645,-10.7794043373724,4.40569722991523,1.87211753524429e-10,2.35454782317263e-07
"ENSMUSG00000000148.17","Brat1",145,178.001,103,163.001,363,829,6.80377052256628,3.91249025679242,4.49213797516368e-10,5.24617542099472e-07
"ENSMUSG00000000149.10","Gna12",1415,1829,951,1227,2653,7089,3.72693367989044,4.48861665109075,6.52336419946883e-10,7.11046697742102e-07
"ENSMUSG00000000157.16","Itgb2l",9,11,6,443.001,606.001,528,4.39101900087495,4.97437421871746,8.49034580546966e-10,8.67607211996431e-07
"ENSMUSG00000000159.16","Igsf5",0,3,10,0,11,2,4.3347417744562,4.30306102612986,2.29151344828687e-09,2.20389675761708e-06
"ENSMUSG00000000167.14","Pih1d2",10,5,0,0,5,6,4.12864500875394,8.59179621663032,3.05288727592985e-09,2.77303927563628e-06
"ENSMUSG00000000168.9","Dlat",97,91,69,73,189,428,6.12565235205769,5.03163943701461,7.84271031019482e-09,6.4206951604383e-06
"ENSMUSG00000000171.5","Sdhd",30,114,71,110,178,359,4.59056308781473,7.50120207134346,7.85406135833432e-09,6.4206951604383e-06
"ENSMUSG00000000183.6","Fgf6",0,4,5,5,21,0,2.95422327222206,5.45962914732395,1.45687804533486e-08,1.13428362101071e-05
"ENSMUSG00000000184.12","Ccnd2",36,31,1,11,38,69,3.64098888288577,4.95044575601745,1.74750440338408e-08,1.29871349978771e-05
"ENSMUSG00000000194.13","Gpr107",383,311,155,305,611.999,1558,4.29687197359037,4.42686927542473,1.94893072229035e-08,1.38543553519336e-05
"ENSMUSG00000000197.8","Nalcn",10,3,0,18,14,0,5.57297005351895,3.88335275799471,3.02985003622919e-08,2.06408533718114e-05
"ENSMUSG00000000202.9","Btbd17",24,2,0,5,1,1,4.27993545380368,6.07860901490586,7.81588939253845e-08,5.11159166272015e-05
"ENSMUSG00000000204.16","Slfn4",3,6,5,449,557.971,101,-9.05334129684985,7.54120712889331,1.00290275385008e-07,6.30671539440338e-05
"ENSMUSG00000000216.8","Scnn1g",0,0,0,0,6,1,3.21349859691866,4.37904195604421,1.17643075094428e-07,7.12394176960704e-05
"ENSMUSG00000000223.13","Drp2",0,6,0,14,8,0,2.39401151185978,5.15648263233335,1.96780210606974e-07,0.000114905587265144
"ENSMUSG00000000244.17","Tspan32",15,36,50,47,118,128,1.85882640651108,5.32795523972795,3.62519745096666e-07,0.000204386132149327
"ENSMUSG00000000247.11","Lhx2",6,1,9,0,26,0,3.73917491253939,5.62716013764474,3.99840379490374e-07,0.000217913006822254
"ENSMUSG00000000253.13","Gmpr",139,129,26,86,192,314,3.77152507669137,3.93483543470945,4.29737871094042e-07,0.00022665207072218
"ENSMUSG00000000266.11","Mid2",0,7,0,11,10,0,1.53079994635181,6.12063749948562,5.00953522150036e-07,0.000255955940223534
"ENSMUSG00000000275.16","Trim25",176,205,44,139,320,1090,3.91944599801452,3.9097120129424,5.42305685521902e-07,0.000268687816917669
"ENSMUSG00000000276.11","Dgke",47,35,35,34,88,129,3.12052595979572,7.06807807654935,1.04600760034112e-06,0.000503006596046393
"ENSMUSG00000000278.10","Scpep1",207,283,165,124,484,1146,3.19086982249815,4.23273598710124,1.47355127242341e-06,0.000688358951546363
"ENSMUSG00000000282.12","Mnt",229,376,97,372,700,2293,1.83207806380013,6.21399403388182,3.10922699084516e-06,0.00141210725834217
"ENSMUSG00000000290.13","Itgb2",1500,1747,1040,2173,4049,7963,2.06157244776971,6.86454226942495,3.77764068512409e-06,0.00164653702318259
"ENSMUSG00000000295.13","Hddc2",15,8,0,0,19,23,1.72902570258844,5.81356209588235,3.82681387650999e-06,0.00164653702318259
"ENSMUSG00000000303.12","Cdh1",0,1,1,0,18,6,1.95592504588596,5.74523259888608,4.19709185624136e-06,0.00175955004742426
"ENSMUSG00000000305.12","Cdh4",4,9,1,0,17,0,2.80240570749816,4.60060492123691,4.54174104044254e-06,0.00185643665028089
"ENSMUSG00000000317.11","Bcl6b",2,3,0,7,2,0,2.22433471238625,9.47270251938791,4.84774105912538e-06,0.00193318454430975
"ENSMUSG00000000318.16","Clec10a",0,1,3.607,0,4,11,1.83571773946465,5.27279497675622,5.43288101131669e-06,0.00211494296511971
"ENSMUSG00000000320.10","Alox12",0,4,0,0,6,10,3.75961968152337,10.6375829363041,5.67707090223937e-06,0.00215860719189799
"ENSMUSG00000000325.16","Arvcf",267,283.001,168,329.999,631,1354,2.3545723269367,5.18915809031779,9.48745179967052e-06,0.00352545083919575
"ENSMUSG00000000326.13","Comt",311,418,445,471,865.001,2155,1.39425272489869,5.76556778531044,1.41362442005914e-05,0.00513616872621486
"ENSMUSG00000000339.14","Rtca",22,50,18,41,77,169,2.89556473630058,4.29312177184232,1.44976977720213e-05,0.00515298605592495
"ENSMUSG00000000340.10","Dbt",85,92,41,79,107,268,4.27783936422211,3.15118041691979,1.82023630112828e-05,0.00633209862201009
"ENSMUSG00000000346.9","Dazap2",530,725,384,717,1147.994,2974.9,2.12919343788508,5.89453355830468,1.95460174802589e-05,0.00665786220421317
"ENSMUSG00000000355.13","Mcts1",8,36,20,49,54,189,2.75241653366869,4.36442350000932,2.00691553723833e-05,0.00669654470078503
"ENSMUSG00000000365.9","Rnf17",0,11,9,36,7,48,3.23904350811537,4.68002889091055,2.3000366477932e-05,0.00738086018554904
"ENSMUSG00000000374.8","Trappc10",349.999,341,116,213,570,1230,6.99361597389503,3.27467785012676,2.30228666338227e-05,0.00738086018554904
"ENSMUSG00000000378.15","Ccm2",134,109,45,138,291.999,661,3.00233619753076,4.35232090717731,2.43772215007499e-05,0.00766476099110117
"ENSMUSG00000000381.10","Wap",0,4,15,0,0,0,2.93856956085889,5.34138243750737,2.51348058908261e-05,0.00775323903971399
"ENSMUSG00000000384.15","Tbrg4",51.999,98.999,139.999,174,246,690.998,1.71213188153453,5.04091892305664,2.56070280210737e-05,0.00775323903971399
"ENSMUSG00000000385.8","Tmprss2",7,91,46,21,32,138,2.75759601759883,4.24424041392463,3.20775072005015e-05,0.00953576804960361
"ENSMUSG00000000392.17","Fap",3,7,0,0,3,2,1.8561580520643,4.87894340737326,3.42924543932237e-05,0.0100121719523073
"ENSMUSG00000000399.10","Ndufa9",107,149,84,102,237,522,2.88115984627346,5.15827171196409,3.73442966521959e-05,0.0107119166712878
"ENSMUSG00000000409.14","Lck",5,7,0,0,1,0,1.90714838715984,5.19157552262808,4.01179195711509e-05,0.0113091031894537
"ENSMUSG00000000411.7","Tssk3",11,5,0,7,16,28,-7.75237989311284,3.21539801759799,4.70988955229733e-05,0.0130519820644172
"ENSMUSG00000000416.16","Cttnbp2",1,3,2,0,20,1,-7.35019970190274,6.3889333341577,4.93099124135063e-05,0.0134369511326805
"ENSMUSG00000000420.15","Galnt1",415,563.999,342,378.001,960,2188,2.87826831686246,6.48329181038428,5.25411444615639e-05,0.0140827493761733
"ENSMUSG00000000439.9","Mkrn2",135,227,104,205,387,823,3.26628848389196,4.14704275297768,5.84365175453426e-05,0.0152469489871621
"ENSMUSG00000000440.12","Pparg",3,2,1,0,4,3,4.10852756121946,3.10663992801669,5.90291076622456e-05,0.0152469489871621
"ENSMUSG00000000441.17","Raf1",311,401.999,192.001,444,756.999,1662.999,2.73735326173049,7.32036683823031,5.96822467999007e-05,0.0152469489871621
"ENSMUSG00000000486.13","Septin1",6,1,0,81,89,91,3.31257735331973,4.29458964209744,6.18089019025323e-05,0.0155473160939447
"ENSMUSG00000000489.7","Pdgfb",1114,1655,612,1143,2283,8320,2.94421284720907,7.479700211031,6.40571230291494e-05,0.0158686963867665
"ENSMUSG00000000530.16","Acvrl1",69,108,94,173,192,634,5.4471835577036,2.61083891251047,6.54216532904993e-05,0.0159648362880547
"ENSMUSG00000000531.5","Grasp",23,89,27,65,53,335,2.75896114685252,4.23321506265734,6.84648360191498e-05,0.0164617657193103
"ENSMUSG00000000532.11","Acvr1b",143,115,69,152,348,626,2.61478963737177,5.15887652401695,6.95925189845763e-05,0.0164904012376496
"ENSMUSG00000000538.18","Tom1l2",135,136,125,88,339,616,2.8819161824018,4.1228411158812,9.07016211223802e-05,0.0211853072192988
"ENSMUSG00000000544.14","Gpa33",0,1,8,7,4,0,3.16194658862852,3.79580288652614,0.000115355046091531,0.0265641549802328
"ENSMUSG00000000552.10","Zfp385a",449,537,298,563,829,2424,1.21221723953957,8.74459636613917,0.000124568190223106,0.0282873598631636
"ENSMUSG00000000555.8","Itga5",89,223,68,104,214,831,1.508786633109,7.2647581865682,0.00012828816919284,0.0287330351548347
"ENSMUSG00000000560.9","Gabra2",12,8,0,0,5,0,1.47124945481767,5.4140886884898,0.000133468164595719,0.0294892498802703
"ENSMUSG00000000561.14","Wdr77",90,121.576,53.655,113.148,171.631,566,1.50345871934339,5.77116281042023,0.000140418185687828,0.0306111644799464
"ENSMUSG00000000562.5","Adora3",237,298,176,275,469.993,992,-2.94551754933033,3.37026493865047,0.000146046083369552,0.0314191245143706
"ENSMUSG00000000563.17","Atp5pb",67,194,98.999,170.847,320,511.935,3.10221644642177,9.88613230048686,0.000155492425234893,0.0330168980855909
"ENSMUSG00000000567.5","Sox9",0,9,0,7,7,1,3.22775315445224,5.18798773321749,0.00016549785629852,0.0343731667435331
"ENSMUSG00000000568.15","Hnrnpd",268.001,534.001,274,508.001,836,1973.999,2.05295734033132,4.28053999820009,0.000168074106753661,0.0343731667435331
"ENSMUSG00000000579.14","Dynlt1c",51.516,21.874,23.479,0,50.198,110.364,3.18260300801785,10.2686075744737,0.000168186748592211,0.0343731667435331
"ENSMUSG00000000581.8","C1d",7,36,11,43,88,138,2.94891300000679,6.09919762062912,0.000172847188965268,0.0348895251800264
"ENSMUSG00000000594.7","Gm2a",378,632,323,421,947,2095,4.06018327886105,3.23794390268455,0.000184754456075976,0.0364042607120539
"ENSMUSG00000000600.15","Krit1",153,204.001,102,158,383,646,3.18330381225384,8.83564121871122,0.000184804503920518,0.0364042607120539
"ENSMUSG00000000605.9","Clcn4",519,687,410,631,943.999,2954,3.0592037372896,3.7542258625517,0.000203927644545817,0.0396930593848107
"ENSMUSG00000000606.18","Vmn2r88",0,4,0,4,17,0,2.13569692417073,6.049535220164,0.000213323957381738,0.0410334906257813
"ENSMUSG00000000617.14","Grm6",0,1,13,0,12,0,3.17021511918709,3.33513766155465,0.000234321700715348,0.0443298420954088
"ENSMUSG00000000627.15","Sema4f",0,4,0,22,49,0,2.98006700602247,8.74852418184552,0.00023588356344346,0.0443298420954088
"ENSMUSG00000000628.10","Hk2",1309,1730,803,1196,2500,6526,1.9987319911031,4.77626670576824,0.000265479638984047,0.0493249101976042
"ENSMUSG00000000631.20","Myo18a",675,992.002,451.999,675,1441.999,4003.001,2.38164173106709,5.08464944526196,0.000270869533342564,0.049760863709561
"ENSMUSG00000000632.13","Sez6",18,2,0,0,11,0,2.00810758540917,4.49982076574781,0.000277052917361846,0.0498702383987108
"ENSMUSG00000000673.9","Haao",36,18,9,4,71,129,3.09745802951236,3.73491318507122,0.000277565241240531,0.0498702383987108
"ENSMUSG00000000682.7","Cd52",54,94,78,249,243,674,1.09454973362495,6.34779801329409,0.000299654107774268,0.0527780422321254
"ENSMUSG00000000686.11","Abhd15",313,272,153,137,728,1576,3.72282118396972,3.29915389968167,0.000300205377834107,0.0527780422321254
"ENSMUSG00000000690.5","Hoxb6",0,0,0,0,1,1,1.2465217631479,7.05811221709177,0.000307112579989803,0.053417985987588
"ENSMUSG00000000693.10","Loxl3",81,95,50,100,190,408,1.30905666677096,5.36846703408016,0.000311201761810658,0.0535594611116238
"ENSMUSG00000000706.16","Btn1a1",2,4,8,0,14,0,1.58320687431344,5.46882622234876,0.000318757923686956,0.0542884588779346
"ENSMUSG00000000708.14","Kat2b",158,234,92,152,338.954,760,1.0594480910373,6.03490018958941,0.00034439831424194,0.0580506436892342
"ENSMUSG00000000711.3","Rab5b",265,363.947,174,207,639.758,1218,4.99518789996074,2.76971966632127,0.000363756948333733,0.0606880214822095
"ENSMUSG00000000731.15","Aire",7,3,0,0,10,0,4.12478169141978,2.81425164757334,0.000390208318838899,0.0644434950809697
"ENSMUSG00000000732.9","Icosl",340,415.001,182,298,1008,2553,1.63321910754602,4.72108822606757,0.00042006155667706,0.0686800645166992
"ENSMUSG00000000738.18","Spg7",153,115.999,68,101,220,685.999,3.47873263960727,3.33466317237477,0.000464086179608451,0.0751268221445363
"ENSMUSG00000000739.14","Sult5a1",4,11,0,18,40,0,1.95422813789776,4.67377093819089,0.000492047871009888,0.0780246348530142
"ENSMUSG00000000740.12","Rpl13",595.886,1096.608,656.497,967.334,1569.777,4100.312,1.1636688163243,5.77499577366909,0.000500702687626366,0.0780246348530142
"ENSMUSG00000000743.9","Chmp1a",248,241,125,334,392.001,899,2.07897584466155,5.82862736525824,0.000503201023516088,0.0780246348530142
"ENSMUSG00000000751.13","Rpa1",69,167,83,92,234,341,1.46067599074777,6.70463052982018,0.000503478511336765,0.0780246348530142
"ENSMUSG00000000753.15","Serpinf1",93.001,146,114,129,260,750,-2.73820719504516,10.4788468579717,0.000510529276486467,0.0780246348530142
"ENSMUSG00000000759.14","Tubgcp3",133.999,201,82.001,220.001,370,815,3.63191693718774,3.31987324185376,0.000510619934512081,0.0780246348530142
"ENSMUSG00000000776.13","Polr3d",52,72.001,19,40,71,303,3.81034274529801,3.07425055998708,0.000530026375208151,0.0796516923113834
"ENSMUSG00000000782.16","Tcf7",0,2,0,3,3,1,1.32851517849288,7.79181638679802,0.000531011282075889,0.0796516923113834
"ENSMUSG00000000787.12","Ddx3x",2476,5504,2330,4062,4976,19966.106,4.20307048132491,3.84287927520137,0.00053861388697346,0.0800576095637824
"ENSMUSG00000000792.2","Slc5a5",11,8,1,0,9,57,2.65626156787702,5.00486376715761,0.000568854062397678,0.0837906659477661
"ENSMUSG00000000794.9","Kcnn3",0,6,0,13,37,0,3.35340406683715,3.84186384032655,0.000586332423139847,0.085594063556576
"ENSMUSG00000000804.14","Usp32",145,269,138,203,304,846,3.14934171191319,4.62612764488273,0.000612372793349643,0.0886043820466076
"ENSMUSG00000000805.18","Car4",4,1,0,0,0,1,-1.16402109474086,6.44030163734224,0.000766435791863042,0.109923028043515
"ENSMUSG00000000811.13","Txnrd3",26,27,27,0,43,70,2.32339869986458,4.0859813413442,0.000821026115789511,0.116728495592683
"ENSMUSG00000000823.16","Zfp512b",153,121.999,37,106,285,538.001,3.12259220536786,3.73905063229613,0.000829574599567074,0.116927109507945
"ENSMUSG00000000826.16","Dnajc5",419,663,271.999,603,1121,2588,1.86521163419429,4.8911512162103,0.000852793398407143,0.11828730714802
"ENSMUSG00000000827.18","Tpd52l2",99.999,143,41,132.999,292.001,578,2.80426465149446,5.10056523962405,0.000853694326817512,0.11828730714802
"ENSMUSG00000000838.17","Fmr1",183.001,299.278,65,223,334.001,1135,-4.14609929537405,3.22795397983952,0.000884119011855109,0.121473494485975
"ENSMUSG00000000861.15","Bcl11a",27,19,17,6,34,23,4.21919441030288,3.03212455289068,0.00103335870488781,0.140795123540964
"ENSMUSG00000000876.11","Pxmp4",18,46,26,35,90,110,1.70180874343332,7.62965329909746,0.00105246622520348,0.141420456621062
"ENSMUSG00000000881.12","Dlg3",99.999,117,25,131,196,612,4.657758642996,2.35604999157088,0.00105524744390028,0.141420456621062
"ENSMUSG00000000884.17","Gnb1l",20,26,0,23,23.333,51,3.14179287220799,3.46680572047504,0.00109058370781457,0.14412682618157
"ENSMUSG00000000889.8","Dbh",0,0,0,8,2,0,2.25057388953201,5.85366528828763,0.00109307195391527,0.14412682618157
"ENSMUSG00000000901.17","Mmp11",5,11,0,24,15,29,3.05234558801692,3.03014593638706,0.00115812733367668,0.15148305524491
"ENSMUSG00000000902.13","Smarcb1",124,174,90,160,238.999,513,0.934648541570686,6.14777740225354,0.00120486860499658,0.156346045172175
"ENSMUSG00000000915.15","Hip1r",89,188,95.553,339,417.375,945.841,0.875399220427526,6.90406258842507,0.00124160498904426,0.158600994223216
"ENSMUSG00000000916.15","Nsun5",50,59.999,36,78,171,296,2.50902882246769,3.49983373806346,0.00124164692725209,0.158600994223216
"ENSMUSG00000000934.9","Top1mt",11,15,12,8,58,155.001,0.872553479486171,6.46211066441297,0.00125855782034026,0.159514886531498
"ENSMUSG00000000938.11","Hoxa10",0,1,0,0,2,1,2.34726716831967,4.27032291848457,0.00134567896654358,0.16924500848452
"ENSMUSG00000000948.16","Gm38393",0,3,0,10,7,0,1.3745660872184,4.59006082635502,0.00137836415548178,0.172032472840665
"ENSMUSG00000000957.11","Mmp14",121,168,56,164,299,677,1.04877066152537,7.22805174552172,0.0014377299259671,0.177700390750378
"ENSMUSG00000000958.10","Slc7a7",331.999,355,235.001,256,685.999,1479.001,8.23245331518261,2.07634166556492,0.00144551388194497,0.177700390750378
"ENSMUSG00000000959.7","Oxa1l",183,164,77,177,321.999,799,2.35025015767776,4.07680734122054,0.00149295345512791,0.180899131489701
"ENSMUSG00000000976.13","Heatr6",76,124,76,195,265,855,-3.8386131370757,2.4613626068165,0.00149683234503421,0.180899131489701
"ENSMUSG00000000982.5","Ccl3",913,1100,1108,1967,3258,10548,2.67966564432483,4.16646137511876,0.00150472672064827,0.180899131489701
"ENSMUSG00000001014.6","Icam4",7,28,27,27,4,120,4.09523308727277,2.93980877841582,0.00151828951758051,0.181197325638258
"ENSMUSG00000001016.12","Ilf2",113,99,61,155,173,275,1.6790161224026,4.7941914226896,0.00169273319954862,0.199747343991597
"ENSMUSG00000001017.15","Chtop",424,453.001,214,537,859,2453.998,2.3003050908939,3.66320512188532,0.00169815784800196,0.199747343991597
"ENSMUSG00000001018.15","Snapin",81.001,115,65,116,218,435,0.931559754006751,9.43396511927694,0.00172260259098562,0.200493900792582
"ENSMUSG00000001020.8","S100a4",0,3,0,7,2,4,1.09176024905769,5.3242839174578,0.00172902997013786,0.200493900792582
"ENSMUSG00000001021.13","S100a3",0,10,6,0,23,0,2.43332562254462,3.27498477511133,0.00181912192740803,0.208615657220537
"ENSMUSG00000001025.8","S100a6",0,0,5,88,89,28,5.04979123703574,2.22453720284629,0.00182458954021632,0.208615657220537
"ENSMUSG00000001027.7","Scn4a",0,4,0,7,20,1,2.58328093336153,3.43456576565155,0.00191568631618398,0.21675375220166
"ENSMUSG00000001034.17","Mapk7",154,117.999,71,145,444.999,964,2.07967710730925,4.20514781442225,0.00192228098282818,0.21675375220166
"ENSMUSG00000001036.17","Epn2",98,111,35,109,216,407,4.963669055378,2.94451537230549,0.00193991726632561,0.21724415961934
"ENSMUSG00000001052.15","Sec24b",301.999,440,168,286,628,1703,-1.11740916747731,5.23173751316071,0.00195625935532276,0.217583948704266
"ENSMUSG00000001053.15","N4bp3",17,26,0,0,12,108,-1.00559480193933,9.84107306749588,0.00205376532469663,0.226885561208039
"ENSMUSG00000001054.9","Rmnd5b",122,75,38,163,163,345,3.5128545346106,2.8816815298266,0.00210276251840292,0.230739377019381
"ENSMUSG00000001056.3","Nhp2",8,23,22,87,75,170,1.1732025540784,5.25782136671972,0.00215261389302549,0.232948884991012
"ENSMUSG00000001062.18","Vps9d1",266,266.001,140,312.999,553.999,1873,1.16367196840865,6.1959350983704,0.00216085562655982,0.232948884991012
"ENSMUSG00000001065.15","Zfp276",226,207.001,122,176,460.999,1064,1.28107578603655,4.58674769354064,0.002165641010314,0.232948884991012
"ENSMUSG00000001082.12","Mfsd10",131,106,62,97,290.999,563,2.18299610936863,4.12834921330331,0.00227945201242335,0.243588499366809
"ENSMUSG00000001089.14","Luzp1",71,121,39,48,227,358,2.66319013422382,3.59047684909191,0.00231298100859306,0.24556649019803
"ENSMUSG00000001095.5","Slc13a2",0,0,0,1,3,0,0.941825500183584,5.82523466377769,0.00239237660215629,0.252357144808099
"ENSMUSG00000001098.15","Kctd10",73,146,73,210,294,580,1.12180639870084,7.97663027359264,0.00250714100884294,0.262767663426808
"ENSMUSG00000001100.10","Poldip2",75,108.999,60,114,229,688,3.26737250164883,3.38356150066279,0.00253606833541719,0.263863224055346
"ENSMUSG00000001103.7","Sebox",2,1,0,0,4,0,1.10824604156911,7.49858767187574,0.00256524167506092,0.263863224055346
"ENSMUSG00000001105.15","Ift20",8,54,36,55,94,247,4.05153166584632,2.58182484306295,0.00256600933485016,0.263863224055346
"ENSMUSG00000001119.7","Col6a1",0,0,0,0,3,1,1.14095805630843,5.35717852494285,0.00270423613788022,0.276339130339635
"ENSMUSG00000001120.15","Pcbp3",0,8,13,0,12,0,1.06306976234665,6.90421532535595,0.00277029003054013,0.281330695648019
"ENSMUSG00000001123.15","Lgals9",317,563,283,570,678,1720,1.29387164576208,5.34373197328614,0.00281048149718436,0.283650447401014
"ENSMUSG00000001127.12","Araf",237,205,107.999,241.001,370.999,817,1.58384811359805,4.56891871862827,0.00300794214734608,0.301716896374898
"ENSMUSG00000001128.7","Cfp",23,9,8,34,73,66,2.23074823381871,4.37454888657276,0.00308344879585176,0.305975515909
"ENSMUSG00000001134.9","Uxt",5,10,0,0,14,23,2.25160973836719,3.38244258327599,0.00308782630733853,0.305975515909
"ENSMUSG00000001138.13","Cnnm3",193,173,31,120,360,694,0.880656232259161,8.00412210984716,0.00314538534828905,0.309801508701964
"ENSMUSG00000001143.13","Lman2l",140,234.001,168.999,227,398,1110.999,1.83232226904334,3.83505414903908,0.00327864286864236,0.320992879654506
"ENSMUSG00000001150.7","Mcm3ap",230,211,90,180,439,1141.001,1.13938894708269,5.5128502930375,0.00331651106053451,0.322767594284162
"ENSMUSG00000001151.10","Pcnt",103.001,294,132,140,468.999,1263,1.12026736993891,4.85474638464912,0.0033530115728562,0.324273584166468
"ENSMUSG00000001156.9","Mxd1",122,172,195,618,767,874,1.1972702904798,4.89868692314067,0.00337165194546175,0.324273584166468
"ENSMUSG00000001157.13","Gmcl1",72,74,105,42,127,233,1.31299442646371,4.78022434590576,0.00344001741624667,0.328913945939374
"ENSMUSG00000001158.13","Snrnp27",8,25,43,15,47,70,1.19079004416377,5.35548861802059,0.0035331367378394,0.335853405021362
"ENSMUSG00000001166.17","Oas1c",1,3,7,0,14,33,1.84421963722666,4.09860986647678,0.00356462903985509,0.336888351454513
"ENSMUSG00000001173.15","Ocrl",38,70,116,97,79,210,1.55194151391309,4.20023525583229,0.00361611004344632,0.339619378848034
"ENSMUSG00000001175.16","Calm1",665,1966,1258,1762,1447,6039.999,1.36506485143165,4.96283890200369,0.0036501408639809,0.339619378848034
"ENSMUSG00000001211.15","Agpat3",275,376,218.001,267,658,1542.001,-0.885080407102822,10.3757556351734,0.00365584163163633,0.339619378848034
"ENSMUSG00000001225.12","Slc26a3",0,4,0,8,17,0,2.67609962058088,4.92248175047663,0.003809495894278,0.351894112268052
"ENSMUSG00000001227.12","Sema6b",74,203,73,93,66,250,1.11621308890095,5.24734166100632,0.00410845391287864,0.377377648739134
"ENSMUSG00000001228.14","Uhrf1",4,10,12,46,62,160,0.876768501449115,5.91384813713376,0.00425446699610665,0.388606342940467
"ENSMUSG00000001229.9","Dpp9",192,181,104,140,411.001,765.999,2.41697419571398,3.80691808099339,0.00428847017691485,0.389536041069766
"ENSMUSG00000001240.13","Ramp2",5,1,0,0,18,16,2.70570095354447,3.49120187832011,0.00441971074004997,0.397724831524937
"ENSMUSG00000001247.16","Lsr",7,4,0,0,14,23,7.79981371090662,1.62480637592627,0.00442727335397789,0.397724831524937
"ENSMUSG00000001248.15","Gramd1a",993,1198.001,560,1291,1909.999,4628.001,1.91081685493723,3.81105548444267,0.0044746133554355,0.399781029297106
"ENSMUSG00000001249.14","Hpn",39,59,38,51,61.001,383,3.2469037478301,3.52792231197293,0.00458108470680753,0.407069211719039
"ENSMUSG00000001260.10","Gabrg1",0,5,2,1,6,0,-0.958385657106893,7.97880520919575,0.00476091133056492,0.420761622998575
"ENSMUSG00000001270.9","Ckb",1397,2214.97,1099,2386.998,2968.915,9667.946,2.4127254606703,3.75192808998751,0.00481267765656932,0.423049890779077
"ENSMUSG00000001280.13","Sp1",345,583,210,495,856,2441,1.44413038401623,6.1262983358747,0.00486382293062554,0.424793615088513
"ENSMUSG00000001281.10","Itgb7",9,6,4,0,18,42,4.7733422355047,2.13195387510285,0.00488447704199636,0.424793615088513
"ENSMUSG00000001285.12","Myg1",57,47.999,42,59,120,234.407,2.2423879955683,4.89192678097298,0.00504076785188104,0.436066425281773
"ENSMUSG00000001288.15","Rarg",19,32,21,47,51,266,1.54063062937254,5.33924477317466,0.00517277793222953,0.445131153641857
"ENSMUSG00000001289.12","Pfdn5",118.999,163,137.001,140,192.001,478.592,1.01044892540833,5.87633116785864,0.00533071443849953,0.456320319735431
"ENSMUSG00000001300.16","Efnb2",67,194,65.999,84,98,806,1.05474058734393,6.04991731337359,0.00543989516185666,0.461419978825203
"ENSMUSG00000001305.5","Rrp15",32,27,22,24,61,19,1.14381757853143,4.69756753182262,0.00544673124851768,0.461419978825203
"ENSMUSG00000001313.12","Rnd2",7,13,28,16,14,0,7.60561333883057,1.51186884431031,0.00549389651495569,0.461519198558778
"ENSMUSG00000001323.17","Srr",51,40,30,5,63.999,169,2.86252543798428,2.90660110072118,0.00550435741400377,0.461519198558778
"ENSMUSG00000001333.9","Sync",5,16,15,26,21,12,7.65032332263832,1.51250080462126,0.00555474484864974,0.46336774630318
"ENSMUSG00000001334.9","Fndc5",1,4,0,0,5,0,0.846826206806662,10.9195299052025,0.00569778691339449,0.472887391035533
"ENSMUSG00000001348.15","Acp5",0,3,0,1,1,1,0.808519219373228,6.15469882718125,0.00605664719101327,0.500132230167005
"ENSMUSG00000001349.5","Cnn1",0,0,0,15,16,0,3.18786993825439,3.49838563083392,0.00610579647650217,0.501657147692515
"ENSMUSG00000001366.14","Fbxo9",70,52,41,59,118.999,358,-5.25522219140472,2.76812928256993,0.00649599324791415,0.531047448016982
