avg,symbol
2.55490683189092e-17,Rab24
2.55470765737042e-17,Acot2
2.53688153778526e-17,Ppp1r16b
2.53555659423582e-17,Lrp2
2.53508409598473e-17,Npl
2.52640972087569e-17,Psmd6
2.52265787909271e-17,Gadd45gip1
2.52248035397661e-17,Pcgf6
2.5053773244985e-17,Rpl23
2.49639715155228e-17,Gcnt1
2.49180747781891e-17,Golga4
2.4826129757691e-17,Rangap1
2.48121009436381e-17,Gstz1
2.47810989965334e-17,D130020L05Rik
2.47142645789669e-17,Zfyve19
2.4695908590209e-17,Gpatch4
2.46807161206694e-17,Apool
2.46399015810193e-17,Atp6v1f
2.46392088000784e-17,Ptprf
2.4592684230017e-17,Cyp2d22
2.4495797732964e-17,Nphp1
2.44808867056817e-17,D5Ertd579e
2.44602115244771e-17,Ugt3a1
2.44060230652573e-17,Psmb6
2.4361814981467e-17,Lpin1
2.4359877359773e-17,Gart
2.43163620569236e-17,BC021785
2.41729016021055e-17,Gdpd3
2.38133029653455e-17,Carm1
2.37483033348021e-17,Agpat9
2.37100758989781e-17,Cyp2a4
2.35934667945142e-17,Pqbp1
2.35923734995919e-17,Klf3
2.35347860838808e-17,Uap1l1
2.35086227786602e-17,Man2c1
2.35008668795329e-17,Ankrd44
2.34593595589419e-17,Gm10269
2.34327307915266e-17,Cyp4a14
2.33227897036188e-17,Sec24c
2.32326686454416e-17,Atf5
2.32208480706377e-17,Serinc1
2.31787183296701e-17,Galnt11
2.31619400412581e-17,Dennd1a
2.31366129442825e-17,Dixdc1
2.30154601710696e-17,Csad
2.30135550234822e-17,Repin1
2.29256800910118e-17,Nox4
2.28455448206153e-17,Sec23ip
2.27946795449712e-17,Trmt1l
2.27755198220749e-17,Birc6
2.26540233645671e-17,Mat2a
2.25989905785756e-17,Kptn
2.25844854776258e-17,Ikzf2
2.25023564323926e-17,C4b
2.2451428238167e-17,Zfp113
2.24002057473503e-17,Rpl26
2.23908532046483e-17,Eif3b
2.23888073359323e-17,Uspl1
2.2380244996491e-17,Kansl3
2.23726406431946e-17,Ppfibp1
2.23490265553424e-17,Pdcd4
2.23245194295586e-17,Slc5a2
2.22005116411401e-17,Slc8b1
2.21046589031473e-17,Supt7l
2.20571113987279e-17,Gm6133
2.19622843012687e-17,Itpkc
2.19435981590936e-17,Atp5b
2.19015766651481e-17,Pclo
2.1859582232958e-17,Ing1
2.18509711823568e-17,Zfp579
2.18354918582089e-17,Pan2
2.18007337394405e-17,Ovol1
2.17818013352903e-17,Tmem2
2.1579195384188e-17,Rps23
2.15134326121393e-17,Ttc27
2.15070379193139e-17,Nudt19
2.13877497010552e-17,Mib2
2.13541498254223e-17,Mgst3
2.13103747297201e-17,Siva1
2.12775325832412e-17,Nhs
2.12413780778888e-17,Pmpcb
2.12134719956137e-17,Atxn2l
2.10787558705426e-17,Lysmd3
2.10746566911277e-17,Psme2b
2.10277634046477e-17,Fn3krp
2.08814567296945e-17,Xlr3a
2.08471532484184e-17,Lap3
2.07945181339645e-17,Dnajb11
2.07311124408201e-17,mt-Cytb
2.0646907251532e-17,Il34
2.06329107424497e-17,Flii
2.05894495631113e-17,Chd2
2.05839073155842e-17,Prdx5
2.0407870596035e-17,Prkab2
2.03173598485786e-17,Habp2
2.02843066204068e-17,Rnaset2a
2.02511397328619e-17,Zfp651
2.02046097504495e-17,Abhd13
2.01934535417433e-17,Rarb
2.01875987309401e-17,2310035C23Rik
2.01388605092786e-17,Dhrs1
2.01194842923382e-17,Mdm4
2.00960163379657e-17,Golgb1
2.00565927725485e-17,Mphosph8
2.00388619103427e-17,Slc13a3
2.00143547845589e-17,Ndufa12
1.99817074827197e-17,Il10rb
1.99744874063514e-17,Magi2
1.99025491416969e-17,Irf7
1.99016872247841e-17,Zfp763
1.98918191556398e-17,Slc22a29
1.98798395930224e-17,Gm14399
1.98518760045169e-17,Mdfic
1.97382355746317e-17,Gm17115
1.97377619939104e-17,Impact
1.9721395044182e-17,Wsb1
1.9654563332791e-17,Fuca2
1.96430891484576e-17,Wdr83
1.96091645317586e-17,Ccdc141
1.95718626079728e-17,Psmd13
1.95588665381643e-17,Arrb1
1.95541100963626e-17,AK157302
1.94852054545e-17,Acaca
1.94764320333659e-17,Mdh2
1.94679292297867e-17,Myrf
1.94138544299399e-17,Gmcl1
1.93777919345562e-17,Mia
1.93687100094093e-17,Cdkn1a
1.92611287065813e-17,Gm11128
1.9230462325245e-17,Gm44386
1.9201755215007e-17,Tanc2
1.90716206451426e-17,Tchh
1.90647090727871e-17,Il17rb
1.90472921269451e-17,8430408G22Rik
1.90329439841772e-17,Cyp2d26
1.90243708200338e-17,Gyltl1b
1.8970212128745e-17,Kctd1
1.89474288367867e-17,Zdhhc5
1.89289402454268e-17,Gm42726
1.89110903114968e-17,Zfp942
1.89043465220254e-17,Zfp874b
1.88677590285849e-17,Rps14
1.88443343730212e-17,Frrs1
1.87620016880779e-17,Clock
1.87483192644954e-17,Adh1
1.87105410538127e-17,Igfbp7
1.87092853883574e-17,Mthfd1
1.86976380087888e-17,Srsf2
1.86732174806225e-17,mt-Co2
1.86447701632374e-17,Zdhhc8
1.85997502267821e-17,Parp16
1.85814348306574e-17,Zcchc11
1.85205134066683e-17,Aldoc
1.85022629587569e-17,Ddx27
1.84278864299315e-17,Sephs2
1.84149617355031e-17,Mbd4
1.83655144958475e-17,Qtrtd1
1.83360063576466e-17,Proser1
1.83350754332573e-17,Slc22a12
1.82509566724508e-17,Hebp1
1.82229978197525e-17,Extl1
1.82073179003419e-17,Ang
1.82033848124514e-17,Zfp518a
1.81820682676415e-17,Myef2
1.81728293843126e-17,Pde6a
