symbol,sct.detection_rate,sct.gmean,sct.variance,sct.residual_mean,sct.residual_variance
mt-Atp6,0.999620233935895,74.5547768836268,9458.00456562178,0.427227279666691,1.46762965106251
mt-Co3,0.999696187148716,67.1736466319858,7517.09164699857,0.361218537004741,1.39518404920337
Malat1,0.960808142184414,57.7321570829194,48697.6747001437,2.9203290048867,21.9597031380865
mt-Co1,0.999544280723075,52.2913913081001,8552.87511043502,0.291364035669398,1.57423834123867
Gpx3,0.999924046787179,38.3188488887612,3940.32804345504,0.0413638264436663,1.2773915858319
mt-Cytb,0.997645450402552,35.0156544665281,2219.42715313223,0.0995920282165529,1.12863427066493
mt-Co2,0.99749354397691,33.7327356868337,2867.04003917604,0.0655461002756738,1.13548370715415
mt-Nd1,0.997645450402552,33.659869600809,1744.45569265146,0.0406515592464429,0.972408442642307
Fth1,0.998025216466657,28.3743883677233,1140.84086939399,-0.164053455774789,0.513823119120558
mt-Nd4,0.993543976910223,22.3515977543208,1081.04069360254,-0.073582975987167,0.950986565660252
Ftl1,0.993695883335865,18.5647859877344,836.825468124775,-0.0596839329749537,1.10974936620895
Fxyd2,0.994911134741,15.2635912650814,289.644993015937,-0.0689746715964827,0.663165305158
mt-Nd2,0.980935743581954,11.4117495629119,334.25062553082,0.522599973837687,2.26302075294023
Rpl41,0.971061825915236,8.73229996814009,145.215519015447,0.657374949990578,1.98020200259282
Rps29,0.970226340574206,8.38430079654625,150.596551222202,0.720912256205225,2.40361533378727
Rpl37a,0.95959289077928,6.55551752852235,84.0770355850454,0.568347025257263,1.76621822882728
Cox6c,0.9680236974024,6.26915215884376,45.9719661220388,0.434163609303162,1.18288970724085
Cox8a,0.966656539571624,5.82699490925953,36.1398058586272,0.369646302281519,0.990157274363442
Gpx1,0.955111651222847,5.78235680482102,56.6461438181767,0.468779319523573,1.5581580315883
Aldob,0.959668843992101,5.60548925835499,53.9093203274952,0.428539330908295,1.60620037822529
Tpt1,0.946528938174085,5.54656879773244,51.7019036304016,0.44528448028249,1.46971938531768
Spink1,0.953896399817712,5.0479924936933,45.6677736893103,0.419444252015689,1.85134004411845
Eef1a1,0.929211605650919,4.72465009356102,52.427981342451,0.375267724781594,1.59271468064736
Slc34a1,0.910223302445693,4.6699759124248,43.649533379577,0.481369785446178,2.09816818906187
Rpl38,0.926249430350904,4.66448186138601,48.6385948880656,0.423612268975377,1.75860786144573
Rpl37,0.925641804648337,4.59396902241819,45.4695924759645,0.381311701704838,1.54255109611843
Uqcr10,0.933540938781711,4.21924807443935,24.7988025931298,0.245157329979314,1.02825119867592
Rpl32,0.913945009873918,4.21918287278291,38.3572777341566,0.343350484419002,1.50185616262439
Cox7c,0.933540938781711,4.20663253908571,26.7133477343471,0.244301770681614,1.03519075090427
Atp5e,0.927160868904755,4.19979172686004,29.8413529675901,0.294132879677685,1.3017840504484
Kap,0.662615828649552,4.14993576559955,3032.61120677105,4.811320731612,153.061375161276
Rps27,0.912653805255962,4.14173244001054,38.2452539338303,0.331002215399456,1.51134043936033
