sct.detection_rate,sct.gmean,sct.variance,sct.residual_mean,sct.residual_variance,sct.variable,symbol
0.127876937529356,0.0979416466751359,0.146465483644896,0.0221184717339705,1.09403170652067,TRUE,Mrpl15
0.204438703616721,0.171159086202696,0.293798375314809,0.00409661615677102,0.986950183250819,FALSE,Lypla1
0.116251761390324,0.0889442054126359,0.138488554031279,-0.000923531423178881,0.93597874481806,FALSE,Tcea1
0.136918741193048,0.107903036215096,0.179488783780841,0.0123274840272121,1.07295315906247,TRUE,Atp6v1h
0.157468294974166,0.125425574450576,0.199600282649878,0.00294630613523608,0.966595294463316,FALSE,Rb1cc1
0.0819633630812588,0.0621998557892109,0.100861367790434,0.0110566555081228,1.05972169263071,FALSE,4732440D04Rik
0.188351338656646,0.156165720062158,0.259268312460513,-0.000949471448917892,0.963062052935275,FALSE,Pcmtd1
0.00187881634570221,0.00135081994383035,0.00222737097824495,0.00132559952919708,0.962131773178591,FALSE,Gm26901
0.0548379520901832,0.0402623259907959,0.0625810777378186,0.00956097030184044,1.07138691662926,FALSE,Rrs1
0.139736965711602,0.110393335804684,0.180642344471542,0.00307789367439258,0.98233139042523,FALSE,Adhfe1
0.00105683419445749,0.00073281001636416,0.00105584127918378,0.00054248722670029,0.982882983312427,FALSE,Mybl1
0.0455612963832785,0.0330187232219401,0.0499763355193101,0.000713248595040718,0.969941558965309,FALSE,Vcpip1
0.00140911225927666,0.000977199338062507,0.00140729191460818,0.00280415961684204,1.02498196365913,FALSE,1700034P13Rik
0.0378111789572569,0.0274211246146323,0.0427980683384969,0.00481161423317193,1.04345277405345,FALSE,Sgk3
0.00223109441052137,0.00159536018995676,0.00257815967015355,0.00852641259054098,1.5277222057388,TRUE,Mcmdc2
0.0920620009394082,0.0698139684136407,0.11001142679994,-0.00216495365559376,0.942816267161924,FALSE,Snhg6
0.0102160638797558,0.00715431875600348,0.0104627895347833,-0.00438262921954445,0.865406446022374,FALSE,Tcf24
0.00117426021606388,0.00081426649311811,0.00117301907197174,0.00212395523658109,0.992314351314939,FALSE,Ppp1r42
0.0991075622357915,0.0741947900999564,0.111052553626388,0.00271624042569876,0.975134087410052,FALSE,Cops5
0.1433771723814,0.114928285456875,0.193918614596349,0.00585842706963516,1.02064492751665,FALSE,Cspp1
0.194927195866604,0.162167035282948,0.26970969915494,-0.00142715977057474,0.948039449289089,FALSE,Arfgef1
0.000939408172851104,0.000651360169369175,0.000938635905415994,0.00300068285958346,1.17152879884268,TRUE,Prex2
0.0620009394081728,0.0453405296536666,0.0681818783585017,-0.00584053143094531,0.902859037005117,FALSE,Ncoa2
0.183771723813997,0.15006663473759,0.239765139682492,0.00124622120690761,0.958287270628066,FALSE,Tram1
0.162517613903241,0.143705311281175,0.354848874158199,0.0288163983581464,1.29874357636261,TRUE,Lactb2
0.0263034288398309,0.0186903385450388,0.0276909176109245,-0.000913442504015705,0.96557559182147,FALSE,Terf1
0.662282761860028,1.01820488514616,2.54878476823859,0.00814448202826672,1.02209658642,FALSE,Rpl7
0.0427430718647252,0.0308903183123248,0.0469705603379444,0.00378685271406816,0.994672025503192,FALSE,Rdh10
0.0622357914513856,0.0452971568871432,0.0672730299112971,-0.00251182907496838,0.936314183949682,FALSE,Stau2
0.0693987787693753,0.0510147882618417,0.0765688268182007,0.0108716543058925,1.03962315721017,FALSE,Ube2w
0.253287928604979,0.222612740617916,0.383807096420636,0.000993440633610029,0.957744602118413,FALSE,Tceb1
0.104274307186473,0.0790690233215146,0.121610552703527,0.000121679589048207,0.957778642350212,FALSE,Tmem70
0.00962893377172381,0.00674452299366624,0.00988738134317716,0.0024021772670006,1.01457692339211,FALSE,Ly96
0.0019962423673086,0.00138464750898981,0.00199249135405235,-0.00167662688692802,0.79166803273205,FALSE,Jph1
0.233795209018318,0.205709594112651,0.377785065285558,0.0199510262530102,1.1171559077152,TRUE,Tfap2b
0.224988257397839,0.194301598048787,0.33774266780336,0.00277246815294343,0.989872229254299,FALSE,Pkhd1
0.00152653828088304,0.00105867570733209,0.00152438696445667,0.00043801277619093,0.883277983447106,FALSE,Mcm3
0.00164396430248943,0.0011401587085198,0.00164145443332533,0.0034869518162534,1.09597043809971,TRUE,Paqr8
0.0058713010803194,0.00407796816583761,0.00583751438003335,0.00173372166703317,0.973578943819172,FALSE,Tram2
0.025129168623767,0.0179099917422472,0.026924814524806,0.0122166934750811,1.17142696622634,TRUE,Tmem14a
0.0297087834664162,0.0219307792646042,0.0378144473033662,-0.00447577701827504,1.01634152574292,FALSE,Gsta3
0.027242837012682,0.0193538728564884,0.0285788045134619,-0.00364703410610669,0.937775371343921,FALSE,Gm29107
0.0313527477689056,0.0226513718249663,0.0351999910637626,0.00509123092563687,1.07201890026707,TRUE,Ogfrl1
0.0203147017379051,0.0147945776400957,0.0246550239995897,-0.0079650773269325,0.940383726046473,FALSE,B3gat2
0.11930483795209,0.0923713651165703,0.148286641952271,0.00276137518922499,0.988870269147541,FALSE,Smap1
0.167566932832316,0.135097403359901,0.216321596431241,0.02483009158785,1.1132337891413,TRUE,Sdhaf4
0.0399248473461719,0.0284519316022671,0.0410780081126693,0.00352899824718273,0.971073637336214,FALSE,Fam135a
0.108971348050728,0.0829421605337566,0.126457578936076,0.000559016166549933,0.964324591326319,FALSE,Lmbrd1
0.0029356505401597,0.00203690958259495,0.0029273762462121,-0.00698934153583384,0.689252395118357,FALSE,Gm5524
0.128581493658995,0.0983968884345165,0.145863997636859,-0.000145196910407048,0.924966505794844,FALSE,Phf3
