,排名,公司,价值.亿元.,主业,董事长,总部
349,344,宏发科技,215,电子器件制造,郭满金,湖北武汉
350,344,金山软件,215,软件服务,雷军,北京
351,344,金螳螂,215,建筑,朱兴良,江苏苏州
352,344,网宿科技,215,云计算,刘成彦,上海
353,344,中天金融集团,215,房地产、金融,罗玉平,贵州贵阳
354,352,安信信托,210,信托,邵明安,上海
355,352,渤海租赁,210,设备租赁,卓逸群,新疆乌鲁木齐
356,352,地平线机器人,210,人工智能,余凯,北京
357,352,国瓷材料,210,陶瓷,张曦,山东东营
358,352,海丰国际控股,210,海运,杨绍鹏,上海
359,352,吉比特,210,网络游戏,卢竑岩,福建厦门
360,352,金宇生物,210,兽用生物制品,张翀宇,内蒙古呼和浩特
361,352,美的置业控股,210,房地产,郝恒乐,广东佛山
362,352,南微医学,210,医疗设备,隆晓辉,江苏南京
363,352,荣民,210,房地产,史贵禄,陕西西安
364,352,伊泰集团,210,能源,张东海,内蒙古鄂尔多斯
365,352,裕同包装科技,210,包装,王华君,广东深圳
366,364,伟明环保,205,垃圾发电,项光明,浙江温州
367,364,协信控股,205,房地产、金融,吴旭,重庆
368,364,重庆华宇集团,205,房地产,蒋业华,重庆
369,367,大地影院,200,数字影院,刘荣,广东深圳
370,367,度小满金融,200,金融科技,朱光,北京
371,367,汉鼎宇佑,200,文化传媒、投资,王麒诚,浙江杭州
372,367,华峰集团,200,化工、铝业、投资,尤小平,浙江温州
373,367,汇通达,200,电子商务,徐秀贤,江苏南京
374,367,健合（H&H）国际控股,200,婴儿健康,罗飞,广东广州
375,367,晶晨半导体,200,半导体,钟培峰,上海
376,367,均胜投资,200,汽车零部件制造,王剑峰,浙江宁波
377,367,跨越速运,200,物流,胡海建,北京
378,367,老百姓药房,200,医药零售,谢子龙,湖南长沙
379,367,每日优鲜,200,电子商务,徐正,北京
380,367,欧普康视,200,医疗器械,陶悦群,安徽合肥
381,367,欧普照明,200,照明设备制造,王耀海,上海
382,367,奇点汽车,200,新能源汽车,沈海寅,北京
383,367,泰禾集团,200,房地产、金融、医疗,黄其森,福建福州
384,367,喜马拉雅FM,200,传媒和娱乐,余建军,上海
385,367,香江控股,200,房地产、金融,翟美卿,广东深圳
386,367,小红书,200,社交、电子商务,毛文超,上海
387,367,一下科技,200,传媒和娱乐,韩坤,北京
388,367,易果生鲜,200,生活服务,金光磊,上海
389,367,游侠汽车,200,新能源汽车,卫俊,上海
390,367,鱼跃医疗,200,医疗设备,吴光明,江苏镇江
391,389,光威复合材料,195,化工,陈亮,山东威海
392,389,茂业国际控股,195,房地产,黄茂如,广东深圳
393,389,敏华控股,195,休闲沙发,黄敏利,广东惠州
394,389,万利达,195,电子信息产品,吴凯庭,福建漳州
395,389,中梁控股,195,房地产,杨剑,上海
396,394,健康元药业集团,190,保健品,朱保国,广东深圳
397,395,华宇软件,190,信息化解决方案,邵学,北京
398,395,科博达,190,汽车电子产品,柯桂华,上海
399,395,拉卡拉,190,互联网服务,孙陶然,北京
400,395,士兰微,190,游戏,陈向东,浙江杭州
401,395,顺络电子,190,新型电子元件,袁金钰,广东深圳
402,395,伟星集团,190,服装辅料、管材,章卡鹏,浙江台州
